Emilian	Emilian	probability
θ	ʦ	1.0
ˈɛː	ˈa	1.0
ˈɔː_l	ʎ	1.0
ˈæ	ˈi	1.0
ˈiː_r	ˈi_r	1.0
ˈe	ˈi	1.0
ʤ	ɡ	1.0
ɲ	-	1.0
ɡ_#>	k_#>	1.0
ŋ_#>	n_#>	1.0
u	u	1.0
r_t	r_t	1.0
r_e	r	1.0
r_a	r_ə	1.0
r_#>	r_i_#>	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_#>	r_#>	1.0
k_ˈuː	k_ˈu	1.0
k_w	p	1.0
k	k	1.0
e_r	r_u	1.0
e_n	n_i	1.0
b	b	1.0
a_d	ə_t	1.0
a_#>	#>	1.0
<#_θ	<#_ʦ	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈaː	<#_ˈa	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_m	<#_ɲ	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
a	ə	0.758
ˈuː	ˈo	0.714
s	s	0.704
ˈʌ	-	0.667
t	t	0.64
ð	ʣ	0.636
d	d	0.636
ˈo	ˈu	0.615
f	f	0.615
ˈɛ	ˈa	0.61
ˈa_j	e̯ˈa	0.6
r	r	0.6
i	i	0.6
ˈʌu̯	ˈu	0.556
ɡ	ɡ	0.545
ŋ	n	0.545
l	r	0.538
ʧ	k_ʎ	0.5
z	ʦ_i	0.5
z	-	0.5
l	l	0.462
e	r	0.462
ˈʌu̯	o̯ˈa	0.444
ˈɔ	o̯ˈa	0.429
#>	i_#>	0.423
ˈɔː	ˈo	0.4
ˈɔː	o̯ˈa	0.4
ˈa_j	ˈe	0.4
i	-	0.4
j	l	0.385
f	ç	0.385
e	i_r	0.385
ˈa	ˈɨ	0.368
ð	ʤ	0.364
#>	u_#>	0.346
ˈʌ	ˈu	0.333
ˈiː	e̯ˈa	0.333
ˈaː	ˈa	0.333
ˈaː	-	0.333
ˈa	e̯ˈa	0.316
s	ʃ	0.296
ˈɔ	ˈu_k	0.286
ˈɔ	ˈo	0.286
ˈuː	ˈu	0.286
r	i	0.286
ɡ	k	0.273
ʧ	ʎ	0.25
ʧ	k	0.25
t	p_t	0.24
ˈo	ˈo	0.231
j	ˈi	0.231
j	-	0.231
d	t	0.227
ˈiː	ˈi	0.222
ˈiː	ˈa	0.222
ˈiː	-	0.222
v	j	0.222
ˈa	-	0.211
ˈɔː	ˈa_v	0.2
v	v	0.185
ɡ	-	0.182
#>	ə_#>	0.173
ˈaː	ˈɨ	0.167
ˈaː	ˈi	0.167
ˈo	-	0.154
j	ʎ	0.154
e	u	0.154
v	w	0.148
v	-	0.148
ˈɛ	ˈe	0.146
ŋ	m	0.136
ŋ	-	0.136
d	-	0.136
t	ʦ	0.12
v	p	0.111
v	j_i	0.111
ˈa	ˈe	0.105
ŋ	ŋ	0.091
ŋ	n_e	0.091
a	ʎ_i	0.091
a	-	0.091
v	i	0.074
ˈɛ	ˈɨ	0.073
ˈɛ	e̯ˈa	0.073
a	i	0.061
#>	t_i_#>	0.058
r	ə	0.057
r	r_u	0.057
