Bavarian	Middle English	probability
ˈɛ	-	1.0
ˈɑ_n	ˈoː	1.0
ˈoɐ̯	ˈɔː	1.0
ˈou̯	ˈɛː	1.0
ˈiː	ˈi	1.0
ˈau̯	ˈuː	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɐ_ʦ	r_t	1.0
ç	ʧ_ə	1.0
x_d̥	x_t	1.0
sː	t	1.0
r	r	1.0
n_d̥	n_d	1.0
h	h	1.0
fː	p	1.0
f_ə	v_ə	1.0
f	f	1.0
eː	eː_n	1.0
d̥_ˈiɐ̯	d_ˈeː	1.0
d̥_r	d_r	1.0
b̥	b	0.956
ʋ	w	0.92
m	m	0.894
l	l	0.876
n	n	0.821
ə	-	0.714
a	ə_n	0.7
j	ɫ	0.657
kʰ	k	0.654
ˈuɐ̯	ˈoː	0.636
ˈe	ˈɛ	0.63
ˈai̯	ˈiː	0.624
ˈɑː	ˈaː	0.62
ˈa	-	0.6
ʃ	ʃ	0.596
d̥	d	0.594
ˈu	ˈu	0.589
ɐ	r	0.56
ˈi	ˈi	0.557
ˈaː	ˈɛː	0.541
x	ç	0.531
s	s	0.529
ŋ	n	0.519
ˈɑ	-	0.507
ˈoː	ˈɛː	0.507
β	v	0.5
β	f	0.5
ˈɒ	ˈa	0.5
ˈɒ	-	0.5
ˈoː	-	0.493
ˈɒː	ˈa	0.469
x	k	0.469
ˈɒː	ˈæi̯	0.441
ʃ	s	0.404
ˈa	ˈeː	0.4
ˈɑː	-	0.38
ˈiɐ̯	ˈeː	0.374
ɡ̊	ɡ	0.365
ˈeː	ˈɛ	0.364
kʰ	ʧ	0.346
ɡ̊	k	0.341
ˈɑ	ˈa	0.319
ŋ	ŋ	0.313
ˈi	ˈiː	0.307
d̥	θ	0.306
ə	ə	0.286
ˈeː	ˈeː	0.281
ˈaː	ˈu	0.271
ˈiɐ̯	ˈiː_ə	0.267
ɐ	ə_r	0.267
s	t_ə	0.251
ˈo	ˈu	0.246
ˈai̯	ˈeː	0.233
ˈo	ˈɔ	0.226
ˈo	ˈa	0.219
a	ə	0.214
ˈeː	-	0.21
ˈiɐ̯	-	0.209
j	l	0.204
ˈaː	ˈeː	0.188
ɡ̊	ʤ	0.185
ˈuɐ̯	ˈuː	0.182
ˈuɐ̯	ˈeː	0.182
ˈɑ	ˈɛi̯	0.173
ɐ	r_ə	0.173
ŋ	n_ɡ	0.167
ˈo	ˈɔː	0.161
ˈe	-	0.156
s	t	0.152
ˈiɐ̯	ˈiː	0.15
ˈo	-	0.149
ˈu	-	0.147
ˈeː	ˈɛː	0.144
ˈi	-	0.135
l	l_ˈɛː	0.124
ˈe	ˈu	0.111
ɡ̊	-	0.109
m	v	0.106
ˈe	ˈɛː	0.102
j	l_ə	0.095
ˈɒː	ˈau̯	0.09
a	-	0.086
ʋ	ʍ	0.08
ˈu	ˈuː	0.073
ˈu	ˈi	0.072
ˈai̯	ˈi	0.071
ˈai̯	-	0.071
ˈu	ˈeː	0.068
s	z	0.068
d̥	ð	0.064
n	ˈoː	0.057
n	-	0.057
ˈu	ˈɔ	0.05
