Limburgish	Westphalian	probability
b	b	0.963
d	d	0.853
d	-	0.131
f	f	0.824
f	v	0.174
j	l	0.238
j	-	0.219
j	t	0.18
j	j	0.162
j	ˈaʊ̯	0.162
k	k	0.78
k	-	0.172
l	l	0.984
m	m	1.0
n	n	0.988
p	p	0.925
p	b	0.068
s	s	0.396
s	ʃ	0.332
s	ʃ_k	0.161
s	s_t	0.062
t	t	0.669
t	d	0.28
v	f	0.793
v	v	0.174
w	l	1.0
x	ç	0.332
x	x	0.31
x	x_t	0.093
x	k	0.079
x	ɡ	0.071
x	ɣ	0.058
z	s	0.782
z	ʃ	0.144
z	z	0.062
ŋ	ŋ	0.944
ŋ	ç	0.057
ə	n	0.348
ə	-	0.331
ə	ɐ	0.218
ɡ	ɡ	0.241
ɣ	x	0.718
ɣ	ŋ	0.131
ɣ	ɡ	0.079
ɣ	ɣ	0.061
ɦ	h	0.983
ɪ	ɪ	0.241
ɪː	ˈɪ	1.0
ʀ	r	0.411
ʀ	-	0.333
ʀ	ɐ	0.236
ʀ_t	t	1.0
ʃ	ʃ	1.0
ʦ	ʃ	0.491
ˈaː	ˈa	0.428
ˈaː	ˈaː	0.262
ˈaː	ˈɔ	0.121
ˈaː	ˈɛː	0.105
ˈaː	-	0.069
ˈeː	ˈaɪ̯	0.258
ˈeː	ˈɪɛ̯	0.232
ˈeː	ˈɪə̯	0.096
ˈeː	ˈɪ	0.094
ˈeː	ˈɛ	0.086
ˈeː	ˈiː	0.071
ˈeː	ˈɛː	0.056
ˈi	ˈaɪ̯	0.336
ˈi	ˈɪ	0.174
ˈi	ˈeː	0.132
ˈi	ˈɔː	0.132
ˈi	ˈɪɛ̯	0.132
ˈi	ˈiː	0.071
ˈiː	ˈiː	0.911
ˈiː	ˈaɪ̯	0.083
ˈoː	ˈoː	0.407
ˈoː	-	0.151
ˈoː	ˈuːə̯	0.118
ˈoː	ˈa	0.093
ˈoː	ˈuə̯	0.06
ˈu	ˈaʊ̯	0.813
ˈu	ˈøː	0.186
ˈuː	ˈuː	0.552
ˈuː	ˈʊ	0.274
ˈuː	ˈɔː	0.111
ˈv	f	1.0
ˈyː	ˈyː	0.758
ˈyː	ˈœː	0.182
ˈæ	ˈaː	0.297
ˈæ	ˈa	0.182
ˈæ	ˈiɛ̯	0.182
ˈæ	ˈɛ	0.182
ˈæː	ˈɪɛ̯	0.241
ˈæː_ʀ	ˈa	1.0
ˈøː	ˈøː	0.61
ˈøː	ˈyːœ̯	0.162
ˈøː	ˈoː	0.114
ˈøː	ˈyː	0.08
ˈœ	ˈɛ	0.461
ˈœ	ˈʏ	0.461
ˈœi̯	ˈuː	0.304
ˈœi̯	ˈiː	0.186
ˈœi̯	ˈaɪ̯	0.172
ˈœi̯	ˈyː	0.172
ˈœː	ˈuːə̯	1.0
ˈɑ	ˈa	0.891
ˈɑ	ˈɪɛ̯	0.068
ˈɑː	ˈa	0.878
ˈɑː	ˈɛ	0.089
ˈɒː	ˈɔː	0.738
ˈɒː	ˈɪə̯	0.139
ˈɒː	ˈœː	0.057
ˈɔ	ˈʊ	0.31
ˈɔ	ˈɔ	0.222
ˈɔ	ˈoː	0.16
ˈɔ	-	0.076
ˈɔ	ˈuːə̯	0.076
ˈɔu̯	ˈaʊ̯	0.491
ˈɔː	ˈaʊ̯	0.603
ˈɔː	ˈʊ	0.194
ˈɔː	ˈʏ	0.194
ˈɛ	ˈɛ	0.582
ˈɛ	ˈɪ	0.174
ˈɛ	ˈiː	0.106
ˈɛ_j	ˈɪ	1.0
ˈɛi̯	ˈaɪ̯	1.0
ˈɛː	ˈeː	0.637
ˈɛː	ˈɪɛ̯	0.189
ˈɛː	ˈiə̯	0.097
ˈɛː	ˈɪ	0.051
ˈɛːi̯	ˈaɪ̯	0.372
ˈɛːi̯	ˈiː	0.183
ˈɪ	ˈɪ	0.496
ˈɪ	ˈɛ	0.339
ˈɪ	ˈyə̯	0.126
ˈɪː	ˈɪ	0.885
ˈɪː	ˈʏ	0.102
ˈʊ	ˈʊ	1.0
ˈʊː	ˈoː	0.303
ˈʊː	ˈʊ	0.286
ˈʊː	ˈuːə̯	0.14
ˈʊː	ˈɔː	0.09
ˈʊː	ˈœː	0.056
ˈʊː	ˈuə̯	0.054
ˈʏ	ˈɛ	0.118
ˈʏː	ˈø	0.361
ˈʏː	ˈʏ	0.361
ˈʏː	ˈuː	0.204
β	w	0.95
β	v	0.053
