Sassarese	Sassarese	probability
β	v	1.0
ˈɛ_j	ˈɛ_ɾ	1.0
ˈɔ_ɬ	ˈɔ_ɾ	1.0
ˈu	ˈu	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_ɡ	ˈa_k	1.0
ˈa_i	ˈa	1.0
ʧː	kː_j	1.0
ʧ	k_j	1.0
ʦ_i	ʃ_ə	1.0
ʤ	ʤ	1.0
ʣ	ʦː	1.0
ʒ	-	1.0
ʎː	ʎː	1.0
ʃː	ʃː	1.0
ɲː	ɲː	1.0
ɮ	-	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
xː	k	1.0
x	k	1.0
w	w	1.0
v	v	1.0
u_r	u_l	1.0
tː	tː	1.0
t_i	t_ə	1.0
t	t	1.0
sː	-	1.0
s	s	1.0
r_u	l_ə	1.0
r_i	ɾ_ə	1.0
pː	p	1.0
p_j	k_j	1.0
p_a	p_a	1.0
p	p	1.0
mː	mː	1.0
lː	lː	1.0
l	l	1.0
kː	kː	1.0
k	k	1.0
i_n	ə_n	1.0
fː	fː	1.0
f_j	ʃ	1.0
f	f	1.0
e	ə_l	1.0
dː_a	t_ə	1.0
bː	p	1.0
a_r	ə_ɾ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ʃ	1.0
#>	ə_#>	1.0
ˈa	ˈa	0.947
n	n	0.929
ʦ	ʃ	0.9
ˈa_#>	ˈa_#>	0.833
u	ə	0.83
m	m	0.818
a	ə	0.716
ɬ	s	0.667
z	s	0.667
<#_ʤ	<#_j	0.667
<#_i	<#_ʃ	0.625
i	ə	0.612
ʦː	-	0.6
rː	ɾ_n	0.6
nː	nː	0.6
dː	t	0.562
ˈo	ˈu	0.556
ˈi	ˈi	0.531
ˈɛ	j_ˈɛ	0.5
ʤː	ʤː	0.5
ʤː	j	0.5
ɡː	ˈɔ_k	0.5
ɡː	k	0.5
r	ɾ	0.5
d	d	0.48
j	j	0.444
b	v	0.444
ˈe	ˈɛ	0.417
ʦː	ʦː	0.4
rː	rː	0.4
nː	n	0.4
d	ɾ	0.4
ˈɔ	ˈɔ	0.375
dː	lː	0.375
<#_i	<#	0.375
ˈo	ˈo	0.333
ˈe	ˈe	0.333
ɬ	-	0.333
z	z	0.333
j	-	0.333
<#_ʤ	<#	0.333
ˈɔ	w_ˈɔ	0.281
ˈe	ˈi	0.25
i	i	0.245
r	r	0.237
ˈɛ	ˈɛ	0.231
a	a	0.224
j	ɾ	0.222
b	b_w	0.222
ˈɛ	ˈe	0.192
m	-	0.182
ˈa_#>	#>	0.167
ˈi	i	0.156
r	l	0.132
r	-	0.132
ˈɔ	ˈu	0.125
ˈɔ	w	0.125
ˈi	ˈe	0.125
ˈi	ə	0.125
d	t	0.12
ˈo	ˈɔ	0.111
b	bː	0.111
b	b	0.111
b	-	0.111
ʦ	ʧ	0.1
ˈɔ	ˈo	0.094
u	u	0.085
i	-	0.082
ˈɛ	-	0.077
n	-	0.071
ˈi	-	0.062
dː	dː	0.062
i	e	0.061
ˈa	-	0.053
