Slovenian	Polish	probability
ʒ̊	w̃_ʐ̊	1.0
ʒ	ʐ	1.0
ɡ̊	ɡ̊	1.0
ɡ_ɔ	ɡ_ˈɔ	1.0
ɡ	ɡ	1.0
ɛ́	ˈɛ	1.0
ə̀	ˈa	1.0
ə_n	n_ɨ	1.0
ə_k	k_i	1.0
ɔ́ː	-	1.0
ɔ́	ˈu	1.0
ɔ	ɔ	1.0
x	x	1.0
úː	ˈu	1.0
ùː	ˈu	1.0
u	ˈu	1.0
t_i	ʨ	1.0
p	p	1.0
o	ˈɔ	1.0
m	m	1.0
l_áː	w_ˈɔ	1.0
l_àː	w_ˈa	1.0
k	k	1.0
j	-	1.0
d̥	d̥	1.0
b̥	m_b̥	1.0
b	b	1.0
á	ˈa	1.0
a	a	1.0
ɛ	ɛ	0.822
òː	ˈɔ	0.77
t	t	0.756
d	d	0.727
àː	ˈa	0.721
ə_r	r	0.689
e	ˈɛ	0.667
óː	ˈɔ	0.66
i	-	0.653
ʦ	ʦ	0.651
ə́	j_ˈɛ	0.648
ʋ	v	0.642
ɛ̀ː	ˈɛ	0.631
íː	ˈɨ	0.631
r	r	0.624
ɔ̀ː	-	0.613
n	n	0.611
s	s	0.607
z	z	0.603
l	l	0.602
áː	-	0.582
ʧ	ʦ	0.532
ʧ	ʈ͡ʂ	0.468
w	w	0.467
áː	ˈa	0.418
s	ɕ	0.393
n	ɲ	0.389
ɔ̀ː	ˈɔ	0.387
ɛ̀ː	ˈɛ_w̃	0.369
ìː	ˈi	0.365
ə	-	0.353
ə́	ˈɛ	0.352
ʦ	-	0.349
i	ɨ	0.347
ìː	-	0.345
ə	ɛ	0.339
z	ʑ	0.336
w	w_ɨ	0.334
e	-	0.333
èː	ˈɛ	0.332
l	w	0.321
ə_r	r_ɨ	0.311
ìː	ˈɨ	0.289
àː	ˈɔ	0.279
èː	ˈa	0.276
d	ʥ	0.273
r	ʐ	0.271
éː	ɛ	0.246
òː	-	0.23
óː	ˈu	0.228
ʋ	v_j	0.227
èː	-	0.224
ə	j_ɛ	0.21
w	ɨ	0.2
éː	ˈa	0.194
t	ʨ	0.191
íː	ˈi	0.185
íː	-	0.185
éː	ˈɛ	0.184
ɛ	j	0.178
èː	j_ˈa	0.168
éː	j_ˈɛ	0.146
éː	u	0.135
óː	-	0.112
r	ʐ̊	0.105
ə	w	0.098
éː	ɛ_ɲ	0.096
l	d_w	0.077
ʋ	-	0.073
z	-	0.06
ʋ	f	0.057
t	ɲ_ʨ	0.052
