Portuguese	Asturian	probability
b	b	1.0
d	d	1.0
f	f	1.0
j̃	-	1.0
k	k	1.0
m	m	1.0
p	p	1.0
w	w	1.0
w̃	n_u	1.0
z	θ	1.0
ɔ	o	1.0
ɡ	ɡ	1.0
ɫ	l	1.0
ɾ	ɾ	1.0
ʁ	r	1.0
ʎ	ʝ	1.0
ʒ	ʃ	1.0
ˈa	ˈa	1.0
ˈe	ˈe	1.0
ˈĩ	ˈi_ŋ	1.0
ˈõ	ˈo_n	1.0
β	β	1.0
t	ʧ	0.161
u	o	0.141
ˈo	w_ˈe	0.391
ˈɐ	ˈa	0.361
ð	ð	0.902
ɣ	-	0.272
ˈẽ	ˈe	0.362
ˈu	ˈo	0.102
ˈɐ̃	ŋ	0.152
j	-	0.283
ɲ	n	0.553
ˈɐ̃	ˈa_n	0.303
ˈɔ	ˈo	0.463
i	e	0.864
l	ʎ	0.904
n	ɲ	0.224
s	θ	0.404
ɨ	-	0.054
ʃ	θ	0.214
ˈi	ˈi	0.934
v	b	0.5
v	β	0.5
ɐ	a	0.965
ʃ	ʎ	0.145
ˈɐ̃	ˈa	0.545
ˈɛ	ˈe	0.115
ˈɛ	j_ˈe	0.885
i	i	0.136
j	e	0.256
j	j	0.46
l	l	0.096
n	n	0.776
s	s	0.596
ˈi	ˈe	0.066
ɲ	ɲ	0.447
ˈɔ	w_ˈe	0.537
t	t	0.58
ð	-	0.098
ɣ	ɣ	0.728
ˈẽ	j_ˈe	0.638
ˈo	ˈo	0.58
ˈu	ˈu	0.898
t	n_t	0.259
u	u	0.859
ɨ	e	0.9
ʃ	s	0.579
ˈɐ	ˈe	0.639
