Galician	Megleno-Romanian	probability
β_ɪ	w_ə	1.0
ˈo_j	o̯ˈa	1.0
ˈe_j	ˈa	1.0
ʧ	p_l	1.0
ʊ	u	1.0
ɾ	r	1.0
ɲ	n	1.0
ɪ	i	1.0
ɣ	k	1.0
ɐ	ə	1.0
ð	t	1.0
w	-	1.0
v	n_e	1.0
u	u	1.0
r	r	1.0
o	u	1.0
n	n	1.0
j_t	p_t	1.0
e_s	s	1.0
e	-	1.0
a	-	1.0
m	m	0.881
k	k	0.876
ˈi	ˈi	0.831
b	v	0.83
θ	ʦ	0.814
ˈu	ˈu	0.813
ˈa	ˈa	0.781
j	ʃ	0.711
s	s	0.702
p	p	0.652
d	d	0.652
ʃ	-	0.651
i	i	0.618
ˈo	ˈu	0.563
ˈɔ	ˈo	0.562
ɡ	ɡ	0.559
t	t	0.551
f	f	0.547
ˈɛ	ˈa	0.492
ˈɑ	ˈɔ	0.456
f	-	0.453
t	p_t	0.449
l	l	0.447
ɡ	-	0.441
ɟ	k_ʎ	0.416
ŋ	n	0.388
i	-	0.382
ɟ	ʎ	0.376
ˈe	e̯ˈa	0.371
β	p	0.367
d	z	0.348
ˈe	ˈe	0.345
β	b	0.328
ŋ	-	0.325
β	-	0.306
ˈɑ	ˈɔ_j	0.304
l	-	0.301
ˈɛ	ˈe	0.291
j	-	0.289
ŋ	n_i	0.287
ˈɔ	o̯ˈa	0.286
ˈe	ˈi	0.284
ˈɑ	ˈa	0.24
ʃ	ʒ	0.23
ˈo	ˈo	0.224
ɟ	n	0.208
ˈu	ˈo	0.187
θ	ʧ	0.186
p	kʲ	0.174
p	-	0.174
s	ʃ	0.171
b	-	0.17
ˈi	-	0.169
ˈa	ˈɔ	0.16
ˈɔ	ˈu	0.151
ˈɛ	-	0.14
l	r	0.137
s	-	0.127
k	ʦ	0.124
ʃ	ʤ	0.119
m	-	0.119
ˈo	o̯ˈa	0.115
l	r_i	0.115
ˈo	-	0.098
ˈɛ	e̯ˈa	0.077
ˈa	ɔ	0.059
