Aromanian	Western Lombard	probability
ˈɨ_n	ˈã	1.0
ˈə	ˈe	1.0
ˈu_ŋ	ˈũ	1.0
ˈu_n	ˈũ	1.0
ˈo_j	ˈỹ	1.0
ˈi_r	ˈi	1.0
ˈi_m	ˈẽ	1.0
ˈe_r	ˈeː_l	1.0
ˈa_v	ˈoː	1.0
ˈa_r	ˈɑː	1.0
ˈa_k	a_ɡ	1.0
ʦ_i	s	1.0
ʎ_i	a	1.0
ʎ	l	1.0
ʃ_t	s	1.0
ʃ	s	1.0
ɨ	ã	1.0
ə_t	a_d	1.0
ç	f	1.0
z	z	1.0
v	v	1.0
s	s	1.0
r_n	r_n	1.0
r_i	ˈa	1.0
p_t	t	1.0
o̯ˈa_m	ˈo	1.0
n_i	ẽ	1.0
k_ʎ	ʧ	1.0
k_a	ɛ	1.0
f	f	1.0
e̯a	-	1.0
e	-	1.0
b_u	ũ	1.0
a	-	1.0
ə	a	0.889
d	d	0.872
m	m	0.857
k	k	0.833
ʤ	-	0.759
b	b	0.748
i	-	0.722
ˈe	ˈɛ	0.715
w	f	0.715
e̯ˈa_r	ˈɛ	0.711
n	n	0.704
u	u	0.695
j	v	0.688
ʦ	-	0.668
ɡ	ɡ	0.668
l	l	0.666
r	r	0.621
ʣ	d	0.604
p	p	0.602
r_u	e_r	0.6
t	t	0.572
ˈɨ	-	0.563
ɲ	m	0.531
ɲ	ɲ	0.469
ˈo	ˈɔ	0.468
e̯ˈa	ˈeː	0.455
ˈi_n	ˈẽ	0.452
ˈɨ	ˈɑː	0.437
ˈi	ˈiː	0.435
e̯ˈa	ˈɛ	0.421
ˈi	-	0.409
r_u	r	0.4
ʣ	-	0.396
ˈu	ˈyː	0.36
ˈa	-	0.341
l	j	0.334
ɡ	-	0.332
ˈi_n	ˈĩ	0.324
o̯ˈa	ˈɔ	0.321
j	-	0.312
n	-	0.296
e̯ˈa_r	r	0.289
w	-	0.285
ˈa	ˈɑː	0.279
ˈo	ˈøː	0.266
p	-	0.256
b	ɡ	0.252
o̯ˈa	ˈuː	0.246
ʤ	ʒ	0.241
o̯ˈa	ˈu	0.226
t	d	0.225
ˈi_n	j	0.224
ˈu	ˈu	0.222
o̯ˈa	ˈøː	0.207
r	-	0.201
u	y	0.194
i	e	0.193
ʦ	k	0.192
ˈa	ˈɛ	0.174
ˈa	ˈa	0.171
ˈu	ˈuː	0.165
ˈo	ˈuː	0.156
ˈi	ˈi	0.156
ˈe	ˈeː	0.147
m	ɲ	0.143
p	w	0.142
ʦ	s	0.14
ˈe	-	0.138
t	-	0.136
d	t	0.128
e̯ˈa	-	0.124
ˈu	-	0.115
ə	-	0.111
u	o	0.11
ˈo	ˈu	0.109
ˈu	ˈɔ	0.097
r	l	0.094
k	-	0.086
r	v	0.084
k	p	0.082
t	s	0.067
i	i	0.063
