Asturian	Gascon	probability
b	b	1.0
d	d	1.0
f	h	1.0
t	t	1.0
ʝ	ʎ	1.0
a	a	0.231
m	m	0.901
u	w	0.101
w	-	0.281
ð	t	0.241
ɡ	k	0.301
ʧ	j_t	0.371
l	l	0.672
ɾ	-	0.092
ʎ	p_l	0.062
ˈu	ˈu	0.072
θ	s	0.422
i	i	0.433
j	-	0.483
l	w	0.113
o	-	0.133
u	e	0.093
w	w	0.633
ɾ	e	0.143
ʎ	-	0.093
ˈe	ˈi	0.073
ˈe	-	0.13
β	-	0.093
e	e	0.854
n	n	0.864
r	-	0.054
ɣ	k	0.144
ɲ	ɲ	0.774
ʃ	ʒ	0.854
ˈo	ˈɔ	0.054
θ	-	0.164
e	i	0.05
k	k	0.955
l	-	0.215
o	a_w	0.05
u	ˈɔ	0.215
ʎ	l	0.765
ˈe	ˈɛ	0.155
θ	ʦ	0.255
r	a_r	0.946
w	ˈa_w	0.086
ð	ð	0.736
ɣ	ɣ	0.856
ʃ	-	0.146
ˈe	ˈa	0.056
ˈi	ˈi	0.96
ˈo	ˈa_w	0.156
β	β	0.76
θ	z	0.16
i	-	0.567
j	j	0.517
p	p	0.997
s	s	0.957
u	-	0.587
ɾ	ɾ	0.557
ˈa	ˈa	0.957
o	u	0.768
ɲ	ŋ	0.078
ɲ	-	0.148
ˈe	ˈe	0.558
ˈo	ˈu	0.698
ˈu	ˈy	0.928
β	w	0.148
a	-	0.09
a	ɔ	0.679
m	-	0.099
n	ŋ	0.09
ŋ	ŋ	0.969
ɡ	ɡ	0.699
ɾ	r	0.149
ʎ	k_l	0.059
ʧ	t	0.629
