Old French	Old French	probability
θ	-	1.0
ˈɛ_f	β_u	1.0
ˈɔ_r	ˈɔ_ɬ	1.0
ˈỹ	ˈu	1.0
ˈũ_n	ɔ	1.0
ˈũ_j	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi_r	ˈi	1.0
ˈe_r_#>	ˈa_#>	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa	ˈa	1.0
ʧ_j	k	1.0
ʤ_ə	j_u	1.0
ʤ	ʤ	1.0
ɲ	ɲː	1.0
ɛ	a	1.0
ɔ	-	1.0
ŋ	ŋ	1.0
z	-	1.0
y	u	1.0
w_ˈɛ	ˈo	1.0
ũ	u	1.0
u_l	u_r	1.0
s_p	pː	1.0
s_k	x	1.0
r_ˈɔ	r_ˈɛ	1.0
r_ə	r_u	1.0
p_l	p_j	1.0
p	p	1.0
o	-	1.0
n_ə	n_a	1.0
n_#>	#>	1.0
l_#>	dː_u_#>	1.0
k_l	ʧ	1.0
k_#>	ɡ_u_#>	1.0
j_r_#>	ˈe_#>	1.0
j_n	n_u	1.0
ĩ	-	1.0
i	-	1.0
e	i	1.0
d	-	1.0
ã_n	a_n	1.0
a	a	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
f	f	0.88
k	k	0.85
n	n	0.838
b	b	0.833
m	m	0.767
ʧ	k	0.765
ˈẽ	ˈɛ	0.75
<#_e	<#_i	0.75
ʦ	ʦ	0.733
ɡ	ɡ	0.714
t	t	0.645
ə	a	0.639
v	v	0.615
ˈy	ˈu	0.6
ˈũ	ˈɔ	0.6
u	u	0.6
r	r	0.595
ˈe	-	0.583
ˈɔ_j	ˈi	0.571
r_ə_#>	ˈi_#>	0.571
#>	u_#>	0.506
ˈɛ_r	ˈɛ_rː	0.5
ˈɛ_r	ˈɛ	0.5
ʎ	ʎː	0.5
ʎ	-	0.5
s_#>	j_#>	0.5
s_#>	#>	0.5
ˈu	ˈɔ	0.467
ˈɔ_j	ˈe	0.429
r_ə_#>	#>	0.429
j_s	ʦ_i	0.429
ˈe	ˈa	0.417
ˈɔ	ˈɔ	0.4
ˈi	ˈi	0.4
#>	i_#>	0.39
w	ˈɔ	0.389
s	sː	0.353
j	-	0.344
ˈu	ˈo	0.333
j_t	tː_i	0.333
j_t	tː	0.333
j_t	dː_u	0.333
ˈɛ	ˈe	0.31
ˈi	ˈe	0.3
s	ɬ	0.294
ɡ	-	0.286
j_s	ʦː_u	0.286
j_s	ʃː	0.286
ˈy	ˈo	0.267
ˈũ	ˈo	0.267
ʦ	-	0.267
l	r	0.259
ˈɔ	ˈɛ	0.25
ˈẽ	-	0.25
<#_e	<#	0.25
ˈɛ	ˈa	0.241
s	u	0.235
m	mː	0.233
t	tː	0.226
w	-	0.222
l	j	0.222
ˈu	ˈu	0.2
ˈi	i	0.2
u	r	0.2
u	-	0.2
w	u	0.167
b	-	0.167
j	ˈe	0.156
ˈɔ	ˈo	0.15
k	xː	0.15
l	u	0.148
ˈɛ	ˈɛ	0.138
ˈɛ	u	0.138
ˈy	ˈɔ	0.133
ˈũ	u	0.133
ə	u	0.131
j	u	0.125
j	i	0.125
ʧ	kː	0.118
ʧ	-	0.118
s	i	0.118
ə	i	0.115
v	β	0.115
v	b	0.115
w	ɡː_u	0.111
w	w	0.111
l	r_u	0.111
l	dː	0.111
n	nː	0.108
ˈɛ	-	0.103
ˈɔ	d	0.1
ˈɔ	-	0.1
ˈi	-	0.1
r	u	0.095
r	-	0.095
j	ˈa	0.094
j	dː	0.094
f	β_i	0.08
v	bː	0.077
v	-	0.077
l	i	0.074
l	-	0.074
r	rː	0.071
r	r_u	0.071
r	a_r	0.071
ˈɛ	r	0.069
t	ɬ_t	0.065
t	-	0.065
#>	a_#>	0.065
j	ˈi	0.062
n	i	0.054
