Aromanian	Aromanian	probability
ˈɨ	ˈa	1.0
ˈa_v	ˈo	1.0
ʧ	θ	1.0
ʣ_ˈə	d	1.0
ʎ_i	l_a	1.0
ʃ_t	ʃ	1.0
ʃ	s	1.0
ɨ	-	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç	f	1.0
w	ˈe	1.0
v	b	1.0
t_ə	ð_a	1.0
t_i_#>	#>	1.0
r_u	ɾ_o	1.0
r_i	ɾ	1.0
r_#>	l_o_#>	1.0
l_#>	ʎ_o_#>	1.0
k_ʎ	ʎ	1.0
i_r	ˈe	1.0
i_#>	#>	1.0
e̯a	-	1.0
e_#>	#>	1.0
a_r	r	1.0
a	ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
ə	a	0.919
e̯ˈa	ˈe	0.833
f	f	0.818
u	o	0.8
s	s	0.8
l	l	0.733
ʎ	ʎ	0.7
ˈe	ˈe	0.688
ʦ	θ	0.684
ˈa	ˈa	0.667
ɲ	m	0.667
#>	o_#>	0.667
p	p	0.633
<#_a	<#_a	0.625
n	n	0.605
r	ɾ	0.6
m	m	0.591
b	b	0.583
k	k	0.574
t	t	0.548
ˈu	ˈu	0.543
d	d	0.538
ɡ	ɡ	0.5
ɡ	-	0.5
ˈi	ˈi	0.485
ʤ	ʧ	0.429
o̯ˈa	ˈo	0.417
i	e	0.39
ˈo	w_ˈe	0.381
<#_a	<#	0.375
ʣ	d	0.364
ʣ	-	0.364
ɲ	-	0.333
ˈe	j_ˈe	0.312
d	ð	0.308
ʎ	l	0.3
ˈo	w	0.286
ʤ	ð	0.286
ʤ	-	0.286
ʣ	ʧ	0.273
o̯ˈa	w	0.25
b	-	0.25
ˈi	ˈe	0.242
ˈo	ˈo	0.238
j	b	0.231
t	ð	0.226
t	-	0.226
s	e_s	0.2
i	ɾ	0.195
#>	a_#>	0.194
m	m_b	0.182
f	-	0.182
ˈu	w	0.171
k	ɣ	0.17
p	-	0.167
o̯ˈa	β	0.167
o̯ˈa	-	0.167
e̯ˈa	ˈa	0.167
b	β	0.167
ʦ	k	0.158
ʦ	-	0.158
j	ˈa_t	0.154
j	ʝ	0.154
j	s	0.154
j	b_j	0.154
j	-	0.154
d	ʝ	0.154
ˈi	-	0.152
r	l	0.15
ˈu	ˈo	0.143
ˈa	ˈe	0.139
m	-	0.136
u	u	0.133
p	β	0.133
l	j	0.133
l	-	0.133
n	ˈe_n	0.116
i	j	0.098
ˈo	u_s	0.095
n	ɲ	0.093
n	-	0.093
m	ɡ	0.091
ˈu	ˈi	0.086
ˈa	j_ˈe	0.083
#>	s_#>	0.083
ə	-	0.081
i	i	0.073
i	a	0.073
i	-	0.073
u	e	0.067
p	ˈe_j	0.067
k	ˈe	0.064
k	ʎ	0.064
ˈi	ˈe_ŋ	0.061
ˈi	j_ˈe	0.061
ˈu	w_ˈe	0.057
ˈa	j	0.056
ˈa	a	0.056
#>	n_#>	0.056
