Limburgish	Limburgish	probability
β	v	1.0
ˈʏː	-	1.0
ˈʏ	ˈi	1.0
ˈʊ	ˈu	1.0
ˈɪː	ˈi	1.0
ˈɛːi̯	ˈai̯	1.0
ˈɒː_ʀ	ˈɑː	1.0
ˈœː	ˈɔ	1.0
ˈœi̯	ˈoi̯	1.0
ˈœ	ˈi	1.0
ˈøː_ʀ	æ̆	1.0
ˈyː	ɐ	1.0
ˈeː_ɣ	ˈoĩ̯	1.0
ʃ	ʃ	1.0
ɪ	i	1.0
ɦ	h	1.0
ɣ_ʀ	k_ʀ	1.0
ɣ_ə	ɣ̊	1.0
ə_ʀ	æ̆	1.0
ə_ɣ̊	i_ʃ	1.0
ə_v̥	f	1.0
ŋ_#>	ʃ_#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z_β	ʃ_v	1.0
z	s	1.0
w	l	1.0
v	f	1.0
s_t	ʃ_d̥	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l_ə	l	1.0
l	l	1.0
k_ə	ɡ̊_ə	1.0
k_#>	#>	1.0
i	ɛː	1.0
d̥_#>	#>	1.0
d_ʀ	t_ʀ	1.0
d	d̥	1.0
<#_ʀ	<#_ʀ	1.0
ə	ə	0.867
d̥	d̥	0.864
ɣ	ɡ̊	0.833
ˈu	ˈoː	0.8
ˈuː	ˈau̯	0.778
#>	ə_#>	0.714
ˈɑː	ˈɑ	0.667
v_ə	v_ə	0.667
j	-	0.667
ˈɔ	ˈo	0.625
ˈɛ	ˈi	0.6
ˈɔu̯	ˈau̯	0.6
ˈɒː	ˈɑː	0.6
v̥	b̥	0.6
j_ə	d̥	0.6
b	b̥	0.579
ˈɔː	ˈaː	0.571
p	f	0.571
ˈæː	ˈɛ	0.5
ˈæː	ˈæ	0.5
ˈæ	ˈɛ	0.5
ˈæ	-	0.5
ˈiː	ˈai̯	0.5
k	kʰ	0.481
ˈi	ˈeː	0.444
ʀ_ə	ɐ_n	0.444
s	ʃ	0.438
ˈɪ	ˈe	0.429
ˈɔː	ˈo	0.429
ˈøː	ˈiː	0.429
ˈøː	-	0.429
b	p	0.421
ˈɑ	ˈɑ	0.417
ˈɛ	ˈɛ	0.4
ˈɔu̯	ˈaː	0.4
ˈɒː	-	0.4
v̥	l_b̥	0.4
t	ʦ	0.4
j_ə	d̥_ə	0.4
ˈaː	ˈa	0.389
ˈɔ	ˈu	0.375
ˈoː	ˈoː	0.375
ˈoː	-	0.375
ˈiː	-	0.375
ˈeː	ˈiː	0.37
ˈʊː	ˈu	0.368
ˈɛː	ˈaː	0.364
ʀ	ʀ	0.353
ˈɑː	-	0.333
ˈɑ	ˈa	0.333
ˈi	-	0.333
ʀ_ə	ɐ	0.333
ɣ̊	ʃ	0.333
ɣ̊	x	0.333
ɣ̊	-	0.333
x	x_t	0.333
v_ə	v	0.333
j	j	0.333
ˈɪ	ˈi	0.286
ˈɪ	-	0.286
#>	d̥_#>	0.286
ˈaː	ˈɑː	0.278
ˈɛː	ˈi	0.273
t	s	0.267
ʀ	ɐ	0.265
ˈʊː	ˈɔ	0.263
ˈʊː	ˈuː	0.263
ˈɑ	-	0.25
ˈoː	ˈuː	0.25
ʀ	æ̆	0.235
ˈuː	-	0.222
ˈi	ˈi	0.222
ˈaː	ˈɑ	0.222
ʀ_ə	n	0.222
x	ʃ_t	0.222
x	ʃ	0.222
x	t	0.222
p	v̥	0.214
ˈu	oː	0.2
s	s_t	0.188
ˈeː	ˈi	0.185
k	k	0.185
ˈɛː	ˈãː	0.182
ˈɛː	-	0.182
ɣ	ʒ̊	0.167
t	z̥	0.167
k	x	0.148
ˈøː	ˈĩː	0.143
p	p	0.143
d̥	t	0.136
ə	-	0.133
ˈiː	ˈɑ̃i̯	0.125
s	ʒ̊	0.125
s	s	0.125
s	k_s	0.125
ˈeː	ˈɛː	0.111
ˈeː	ˈɛ	0.111
ˈaː	-	0.111
k	ʃ	0.111
t	d̥	0.1
ʀ	-	0.088
ˈeː	ˈɛ_d̥	0.074
ˈeː	ˈæː	0.074
ˈeː	-	0.074
k	ɣ̊	0.074
p	pʰ	0.071
t	t	0.067
ʀ	ˈæ	0.059
ˈʊː	ˈɛ̃ː	0.053
ˈʊː	ˈõː	0.053
