Slovenian	Bulgarian	probability
á	ˈa	1.0
áː	ˈa	1.0
b	b	1.0
d	d	1.0
e	ˈɛ	1.0
íː	ˈi	1.0
j	-	1.0
k	k	1.0
n	n	1.0
òː	ˈɔ	1.0
p	p	1.0
r	r	1.0
s	s	1.0
úː	ˈu	1.0
w	ɫ	1.0
x	x	1.0
z	z	1.0
ɔ	o	1.0
ɔ́	ˈɔ	1.0
ɔ́ː	ˈɤ	1.0
ə́	ˈɤ	1.0
ɛ̀ː	ɛ	1.0
ɡ	ɡ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
àː	ˈa	0.791
éː	ˈa	0.321
l	l	0.331
t	t	0.801
ʋ	v	0.741
a	ˈa	0.682
ə	ɐ	0.642
éː	ˈɛ	0.33
ìː	i	0.563
m	m	0.813
o	ˈɔ	0.83
óː	o	0.073
t	j	0.053
ɛ	-	0.323
ɛ	ˈɛ	0.363
ɔ̀ː	o	0.724
ɛ	ɛ	0.314
i	i	0.175
l	ɫ	0.445
èː	ɛ	0.296
i	ɐ	0.566
óː	ˈɤ	0.26
t	-	0.146
ɔ̀ː	ˈɔ	0.276
èː	ˈɛ	0.267
èː	ˈa	0.437
ìː	ˈi	0.437
l	lʲ	0.157
m	mʲ	0.187
o	o	0.17
óː	ˈɔ	0.667
a	ɐ	0.318
i	ˈi	0.258
l	-	0.068
ə	ɛ	0.358
àː	ɐ	0.209
éː	ɛ	0.349
ʋ	-	0.259
