Portuguese	Western Lombard	probability
b	b	1.0
d	d	1.0
f	f	1.0
ĩ	ĩ	1.0
l	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
ʁ	r	1.0
ˈĩ	ˈĩː	1.0
ˈõ	ˈũː	1.0
k	k	0.901
t	t_e	0.11
t	t	0.741
ɫ	ʧ_#>	0.161
ˈe	ˈe_j	0.141
ˈẽ	ˈãː	0.181
ˈo	ˈø	0.091
u	ˈy	0.172
ɐ	-	0.132
ɣ	ɡ	0.742
ʎ	ʤ	0.832
ˈe	ˈa	0.32
ˈẽ	ˈɛ̃ː	0.472
ˈo	ˈu	0.262
ˈɐ̃	ˈa	0.052
w	w	0.573
ð	t	0.23
ɨ	e	0.273
ɨ	a	0.573
ɲ	ɲ	0.493
ˈa	ˈaː	0.283
ˈo	ˈøː	0.063
ˈɐ	ˈa	0.653
i	i	0.224
j	j	0.234
j	-	0.664
u	j	0.094
u	-	0.174
ð	-	0.174
ɡ	ɡ	0.744
ɨ	u	0.064
ɾ	r	0.804
ˈe	-	0.214
ˈi	ˈa	0.124
ˈu	ˈu	0.174
j	e	0.055
s	ʧ	0.465
u	ˈɛ	0.315
v	b	0.135
z	z	0.25
z	-	0.75
ʃ	s	0.895
ˈo	ˈyː	0.085
ˈo	ˈo	0.155
ˈo	ˈɔ	0.325
ˈɔ	ˈøː	0.055
ˈɛ	ˈe	0.295
ˈɛ	ˈɛ	0.705
β	ʋ	0.965
i	-	0.776
s	s	0.446
ð	d	0.596
ɡ	k	0.256
ɫ	l	0.656
ɾ	-	0.196
ʒ	ʤ	0.986
ˈe	ˈɛ	0.076
ˈi	ˈi	0.876
u	u	0.237
w	l	0.427
ɫ	l_#>	0.147
ɲ	-	0.507
ʃ	ʧ	0.057
ˈa	ˈa	0.717
ˈẽ	ˈẽː	0.347
ˈɐ	-	0.07
ˈɔ	ˈu	0.477
t	ʦ	0.148
v	-	0.088
ɣ	-	0.258
ʎ	-	0.168
ˈu	ˈyː	0.148
ˈu	ˈy	0.678
ˈɐ	ˈe	0.278
ˈɐ̃	ˈãː	0.948
ˈɔ	ˈɔ	0.468
k	-	0.099
s	ʦ	0.089
v	ʋ	0.729
ɐ	a	0.839
ɨ	i	0.09
ˈe	ˈe	0.249
