Faroese	Middle English	probability
ˈʊ_ɡ̊	ˈuː	1.0
ˈɪ_ɡ̊	ˈuː	1.0
ˈɛːa̯_ɹ	ˈeː	1.0
ˈɔ̯aː_ʊ	ˈɛu̯	1.0
ˈɔːi̯	ˈeː	1.0
ˈœ_l̥	ɫ	1.0
ˈuː	-	1.0
ˈaːi̯	ˈɔː	1.0
ˈai̯	ˈɔː	1.0
ʰʧ	ʧ	1.0
ʰt͡n̥	t	1.0
ʰt_ʊ	ç_t	1.0
ʰp	p	1.0
ʧ	k	1.0
ʤ̊ː	-	1.0
ʤ̊_a	ə_n	1.0
ʤ̊	-	1.0
ʈ	t	1.0
ɲ	n_ɡ	1.0
ɪ_ɹ	ə_r	1.0
ɡ̊ː	ʤ	1.0
v̥	-	1.0
v_ʊ	f	1.0
t͡l̥_ʊ	ɫ	1.0
t͡l̥	l	1.0
tʰ_ɹ	θ_r	1.0
tʰ	θ	1.0
t	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s	s	1.0
r	r	1.0
pʰ	p	1.0
p	p	1.0
n̥	-	1.0
nː	n	1.0
m	m	1.0
l̥	ɫ	1.0
kʰ_v	ʍ	1.0
kʰ	k	1.0
k	k	1.0
h	h	1.0
d̥	d	1.0
b̥	b	1.0
ɹ	r	0.962
n	n	0.922
ʊ	ə	0.869
f	f	0.818
ˈɛːi̯	ˈɛː	0.8
ʰt	t	0.794
ˈʊ̯iː	ˈiː	0.786
ˈɔːu̯	ˈoː	0.727
ŋ	ŋ	0.684
ˈʊ	ˈu	0.633
ʃ	ʃ	0.633
ˈʉːu̯	ˈuː	0.627
ˈʏ	-	0.6
w	-	0.597
ˈa	ˈa	0.592
ˈoː	ˈu	0.588
ʧʰ	ʧ	0.553
a	ə_n	0.553
ˈøː	-	0.536
t͡n̥	r_n	0.522
ʰk	k	0.517
ˈiː	ˈi	0.505
ˈɪ	ˈi	0.496
ˈiː	-	0.495
ɪ	ə	0.495
ˈɛːa̯	ˈaː	0.488
ʰk	ŋ_k	0.483
l	ɫ	0.481
t͡n̥	r	0.478
ˈøː	ˈeː	0.464
ˈɔ̯aː	ˈɛː	0.461
ɡ̊	-	0.456
v	v	0.454
ʧʰ	θ	0.447
l	l	0.443
ˈoː	-	0.412
w	d	0.403
ˈʏ	ˈi	0.4
ˈɛ	ˈɛ	0.399
ˈeː	ˈɛ	0.395
ɪ	-	0.383
ʃ	s	0.367
j	-	0.365
ˈœ	ˈɛ	0.35
j	d	0.341
ˈɪ	ˈiː	0.326
a	ə	0.32
v	w	0.319
ˈɛ	ˈɔː	0.318
ɡ̊	ɡ	0.318
ŋ	-	0.316
ˈeː	-	0.315
ˈeː	ˈɛː	0.29
ˈɔːu̯	ˈeː	0.273
ˈɔ̯aː	ˈoː	0.265
ˈʊ	-	0.253
ˈɔ	ˈu	0.252
ˈœ	ˈɛː	0.224
ˈɛ	ˈi	0.22
ˈa	ˈɔː	0.219
ˈʉːu̯	ˈeː	0.218
ˈʊ̯iː	ˈeː	0.214
ʰt	x_t	0.206
ˈɔ	ˈɔ	0.205
ˈɛːi̯	-	0.2
ˈɔ	-	0.198
ˈɛːa̯	ˈa	0.186
f	f_ˈɔ	0.182
j	ˈæi̯	0.181
ˈɛːa̯	-	0.18
ˈɔ̯aː	ˈæi̯	0.158
ˈʉːu̯	-	0.155
v	-	0.149
ɡ̊	ˈuː	0.146
ˈœ	ˈeː	0.144
ˈœ	-	0.144
ˈœ	ˈa	0.138
ˈɪ	-	0.122
ɪ	i	0.122
ˈa	-	0.118
ˈɔ̯aː	ˈɔː	0.116
ˈɔ	ˈi	0.116
ˈʊ	ˈuː	0.114
ˈɔ	ˈɛ	0.114
j	ˈɛ	0.113
ʊ	n	0.093
ˈɛːa̯	ˈeː	0.085
ɡ̊	j	0.08
v	w_ˈɛː	0.078
n	-	0.078
ˈɔ	ˈa	0.077
l	-	0.076
ˈa	ˈaː	0.071
ˈɛ	ɛ	0.063
ˈɛːa̯	ˈau̯	0.059
ˈɪ	ˈu	0.056
a	-	0.056
