Gascon	Walloon	probability
i	i	1.0
p	p	1.0
t	t	1.0
ð	-	1.0
ɣ	-	1.0
ʃ	ʃ	1.0
ʦ	ʃ	1.0
a	-	0.161
u	-	0.641
ɡ	k	0.151
ɡ	-	0.431
ɾ	ʀ	0.791
ʒ	-	0.11
ˈa	ˈɔː	0.121
ˈe	w_ˈɛ	0.181
ˈi	-	0.051
ˈɔ	ˈoː	0.091
ˈɔ	ˈuː	0.11
ˈɛ	-	0.141
d	d_w	0.092
j	ˈiː	0.372
s	s	0.892
ˈe	ˈɛ	0.182
ˈu	ˈuː	0.322
ˈy	-	0.102
ˈɛ	ˈɛ	0.232
b	b	0.293
h	f_w	0.063
l	l	0.923
ˈa	ˈɛ	0.053
j	w	0.14
m	-	0.224
r	-	0.054
w	ˈuː	0.234
z	ʒ	0.674
ŋ	ˈẽ	0.304
ɲ	-	0.14
ʎ	ˈa	0.764
ˈa	ˈiː	0.054
ˈu	ˈɔ̃	0.094
ˈu	ˈɔ	0.394
ˈy	ˈɔ̃	0.094
ˈɔ	w_ˈa	0.294
ˈɛ	j_ˈɛ	0.204
β	v	0.334
a	ɔː	0.055
a	ɛ	0.115
e	ɛ	0.325
n	n	0.975
s	ʃ	0.095
ŋ	ˈɔ̃	0.55
ɔ	w	0.075
ɔ	j	0.925
ˈe	-	0.375
ˈi	ˈi	0.215
ˈu	ˈɛ	0.065
ˈy	ˈy	0.155
ˈy	ˈɛ	0.265
ˈy	ˈu	0.35
ˈɔ	ˈɔ	0.505
ˈɛ	j	0.055
ˈɛ	ˈɛː	0.105
e	-	0.246
k	ʧ	0.46
m	m	0.776
r	ʀ	0.946
ŋ	n	0.146
ɲ	ɲ	0.86
ʎ	-	0.236
ˈe	w	0.066
ˈi	ˈiː	0.116
ˈu	ˈøː	0.06
b	v	0.707
d	d	0.887
h	f	0.937
l	-	0.077
w	-	0.507
z	s	0.137
ˈa	-	0.127
ˈɛ	ˈi	0.097
ˈɛ	ˈiː	0.167
β	-	0.487
a	a	0.668
j	-	0.488
k	k	0.48
ˈa	ˈɛ̃	0.208
ˈa	ˈe	0.228
ˈi	ˈɛ	0.618
e	ʀ	0.349
k	-	0.059
u	ɔ	0.359
w	w	0.259
z	-	0.189
ɡ	ɡ	0.419
ɾ	-	0.199
ʒ	ʤ	0.89
ˈa	ˈa	0.209
β	f	0.179
