English	English	probability
θ_ˈɪ	d̥_ˈɪ	1.0
θ	d̥	1.0
ˈɪ_ə	ɐ	1.0
ˈɛ	-	1.0
ˈiː_n	eː	1.0
ʤ	ɡ̊	1.0
ɡ_ə	ɐ	1.0
ɡ	ɡ̊	1.0
ɜː	r_ˈaɪ̯	1.0
əʊ̯	-	1.0
ŋ	ŋ	1.0
w_ˈe	v_ˈɒ	1.0
tʰ	ʦ	1.0
t_#>	ʦ_#>	1.0
s_t	ʃ_d̥	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
n_d	n	1.0
n_#>	#>	1.0
l	l	1.0
kʰ	ɡ̊	1.0
k_#>	#>	1.0
h	h	1.0
f_#>	b̥_#>	1.0
b	b̥	1.0
<#_n	<#_n	1.0
<#	<#_ˈɛ	1.0
f	f	0.962
d	d̥	0.936
ə	ɐ	0.926
ɹ	r	0.923
w	v	0.92
ɫ	l	0.895
ʃ	ʃ	0.846
n	n	0.781
m	m	0.778
s	s	0.756
ð	ɾ	0.714
ˈuː	-	0.667
ʧ	ɡ̊	0.667
ˈæ	ˈɒ	0.636
#>	ç_#>	0.636
v	m	0.625
ɪ	-	0.6
ˈaʊ̯	ˈaʊ̯	0.571
ˈəʊ̯	ˈaː	0.533
ˈɪ	ˈɪ	0.519
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuː	0.5
ˈɜː	ˈɔ_ɐ	0.5
ˈɜː	ɐ	0.5
ˈɐ	ˈʊ	0.5
ˈaɪ̯	ˈaɪ̯	0.5
z	s	0.5
z	-	0.5
p	v̥	0.5
p	f	0.5
k	ɡ̊	0.5
j	j	0.5
j	-	0.5
ˈɒ	ˈɔ	0.429
ˈɔː	ˈɔ_ɐ	0.4
ˈɔː	ɐ	0.4
ɪ	ɪ	0.4
ˈe	ˈɛ	0.391
ˈɑː	ˈoː	0.375
v	β	0.375
k	x	0.357
t	s	0.353
ˈəʊ̯	-	0.333
ˈuː	ˈuː	0.333
ʧ	ç	0.333
ˈɒ	ˈɒ	0.286
ˈɒ	-	0.286
ð	-	0.286
ˈiː	ˈiː	0.276
ˈeɪ̯	ˈɒ	0.273
ˈeɪ̯	ˈoː	0.273
ˈɑː	ˈɛ_ɐ	0.25
ˈɑː	ˈɒ_l	0.25
s	ʃ	0.244
m	m_a	0.222
ˈaʊ̯	ˈuː	0.214
ˈaʊ̯	-	0.214
ˈiː	ˈaː	0.207
ˈɔː	ˈɒ	0.2
ˈɪ	ˈiː	0.185
ˈæ	ˈɛ	0.182
ˈæ	-	0.182
ˈeɪ̯	ˈoː_ŋ	0.182
ˈeɪ̯	-	0.182
#>	ɡ̊_#>	0.182
#>	x_#>	0.182
ˈaɪ̯	ˈɪ	0.179
t	z̥	0.176
t	d̥	0.176
ˈe	ˈuː	0.174
ˈe	-	0.174
ˈɐ	ˈuː	0.167
n	n_a	0.156
ʃ	ʃ_n	0.154
ˈɪ	ˈeː	0.148
k	-	0.143
ˈiː	ˈoː	0.138
ˈiː	-	0.138
ˈəʊ̯	ˈɒ	0.133
ˈe	ˈeː	0.13
ˈe	ˈaː	0.13
ˈɑː	ˈa	0.125
ˈɐ	ˈɒ	0.125
ˈɐ	-	0.125
ˈaɪ̯	ˈiː_ŋ	0.107
ɫ	l_n	0.105
ˈiː	ˈiː_ɐ	0.103
ˈeɪ̯	ˈɒː	0.091
t	ç_d̥	0.088
ˈɐ	ˈaʊ̯	0.083
w	-	0.08
ɹ	-	0.077
ˈɪ	ˈaɪ̯	0.074
ˈɪ	-	0.074
ə	-	0.074
ˈaɪ̯	ˈɒ_x	0.071
ˈaɪ̯	ˈiː	0.071
ˈaɪ̯	x	0.071
ˈiː	ˈeː	0.069
ˈiː	ˈaɪ̯	0.069
d	d̥_n	0.064
n	ˈoː	0.062
t	ʦ_n	0.059
t	ʦ	0.059
t	x_d̥	0.059
