Corsican	Asturian	probability
c	ʝ	1.0
f	f	1.0
kː	k	1.0
n	n	1.0
o	o	1.0
s	s	1.0
z	s	1.0
ŋ	ŋ	1.0
ʎ	ʝ	1.0
ʤ	-	1.0
ʧ	θ	1.0
ˈi	ˈi	1.0
a	e	0.081
i	-	0.161
k	k	0.731
p	p	0.711
t	t	0.531
v	b_j	0.11
w	w	0.731
ɲ	ɲ	0.941
ˈa	ˈa_ɾ	0.131
ˈa	ˈa	0.81
ˈɛ	ˈe	0.761
a	a	0.882
j	<#_e	0.292
m	m	0.982
tː	-	0.332
u	-	0.072
v	β	0.392
ˈe	ˈe	0.582
j	j	0.413
l	ʎ	0.493
lː	l	0.083
r	ɾ	0.853
ˈɔ	w_ˈe	0.393
e	e	0.834
i	i	0.334
k	ɣ	0.134
l	l	0.494
t	-	0.074
tː	t	0.274
tː	ʧ	0.394
ɟ	ʃ	0.944
ɡ	ɣ	0.344
ˈo	ˈo	0.884
ˈu	ˈu	0.844
ˈɔ	o	0.064
b	β	0.205
b	b	0.795
e	-	0.105
i	e	0.505
t	ð	0.395
u	u	0.795
d	-	0.436
e	ˈe_ɾ	0.06
j	-	0.166
k	-	0.136
ɟ	-	0.056
ɡ	ɡ	0.656
ˈo	w_ˈe	0.116
ˈu	ˈo	0.156
lː	ʎ	0.917
u	o	0.07
ˈa	ˈe	0.057
ˈɔ	ˈo	0.507
r	r	0.098
v	b	0.498
ˈe	j_ˈe	0.418
d	d	0.529
j	<#_ɡ	0.129
p	β	0.289
u	e	0.059
w	-	0.269
ɲ	n	0.059
ˈɛ	j_ˈe	0.239
