Slovak	Slovak	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʎ	l	1.0
ʊ̯ɔ	ɔ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɫ̩	ɔ_w	1.0
ɫ_a	w_o	1.0
ɪ̯a	a	1.0
ɦ	ɦ	1.0
ɡ̊	ɪ	1.0
ɟ̊	ʨ	1.0
ɟ	ʥ	1.0
ɛ_s	e_s	1.0
ɛ_#>	ɔ_#>	1.0
ɔ_s	o_s	1.0
æ	a	1.0
z̥	z̥	1.0
z	z	1.0
v	-	1.0
uː	u	1.0
u	u	1.0
s	s	1.0
r̩ː	ɔ_ʀ	1.0
r_a	ʀ_ɔ	1.0
n	n	1.0
l̩	w_u	1.0
j	j	1.0
f	p	1.0
e	ɛ	1.0
d̥	d̥	1.0
d	d	1.0
c	ʨ	1.0
b̥	b̥	1.0
aː_ʋ	a_w	1.0
<#_ɔ	<#_w_ɔ	1.0
<#_u	<#_w_u	1.0
#>	ɔ_#>	1.0
t	t	0.9
k	k	0.885
a	a	0.87
x	x	0.857
ɫ	w	0.812
ɔ	ɔ	0.756
b	b	0.75
m	m	0.7
iː	ɪ	0.667
p	p	0.636
r	ʀ	0.607
i	ɪ	0.591
ɪ̯ɛ	e	0.583
l	l	0.583
ʋ	w	0.52
r̩	ʀ	0.5
r̩	e_ʀ	0.5
aː	a	0.5
aː	-	0.5
ʋ	ɥ	0.48
ɛ	ɛ	0.429
l	w	0.417
i	i	0.409
p	pʲ	0.364
iː	i	0.333
r	ʀʲ	0.321
m	mʲ	0.3
ɪ̯ɛ	ɔ	0.25
b	bʲ	0.25
ɛ	ɔ	0.238
ɫ	l	0.188
ɪ̯ɛ	ɛ	0.167
ɛ	e	0.167
ɛ	-	0.167
ɔ	-	0.146
x	xʲ	0.143
k	kʲ	0.115
t	ʨ	0.1
ɔ	o	0.098
r	ʃ	0.071
