Walloon	Walloon	probability
ˈɛ̃ː	-	1.0
ˈɛː	-	1.0
ˈɑ̃	ˈa_n	1.0
ˈyː	ˈɔ	1.0
ˈy	ˈu	1.0
ˈu	ˈu	1.0
ˈeː	ˈɛ	1.0
ʒ	-	1.0
ɲː	ɡ_e	1.0
ɛː	a_ʣ	1.0
ɔ̃	ɔ_n	1.0
ɔː	ɛ	1.0
z	j_z	1.0
w_#>	a_#>	1.0
uː	u	1.0
u	ˈi_ð	1.0
t_#>	#>	1.0
t	t	1.0
p_l	p_ɾ	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈa	ɛ	1.0
f_l	f_ɾ	1.0
ẽ	i_m	1.0
b	b	1.0
<#_ʀ	<#_ɾ	1.0
<#_ɛ	<#_i	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_k	<#	1.0
<#_a	<#_a	1.0
<#	<#_i	1.0
p	p	0.923
m	m	0.895
l	l	0.885
k	k	0.875
v	b	0.818
d	d	0.8
n	n	0.786
f	f	0.731
ʧ	k	0.714
a	a	0.714
ˈuː	ˈɔ	0.667
ˈẽ	ˈi_n	0.667
ɡ	ɡ	0.667
ˈɔː	ˈa	0.615
s	s	0.583
ɲ	n_ʣ	0.571
<#_s	<#_s	0.571
ˈa	ˈa	0.526
ʀ	ɾ	0.52
ˈøː	ˈu	0.5
ˈoː	ˈa	0.5
ˈoː	ɔ̆	0.5
i	i	0.5
i	-	0.5
ˈɛ	ˈi	0.481
ɔ	ˈɔ	0.462
<#_s	<#_k	0.429
ʃ	s_k	0.417
ʃ	s	0.417
ˈɔ	ˈu	0.412
ˈɔ̃	ˈɔ_n	0.385
#>	u_#>	0.38
ˈe	ˈa	0.375
ʤ	ʣ	0.375
ʤ	ɡ	0.375
ˈɛ̃	ˈe_n	0.333
ˈẽ	n_ɛ	0.333
ɡ	ɣ	0.333
#>	ɛ_#>	0.319
ˈe	ˈa_ɾ	0.312
ˈe	ɾ_ɛ	0.312
ɛ	i	0.3
ɛ	-	0.3
ˈɔ	ˈɔ	0.294
ˈɔ	ˈo	0.294
ʧ	k_a	0.286
ɲ	nː	0.286
a	-	0.286
ˈiː	ˈa_ɾ	0.278
ˈi	ˈi	0.273
#>	a_#>	0.252
ˈøː	ˈɔ_ɾ	0.25
ˈøː	ˈo_k	0.25
ʤ	-	0.25
ˈɔː	-	0.231
ɔ	-	0.231
ˈɛ̃	ˈɛ_n	0.222
ˈɛ̃	n_t	0.222
ˈɛ̃	n	0.222
j	ɛ	0.217
n	nː	0.214
ɛ	ˈa	0.2
ɛ	a	0.2
w	ˈɛ	0.2
w	ˈɔ	0.2
w	ˈi	0.2
w	-	0.2
d	-	0.2
ˈi	ˈɛ	0.182
ˈi	ˈi_ɾ	0.182
ˈi	ˈi_l	0.182
ˈi	ɛ	0.182
j	ˈe	0.174
ˈuː	ˈu_ɾ	0.167
ˈuː	ˈo_β	0.167
ˈiː	ˈɛ	0.167
ˈiː	ˈi	0.167
ˈiː	ˈa	0.167
ʃ	s_i	0.167
ʀ	ɛ_ɾ	0.16
ˈa	ɖː_u	0.158
ˈɔ̃	ˈɔ	0.154
ˈɔ̃	ˈu_n	0.154
ˈɔ̃	ˈu	0.154
ˈɔ̃	ˈo_n	0.154
ˈɔː	ˈa_k	0.154
ɔ	ɔ	0.154
ɔ	u	0.154
f	β	0.154
ˈɛ	ɛ	0.148
ɲ	ɲ	0.143
ʀ	ɛ	0.14
ʀ	r	0.14
j	ʣ_a	0.13
j	t_a	0.13
j	a	0.13
j	-	0.13
s	ʦ	0.125
s	s_t	0.125
k	-	0.125
l	ɾ	0.115
f	p	0.115
ˈɛ	ˈɛ	0.111
ˈɛ	ˈe	0.111
ˈiː	ˈɛ_ð	0.111
ˈiː	ˈe	0.111
ˈa	ˈɔ	0.105
ˈa	ɾ_t	0.105
ˈa	u	0.105
m	m_i	0.105
w	ɾ	0.1
w	k	0.1
v	b_ˈi	0.091
v	-	0.091
j	k_ɾ	0.087
s	t	0.083
s	k	0.083
p	ɾ	0.077
ˈɛ	ɣ_ɛ	0.074
ˈɛ	a	0.074
