Ligurian	Sicilian	probability
f	f	1.0
o	ʊ	1.0
ɔː	a	1.0
ɲ	ɲː	1.0
ˈa	ˈa	1.0
ˈy	ˈu	1.0
ˈyː	ˈu	1.0
ˈø	ˈɔ	1.0
ˈøː	ˈɔ	1.0
ˈɔ	ˈɔ	1.0
l	l	0.661
s	ɕ	0.201
ŋ	n_ʊ	0.231
ʃ	ʃː	0.711
ˈaː	ˈa_r	0.261
ˈe	ˈi	0.701
ˈuː	ˈu	0.51
j	l	0.292
n	nː	0.212
r	ɽ	0.072
s	ʧː	0.052
ɡ	k	0.562
ˈɛː	ˈi	0.052
d	-	0.253
e	ʊ	0.063
j	-	0.23
k	kː	0.143
r	-	0.153
v	v	0.793
w	ˈu	0.113
z	ɕ	0.143
z	j	0.773
ʤ	cː	0.243
ʧ	c	0.73
ˈeː	ˈɛ	0.953
ˈiː	ˈi	0.93
ˈuː	ˈu_p	0.283
a	a	0.964
b	v	0.104
i	i	0.4
s	s	0.554
w	-	0.174
ˈaː	ˈa_ɾ	0.174
ˈɛ	ˈi	0.174
m	mː	0.115
m	m	0.885
r	r	0.175
t	tː	0.295
u	ʊ	0.915
w	ʊ	0.155
z	ʤ	0.085
ʒ	ɪ_#>	0.155
ʒ	ɕ	0.845
ˈaː	ˈa	0.525
b	b	0.896
e	ɪ	0.656
p	p	0.96
r	ɾ	0.6
t	t	0.596
ŋ	n_ɪ	0.096
ʤ	ɟː	0.716
ˈu	ˈu	0.506
ˈuː	ˈu_ɾ	0.206
ˈɛ	ˈɛ	0.826
ˈɛː	ˈɛ	0.416
d	d	0.567
j	ɾ	0.197
k	k	0.857
ʧ	-	0.27
ˈi	ˈi	0.967
ˈiː	j	0.07
ˈu	ˈɔ	0.267
d	ɾ	0.18
e	i	0.118
i	ɪ	0.578
n	n	0.788
s	ʃ	0.108
t	ʈ	0.068
w	w	0.558
ŋ	ŋ	0.118
ŋ	n	0.488
ɡ	ɡ	0.438
ˈu	ˈo	0.228
ˈɔː	ˈɔ	0.978
e	ɪ_ɾ	0.089
j	ɪ_ɾ	0.199
l	ɖː	0.339
v	p	0.199
ʃ	ç	0.289
ˈe	ˈɛ	0.299
ˈɛː	ˈa	0.509
