Hoisanese	Hoisanese	probability
ᵑɡ_e	ɚ	1.0
ᵑɡ	z	1.0
ᵐb_u	w_ə	1.0
ᵐb	m	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɵ_k̚	u	1.0
ɵ	o	1.0
ɔ_j	j	1.0
ŋ	ŋ	1.0
²¹	⁵³	1.0
²²	²¹	1.0
²	⁵³	1.0
w_ɔ	a	1.0
w_³³	w_⁵⁵	1.0
v	x_w	1.0
u_t̚	ɥ_e	1.0
u_j	y	1.0
t̚_⁵⁵	²¹	1.0
t̚_³²	²¹	1.0
t	ʦ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m̩	v_u	1.0
m	n	1.0
l	n	1.0
k̚_⁵⁵	²¹	1.0
kʰ	ʨʰ	1.0
j_ɛ	ɛ	1.0
j_i	i	1.0
j_a	a	1.0
h_w	kʰ	1.0
a_t̚	a	1.0
a_k̚	ɛ	1.0
a_j	i	1.0
a	a	1.0
<#_ᵑɡ	<#	1.0
<#	<#_t	1.0
⁵⁵	⁵³	0.84
f	f	0.8
³²	²¹³	0.75
w	w	0.75
³³	⁵⁵	0.698
ɔ	a	0.667
ɬ	ɕ	0.625
e_j	i	0.6
j	j	0.579
u	u	0.545
ⁿd	nʲ	0.5
ⁿd	n	0.5
tʰ	ʨʰ	0.5
tʰ	ʦʰ	0.5
k	ʨ	0.5
k	k	0.5
a_ŋ	ə_n	0.5
a_ŋ	n	0.5
e_j	z̩	0.4
ɬ	s	0.375
h	tʰ	0.333
j	-	0.316
e	ə	0.3
e	j_ɛ	0.3
h	x	0.278
u	z̩	0.273
i	ə	0.273
³²	²¹	0.25
w	a	0.25
³³	²¹³	0.209
ɔ	o	0.2
f	kʰ	0.2
e	ɛ	0.2
e	i	0.2
u	ɥ_a	0.182
i	z̩	0.182
i	j_ə	0.182
i	i	0.182
i	-	0.182
h	ʨʰ	0.167
⁵⁵	²¹	0.16
ɔ	-	0.133
h	ɕ	0.111
h	kʰ	0.111
j	i	0.105
³³	²¹	0.093
