Bavarian	Gothic	probability
a	a	0.515
a	oː	0.216
a	-	0.16
a	u	0.058
a	r	0.051
b̥	b	0.741
b̥	f	0.132
b̥	t	0.074
b̥	β	0.053
d̥	θ	0.468
d̥	d	0.379
d̥	ð	0.113
f	f	0.651
f	p	0.217
f	i_f	0.062
h	h	1.0
i	a	0.651
i	l	0.349
j	l	0.776
j	lː	0.125
j	j	0.099
kʰ	k	0.877
kʰ	kʷ	0.079
l	l	0.988
m	m	0.618
m	-	0.207
m	β	0.175
n	n	0.921
p	β	1.0
p͡f	p	0.758
p͡f	β	0.242
r	r	0.901
r	ˈi	0.083
s	s	0.849
s	t	0.102
t	t	0.509
t	θ	0.363
t	d	0.065
t	ð	0.064
x	h	0.788
x	k	0.212
ç	k	1.0
ŋ	ŋ	0.91
ŋ	ɡ	0.09
ɐ	r	0.645
ɐ	j	0.116
ɐ	i	0.097
ɐ	ˈiː	0.097
ə	a	0.569
ə	oː	0.272
ə	e	0.159
ɡ̊	ɡ	0.449
ɡ̊	ɣ	0.274
ɡ̊	x	0.24
ʃ	k	0.673
ʃ	s	0.327
ʋ	w	0.873
ʋ	ʍ	0.127
ʦ	t	1.0
ˈa	ˈa	0.557
ˈa	ˈɛː	0.237
ˈa	ˈu	0.118
ˈa	ˈɔː	0.087
ˈai̯	ˈiː	0.416
ˈai̯	ˈiu̯	0.251
ˈai̯	j	0.134
ˈai̯	ˈɛː	0.102
ˈai̯	ˈoː	0.097
ˈau̯	ˈuː	0.63
ˈau̯	oː	0.159
ˈau̯	ˈu	0.143
ˈau̯	ˈɔː	0.068
ˈaː	ˈiu̯	0.563
ˈaː	ˈa	0.271
ˈaː	ˈɔː	0.101
ˈaː	ˈɔ	0.065
ˈe	ˈɛ	0.526
ˈe	ˈa	0.145
ˈe	ˈɔː	0.096
ˈe	ˈiu̯	0.089
ˈe	ˈi	0.082
ˈe	ˈɛː	0.062
ˈeɐ̯	ˈoː	0.806
ˈeɐ̯	ˈɛ	0.194
ˈeː	ˈi	0.487
ˈeː	ˈɔː	0.222
ˈeː	ˈa	0.219
ˈeː	ˈuː	0.058
ˈi	ˈi	0.859
ˈi	w	0.063
ˈiɐ̯	ˈiu̯	1.0
ˈiː	ˈi	1.0
ˈo	ˈa	0.541
ˈo	ˈu	0.276
ˈo	ˈi	0.183
ˈou̯	ˈɔː	0.864
ˈou̯	ˈɔ	0.136
ˈoɐ̯	ˈɛː	0.539
ˈoɐ̯	ˈɔ	0.261
ˈoɐ̯	ˈa	0.105
ˈoɐ̯	ˈɔː	0.056
ˈoː	ˈa	0.491
ˈoː	ˈeː	0.205
ˈoː	ˈu	0.186
ˈoː	ˈɔː	0.118
ˈu	ˈu	0.833
ˈu	ˈi	0.152
ˈuɐ̯	ˈoː	0.908
ˈuɐ̯	ˈɔ	0.092
ˈy	ˈu	1.0
ˈɒ	ˈa	1.0
ˈɒː	ˈeː	0.525
ˈɒː	nː	0.475
ˈɔ	ˈa	0.431
ˈɔ	ˈeː	0.289
ˈɔ	ˈu	0.157
ˈɔ	ˈɔː	0.071
ˈɔ	ˈɔ	0.052
ˈɛ	ˈa	0.597
ˈɛ	ˈɛ	0.317
ˈɛ	ˈi	0.087
ˈɛː	ˈɛː	0.884
ˈɛː	iː	0.116
