Ladin	Ladin	probability
ˈɛ_ɡ	ˈɛ	1.0
ˈɛ_k_#>	w_#>	1.0
ˈɔ_s	ˈo	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_l	ˈɔ_l	1.0
ˈo_w	ˈu	1.0
ʧ	ʦ	1.0
ʥ	ʧ	1.0
ʤ	-	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	ˈɛ_s	1.0
w_ʃ	j_s	1.0
w_t	w_t	1.0
u	y	1.0
s_ˈɛ	s_ˈɛ	1.0
s	s	1.0
r_ˈe	r_ˈɔ	1.0
r_t	r_t	1.0
r	r	1.0
p	p	1.0
m_j	m_j	1.0
m_#>	m_#>	1.0
l_#>	l_#>	1.0
l	l	1.0
k	k	1.0
j_ˈɛ	ˈi	1.0
j_a	ə	1.0
j_#>	j_r_#>	1.0
f_#>	f_#>	1.0
f	f	1.0
e_r	r_ə	1.0
e_d	ə	1.0
d_l	ʎ	1.0
b	b	1.0
a_r	a_r	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ã	1.0
m	m	0.923
v	v	0.92
n	n	0.909
j	j	0.905
n_#>	n_#>	0.889
t	t	0.857
a	ə	0.812
ˈe_#>	ˈe_r_#>	0.75
ʨ	ʧ	0.75
i	-	0.75
ɡ	ɡ	0.727
o	u	0.7
t_a	t_ə	0.667
d	d	0.667
ˈu	ˈy	0.636
ʦ	ʦ	0.6
k_#>	k_#>	0.571
ˈɔ	ˈɔ	0.545
ˈi	ˈi	0.545
ˈɛ	ˈɛ	0.538
s_ˈe	s_ˈɛ	0.5
s_ˈe	s_ˈɔ	0.5
<#	<#_ɔ	0.5
<#	<#_v	0.5
e	ə	0.458
ˈɔ	ˈũ	0.455
k_#>	#>	0.429
ʒ	ʤ	0.417
w	w	0.412
ʦ	j_s	0.4
#>	ə_#>	0.385
ʃ	s	0.375
ʃ	e_s	0.375
ˈu	ˈỹ	0.364
ˈo	ˈũ	0.364
ˈo	ˈu	0.364
ˈi	ˈĩ	0.364
ˈe	ˈɔ	0.361
ˈa	ˈa	0.342
ʒ	-	0.333
t_a	ə	0.333
d	-	0.333
ɡ	-	0.273
ˈa	ˈã_j	0.263
ˈe_#>	#>	0.25
ʨ	ʦ	0.25
ʒ	z	0.25
i	ĩ	0.25
e	r_ə	0.25
w	ˈy	0.235
o	-	0.2
ˈɛ	ˈẽ	0.192
#>	n_#>	0.192
ˈa	ˈã	0.184
w	ˈɛ	0.176
w	ˈɔ	0.176
ˈe	j	0.167
ˈe	-	0.167
e	-	0.167
#>	s_#>	0.154
a	a	0.141
ˈo	ˈɔ	0.136
ˈo	-	0.136
ʃ	ʦ	0.125
ʃ	j_s	0.125
#>	ˈe_r_#>	0.115
ˈe	ˈɛ	0.111
ˈe	ˈe	0.111
n_#>	#>	0.111
o	ũ	0.1
j	ˈi	0.095
ˈi	ˈi_ʎ	0.091
n	-	0.091
ˈe	ˈẽ	0.083
e	j	0.083
v	-	0.08
ˈa	j	0.079
ˈa	-	0.079
ˈɛ	j_ˈɛ	0.077
ˈɛ	j	0.077
m	n	0.077
#>	r_#>	0.077
#>	j_#>	0.077
t	j_t	0.071
t	-	0.071
ˈa	w_ˈa	0.053
