Valencian	Logudorese	probability
b	b	1.0
f	f	1.0
j	-	1.0
p	p	1.0
ŋ	m	1.0
ɐ	a	1.0
ʃ	s_k	1.0
e	u	0.111
l	l_e	0.121
u	o	0.651
β	p	0.261
β	β	0.661
r	r_e	0.512
ɜ	a	0.642
ɣ	ɡ	0.22
ɲ	ŋ	0.122
ˈi	e	0.062
ˈi	ˈe	0.072
a	ˈa	0.073
e	a	0.063
s	sː	0.053
s	z	0.123
s	k	0.133
s	s	0.553
w	ɣ_e	0.253
ɡ	ɡ	0.743
ɲ	n_ʣ	0.053
ˈo	ˈo_n	0.163
ˈo	ˈo	0.283
i	j	0.194
r	r	0.24
v	b	0.794
ð	ð	0.94
ɞ	a	0.834
ɾ	r	0.714
ʤ	j	0.114
ˈa	ˈa	0.894
ˈo	ˈu	0.554
d	-	0.185
d	d	0.815
k	k_u	0.085
k	ɣ_u	0.095
m	m	0.875
u	ˈo	0.185
ɣ	ɣ	0.385
ɲ	nː	0.565
ˈe	ˈe	0.665
ˈu	ˈo	0.15
ˈæ	ˈe	0.55
e	-	0.056
e	e	0.366
e	i	0.366
l	l	0.196
l	r	0.336
n	n	0.946
t	t_e	0.226
v	-	0.206
w	u	0.066
ð	t	0.06
ɞ	e	0.166
ɣ	-	0.396
ɲ	ɲː	0.26
ʎ	-	0.166
ʎ	l	0.516
ʤ	ɡ	0.46
ˈa	ˈa_n	0.066
ˈe	ˈe_ɖː	0.06
ˈi	ˈi	0.746
r	rː	0.117
s	-	0.057
t	t_u	0.167
t	t	0.47
u	u	0.127
w	ð_e	0.077
ɡ	b	0.177
ɾ	-	0.167
ʤ	ɣ	0.367
ˈe	ˈa	0.077
ˈe	ˈi	0.197
ˈɒ	ˈo	0.977
a	a	0.818
i	e	0.398
i	i	0.408
l	l_u	0.158
ɜ	u	0.178
ʎ	k_r	0.058
ʎ	u	0.128
ˈi	ˈi_n	0.08
ˈu	ˈu	0.828
a	-	0.109
k	k	0.769
l	-	0.189
t	ð_u	0.119
w	w	0.099
w	-	0.119
w	e	0.369
ɜ	e	0.179
ɡ	ɣ	0.079
ɾ	o_r	0.09
ˈæ	ˈi	0.409
β	b	0.079
