Old Frisian	Afrikaans	probability
θ	d	1.0
ˈi̯aː	ˈi	1.0
ˈi_ʣ	ˈɛː	1.0
ˈi_t	ˈɪə̯_t	1.0
ˈa_l	ˈœu̯	1.0
ʦ	k	1.0
ɡː	χ	1.0
ɡ_ə	ə	1.0
ə_r	r	1.0
ŋ	ŋ	1.0
z	s	1.0
x	χ	1.0
v	-	1.0
tː	t	1.0
s_k	s	1.0
s	s	1.0
r_ˈi	r	1.0
r_t	r_t	1.0
r_d	r_d̥	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
mː	ˈɛ_m	1.0
m	m	1.0
lː	ɫ	1.0
l	ɫ	1.0
kː	k	1.0
k_s	s	1.0
k	k	1.0
iː	i	1.0
i	ə	1.0
h_w	v	1.0
h_l	ɫ	1.0
h	ɦ	1.0
f	v̥	1.0
dː	d̥	1.0
bː	ˈɛː	1.0
b	b	1.0
a	-	1.0
r	r	0.982
n	n	0.948
w	v	0.875
t	t	0.859
ˈi	ˈə	0.854
ˈa	ˈa	0.82
ɣ	χ	0.82
ˈiː	ˈəɪ̯	0.781
ˈaː	ˈʊə̯	0.767
ˈoː	ˈu	0.752
ə	-	0.747
ˈeː	ˈɑː	0.729
ˈuː	ˈœɪ̯	0.672
ˈu	ˈɔ	0.655
d	d̥	0.646
ˈɔː	ˈa	0.625
e	ə	0.614
ˈo	ˈɔ	0.604
ə_n	ə_n	0.592
ð	-	0.583
ˈɛː	ˈɪə̯	0.477
j	χ	0.452
ð	d	0.417
ə_n	ə	0.408
ˈo	ˈʊə̯	0.396
j	-	0.39
e	-	0.386
ˈi̯uː	ˈyː	0.38
ˈɔː	ˈɑː	0.375
ˈi̯uː	-	0.323
ˈi̯uː	ˈi	0.297
ˈeː	ˈu	0.271
ə	ə	0.253
ˈoː	ˈa_n	0.248
ˈɛː	ˈəɪ̯	0.223
ˈɛː	ˈʊə̯	0.216
ˈuː	-	0.196
ˈaː	-	0.191
ˈe	ˈɪə̯	0.185
ˈa	ˈɑː	0.18
ɣ	-	0.18
ˈu	ˈɪø̯	0.173
ˈu	-	0.173
ˈe	ˈa	0.171
d	d	0.164
j	j	0.158
t	-	0.141
ˈe	ˈœ	0.136
ˈuː	ˈɔ_n	0.132
ˈe	ˈɛ	0.132
w	-	0.125
ˈe	ˈæ	0.123
ˈiː	ˈi	0.115
ˈe	ˈæː	0.115
d	-	0.109
ˈiː	-	0.104
ˈi	ˈæ	0.086
ˈɛː	-	0.084
d	j	0.08
ˈe	ˈɑː	0.079
ˈi	ˈɪə̯	0.059
ˈe	-	0.059
n	ə_ŋ	0.052
