German	Swiss German	probability
b	b̥	0.922
b	-	0.074
d	d̥	0.981
d	t	0.036
f	f	0.91
f	fː	0.07
f	p͡f	0.031
h	h	1.0
j	j	1.0
k	ɡ̊	0.483
k	k	0.331
k	χ	0.172
kʰ	χ	1.0
l	l	0.955
l	-	0.029
l	w	0.029
m	m	0.961
m	mː	0.044
n	n	0.459
n	-	0.396
n	ə	0.11
n_t	ŋ	1.0
p	b̥	0.702
p	p	0.283
p͡f	p͡f	1.0
s	s	0.49
s	sː	0.358
s	ʃ	0.148
t	t	0.694
t	d̥	0.179
t	-	0.064
t	tː	0.057
tʰ	t	1.0
v	ʋ	0.96
v	-	0.044
x	χ	1.0
z	s	1.0
ç	χ	0.571
ç	ɡ̊	0.371
ç	-	0.053
ŋ	ŋ	0.833
ŋ	ŋ_ɡ̊	0.133
ɐ	r	0.956
ɐ	-	0.04
ə	ə	0.672
ə	-	0.292
ə	i	0.035
ɡ	ɡ̊	0.964
ɡ	-	0.044
ɪ	i	1.0
ʁ	r	0.983
ʁ	-	0.033
ʃ	ʃ	0.97
ʃ	ʃː	0.04
ʦ	ʦ	1.0
ˈa	ˈɒ	0.632
ˈa	ˈa	0.138
ˈa	ˈɒː	0.102
ˈa	ˈæ	0.058
ˈa	ˈe	0.038
ˈaɪ̯	ˈiː	0.406
ˈaɪ̯	ˈɛi̯	0.175
ˈaɪ̯	ˈei̯	0.137
ˈaɪ̯	ˈæi̯	0.137
ˈaɪ̯	ˈøi̯	0.058
ˈaɪ̯_n	ˈei̯	1.0
ˈaʊ̯	ˈuː	0.497
ˈaʊ̯	ˈau̯	0.249
ˈaʊ̯	ˈou̯	0.249
ˈaː	ˈɒː	0.614
ˈaː	ˈɒ	0.228
ˈaː	ˈoː	0.105
ˈaː	ˈæ	0.051
ˈeː	ˈeː	0.376
ˈeː	ˈæː	0.285
ˈeː	ˈæ	0.229
ˈeː	ˈe	0.083
ˈiː	ˈyː	0.461
ˈiː	ˈiə̯	0.285
ˈiː	ˈi	0.194
ˈiː	ˈy	0.048
ˈoː	ˈoː	0.756
ˈoː	ˈo	0.243
ˈuː	ˈuə̯	0.746
ˈuː	ˈyə̯	0.141
ˈuː	ˈu	0.099
ˈyː	ˈyə̯	0.742
ˈyː	ˈy	0.164
ˈyː	ˈyː	0.042
ˈøː	ˈøː	1.0
ˈœ	ˈø	1.0
ˈɔ	ˈo	0.86
ˈɔ	ˈoː	0.079
ˈɔ	ˈu	0.06
ˈɔɪ̯	ˈøi̯	1.0
ˈɔʏ̯	ˈyː	0.697
ˈɔʏ̯	ˈy	0.127
ˈɔʏ̯	ˈøi̯	0.127
ˈɛ	ˈæ	0.58
ˈɛ	ˈe	0.316
ˈɛ	ˈæː	0.052
ˈɛ	ˈø	0.052
ˈɛː	ˈæː	0.758
ˈɛː	rː	0.089
ˈɪ	ˈi	0.843
ˈɪ	ˈy	0.115
ˈɪ	ˈiə̯	0.045
ˈʊ	ˈu	0.774
ˈʊ	ˈuə̯	0.102
ˈʊ	ˈøi̯	0.099
ˈʊ_n	ˈuː	1.0
ˈʏ	ˈu	0.381
ˈʏ	ˈy	0.246
ˈʏ	ˈyː	0.142
ˈʏ	-	0.042
