Faroese	German	probability
a	ə	0.616
a	n	0.261
a	-	0.105
b̥	b	0.978
d̥	tʰ	0.475
d̥	t	0.385
d̥	d	0.113
f	f	0.842
f	-	0.119
h	h	0.936
h	kʰ	0.064
j	-	0.335
j	ˈɛ	0.261
j	t	0.224
j	ɡ	0.18
k	-	0.361
k	ç	0.33
k	k	0.182
k	x	0.128
kʰ	kʰ	1.0
l	l	0.991
l̥	l	1.0
m	m	0.933
m	-	0.067
n	n	0.953
nː	n	0.989
n̥	ɐ_n	0.44
n̥	n	0.3
n̥	ɐ	0.259
p	f	1.0
r	-	0.639
r	ʁ	0.361
s	z	0.495
s	ʃ	0.297
s	s	0.199
sː	s	1.0
t	s	0.378
t	-	0.36
t	t	0.173
t	ʦ	0.088
tʰ	d	0.507
tʰ	ʦ	0.312
tʰ	tʰ	0.074
tʰ	-	0.063
tː	p͡f	0.669
tː	t	0.331
v	v	0.506
v	b	0.254
v	-	0.09
v	p	0.057
v	f	0.054
w	t	0.439
w	-	0.325
w	k	0.179
w	ə	0.057
ŋ	ŋ	0.722
ŋ	-	0.248
ɑ	n	1.0
ə	ɐ	1.0
ɛ	ɪ	1.0
ɡ̊	ɡ	0.577
ɡ̊	-	0.371
ɡ̊ː	-	0.516
ɡ̊ː	k	0.484
ɪ	ɐ	0.705
ɪ	-	0.211
ɪ	ə	0.084
ɲ	ŋ	1.0
ɹ	-	0.663
ɹ	ʁ	0.172
ɹ	ɐ	0.166
ɹː	k	0.893
ɹː	ˈʏ	0.107
ʃ	ʃ	0.675
ʃ	z	0.216
ʃ	-	0.108
ʈ	ʦ	1.0
ʊ	-	0.812
ʊ	ə	0.081
ʊ	ɐ	0.079
ʊ̯ˈiː	ˈaɪ̯	1.0
ʎ	ˈɔ	1.0
ʤ̊	ɡ	0.588
ʤ̊	-	0.21
ʤ̊	tʰ	0.202
ʤ̊ː	k	0.676
ʤ̊ː	-	0.254
ʤ̊ː	n	0.07
ʧ	x	0.504
ʧ	ç	0.248
ʧ	ɡ	0.248
ʧʰ	d	0.756
ʧʰ	kʰ	0.244
ʧː	n	1.0
ʰkː	ŋ_k	0.908
ʰkː	k	0.092
ʰp	f	0.802
ʰp	p͡f	0.198
ʰpː	f	1.0
ʰt	s	0.964
ʰtː	x	0.363
ʰtː	ʦ	0.339
ʰtː	ç	0.299
ʰʧ	k	1.0
ʰʧː	k	1.0
ˈa	ˈa	0.714
ˈa	-	0.127
ˈa	ˈɔʏ̯	0.073
ˈa	ˈaː	0.06
ˈai̯	ˈaɪ̯	1.0
ˈaːi̯	ˈaɪ̯	1.0
ˈeə̯	ˈɛ	1.0
ˈeː	ˈɪ	0.308
ˈeː	ˈeː	0.265
ˈeː	ˈɛ	0.185
ˈeː	ˈiː	0.15
ˈeː	ˈa	0.093
ˈiː	ˈɪ	0.427
ˈiː	ˈyː	0.298
ˈiː	ˈeː	0.136
ˈiː	ˈaː	0.11
ˈoː	ˈɔ	0.977
ˈuː	ˈoː	0.36
ˈuː	ˈiː	0.321
ˈuː	ˈɔ	0.197
ˈuː	ˈɛ	0.121
ˈøː	ˈyː	0.243
ˈøː	ˈuː	0.222
ˈøː	ˈɛ	0.185
ˈøː	ˈeː	0.171
ˈøː	-	0.141
ˈœ	ˈɪ	0.188
ˈœ	ˈɛ	0.168
ˈœ	ɐ	0.133
ˈœ	ˈɔ	0.118
ˈœ	ˈa	0.086
ˈœ	ˈɛː	0.085
ˈœ	ˈʊ	0.075
ˈœ	ˈuː	0.058
ˈœ	ˈœ	0.056
ˈɔ	ˈa	0.354
ˈɔ	ˈɔ	0.139
ˈɔ	ˈʊ	0.128
ˈɔ	ˈoː	0.121
ˈɔ	ˈaː	0.091
ˈɔ	ˈøː	0.091
ˈɔːi̯	ˈøː	0.434
ˈɔːi̯	ˈoː	0.312
ˈɔːi̯	ˈɔʏ̯	0.216
ˈɔːu̯	ˈuː	0.485
ˈɔːu̯	ˈiː	0.321
ˈɔːu̯	-	0.109
ˈɔːu̯	ˈʊ	0.085
ˈɔ̯aː	ˈaː	0.586
ˈɔ̯aː	ˈoː	0.25
ˈɔ̯aː	ˈeː	0.108
ˈɔ̯aː	ˈa	0.056
ˈɛ	ˈɛ	0.45
ˈɛ	ˈeː	0.19
ˈɛ	ˈaɪ̯	0.135
ˈɛ	ˈa	0.128
ˈɛ	ˈɪ	0.084
ˈɛːa̯	ˈa	0.363
ˈɛːa̯	ˈaː	0.28
ˈɛːa̯	ˈiː	0.167
ˈɛːa̯	ˈeː	0.129
ˈɛːi̯	ˈoː	0.468
ˈɛːi̯	ˈaʊ̯	0.388
ˈɛːi̯	ˈaɪ̯	0.144
ˈɪ	ˈɪ	0.7
ˈɪ	ˈʏ	0.184
ˈʉːu̯	ˈaʊ̯	0.602
ˈʉːu̯	ˈiː	0.291
ˈʉːu̯	ˈuː	0.107
ˈʊ	ˈʊ	0.53
ˈʊ	ˈɔ	0.115
ˈʊ	ˈɔʏ̯	0.078
ˈʊ	ˈœ	0.076
ˈʊ	ˈʏ	0.071
ˈʊ	ˈaʊ̯	0.059
ˈʊ̯iː	ˈaɪ̯	0.559
ˈʊ̯iː	ˈɔʏ̯	0.321
ˈʊ̯iː	ˈiː	0.087
ˈʏ	ˈiː	0.395
ˈʏ	ˈɪ	0.229
ˈʏ	ˈaʊ̯	0.227
ˈʏ	ˈɔ	0.149
