Faroese	German	probability
a	ə	0.669
a	n	0.199
a	-	0.123
b̥	b	0.959
b̥	-	0.048
d̥	tʰ	0.715
d̥	t	0.237
d̥	ʦ	0.049
d̥_ʊ	t	1.0
f	f	0.773
f	-	0.106
f	f_ʁ	0.077
f	ʃ	0.043
h	h	0.984
h	-	0.036
j	-	0.268
j	t	0.203
j	ɡ	0.183
j	ˈɛ	0.122
j	ˈɛː	0.08
j_ʊ	t	1.0
k	ç	0.57
k	k	0.237
k	x	0.146
kʰ	kʰ	1.0
kʰ_v	v	1.0
l	l	1.0
l_ʊ	l	0.494
l̥	l	1.0
m	m	0.947
m	-	0.056
m_ʊ	m	1.0
n	n	0.923
n	-	0.071
nː	n	0.63
nː	n_d	0.231
nː	ˈaʊ̯	0.133
n̥	n	0.422
n̥	ɐ_n	0.237
n̥	ɐ	0.179
n̥	-	0.122
p	f	1.0
p_ʊ	f	1.0
r	ˈɔʏ̯	0.494
s	z	0.4
s	ʃ	0.319
s	s	0.278
s_k	ʃ	1.0
sː	s	1.0
t	s	0.374
t	t	0.369
t	-	0.132
t	ʦ	0.083
tʰ	d	0.47
tʰ	ʦ	0.46
tʰ	tʰ	0.061
tː	p	0.871
tː	p͡f	0.052
v	v	0.515
v	-	0.159
v	b	0.154
v	p	0.071
v	f	0.056
v_ʊ	ˈeː	0.618
v_ʊ	f	0.26
w	-	0.518
w	t	0.422
w	ə	0.053
ŋ	ŋ	0.817
ŋ	n	0.114
ŋ	-	0.066
ə	ɐ	1.0
ɛ	ɪ	0.244
ɡ̊	-	0.538
ɡ̊	ɡ	0.417
ɡ̊	k	0.046
ɡ̊_a	ə	1.0
ɡ̊_ʊ	ç	0.244
ɪ	-	0.496
ɪ	ɐ	0.444
ɪ	ə	0.056
ɲ	ŋ	0.244
ɹ	-	0.645
ɹ	ʁ	0.159
ɹ	ɐ	0.156
ɹ_a	ɐ	1.0
ɹ_ʊ	ɐ	1.0
ɹː	ˈʏ	0.494
ʃ	ʃ	0.725
ʃ	m	0.194
ʃ	z	0.061
ʈ	ʦ	1.0
ʊ	-	0.772
ʊ	ˈeː	0.097
ʊ	ə	0.069
ʊ	ɪ	0.059
ʊ_ɹ	ɐ	0.552
ʊ_ɹ	p	0.321
ʊ_ɹ	k	0.105
ʊ̯ˈiː	ˈaɪ̯	0.494
ʎ	l	1.0
ʤ̊	-	0.42
ʤ̊	tʰ	0.234
ʤ̊	ɡ	0.234
ʤ̊	k	0.067
ʤ̊_a	ə	1.0
ʧ	ɡ	0.758
ʧ	ç	0.091
ʧʰ	d	0.803
ʧʰ	kʰ	0.084
ʧː	n	0.494
ʰkː	ŋ_k	0.561
ʰkː	k	0.425
ʰp	f	0.629
ʰp	p͡f	0.361
ʰt	s	0.826
ʰt	t	0.143
ʰtː	x	0.488
ʰtː	x_t	0.488
ʰtː_ʊ	t	1.0
ʰʧ	k	0.244
ˈa	ˈa	0.772
ˈa	-	0.087
ˈa	ˈaː	0.073
ˈa	ˈaɪ̯	0.056
ˈai̯	ˈaɪ̯	1.0
ˈaːi̯	ˈaɪ̯	1.0
ˈeə̯	ˈɛ	1.0
ˈeː	ˈɪ_ç	0.259
ˈeː	ˈɛ	0.259
ˈeː	ˈa	0.149
ˈeː	ˈeː	0.108
ˈeː	-	0.101
ˈiː	ˈɪ	0.549
ˈiː	ˈaː	0.144
ˈiː	ˈyː	0.106
ˈiː	ˈeː	0.094
ˈoː	ˈɔ	0.43
ˈoː	ˈaː	0.105
ˈuː	ˈɔ	0.297
ˈuː	ˈɛ	0.297
ˈuː	ˈiː	0.183
ˈuː	ˈoː	0.113
ˈøː	ˈyː	0.351
ˈøː	ˈɛ	0.195
ˈøː	ˈeː	0.115
ˈøː	ˈaː	0.112
ˈøː	-	0.108
ˈœ	ˈɔ	0.202
ˈœ	ˈaʊ̯	0.141
ˈœ	ˈʊ	0.141
ˈœ	ˈuː	0.106
ˈœ	-	0.103
ˈœ_t	ɐ	1.0
ˈɔ	ˈa	0.456
ˈɔ	ˈoː	0.176
ˈɔ	ˈʊ	0.166
ˈɔ	ˈøː	0.088
ˈɔ	ˈaː	0.069
ˈɔ_t	ˈɔ	1.0
ˈɔːi̯	ˈoː	0.341
ˈɔːi̯	ˈaʊ̯	0.194
ˈɔːi̯	ˈɔɪ̯	0.194
ˈɔːi̯	ˈøː	0.08
ˈɔːu̯	ˈuː	0.548
ˈɔːu̯	ˈiː	0.339
ˈɔːu̯	ˈʊ	0.097
ˈɔ̯aː	ˈaː	0.524
ˈɔ̯aː	ˈoː	0.306
ˈɔ̯aː	ˈeː	0.092
ˈɔ̯aː	ˈa	0.066
ˈɛ	ˈɛ	0.37
ˈɛ	ˈa	0.21
ˈɛ	-	0.139
ˈɛ	ˈɪ	0.094
ˈɛ	ˈaɪ̯	0.081
ˈɛːa̯	ˈa	0.377
ˈɛːa̯	ˈaː	0.296
ˈɛːa̯	-	0.138
ˈɛːa̯	ˈiː	0.091
ˈɛːa̯	ˈɛ	0.065
ˈɛːi̯	ˈaʊ̯	0.491
ˈɛːi̯	ˈoː	0.381
ˈɛːi̯	ˈaɪ̯	0.102
ˈɪ	ˈɪ	0.582
ˈɪ	ˈʏ	0.101
ˈɪ	ˈuː	0.084
ˈɪ	ˈɔ	0.084
ˈɪ	ˈɛ	0.067
ˈʉːu̯	ˈaʊ̯	0.711
ˈʉːu̯	ˈiː	0.165
ˈʉːu̯	ˈuː	0.101
ˈʊ	ˈʊ	0.273
ˈʊ	-	0.225
ˈʊ	ˈɔʏ̯	0.18
ˈʊ	j	0.088
ˈʊ	ˈʏ	0.072
ˈʊ_t	ˈɔ	1.0
ˈʊ_ʤ̊	ˈeː	0.494
ˈʊ̯iː	ˈaɪ̯	0.626
ˈʊ̯iː	ˈɔʏ̯	0.185
ˈʊ̯iː	ˈiː	0.167
ˈʏ	ˈiː	0.392
ˈʏ	ˈɪ	0.392
ˈʏ	ˈɔ	0.126
