Luxembourgish	Danish	probability
h	h	1.0
kʰ	kʰ	1.0
p	p	1.0
v̥	w	1.0
w	ʋ	1.0
z	s	1.0
ɡ	ɡ̊	1.0
ɡ̊	ŋˀ	1.0
ˈiə̯	ˈeˀ	1.0
ˈoː	ˈɔˀ	1.0
ˈæ	ˈe	1.0
ˈæːʊ̯	ˈuˀ	1.0
ˈɑɪ̯	ˈyˀ	1.0
ˈɑʊ̯	ˈuˀ	1.0
ˈɔ	ˈɔ	1.0
ˈɛ	ˈɛ	1.0
ˈɛː	j	1.0
ˈʊ	ˈoˀ	1.0
d̥	ð̞ˠ	0.971
f	b̥	0.21
m	m	0.981
n	nˀ	0.151
v	ʋ	0.791
ɕ	k	0.061
ə	ə	0.201
ˈo	ˈu	0.61
ˈə	ˈø	0.181
ˈəʊ̯	ˈœˀ	0.531
l	lˀ	0.202
ɐ	ɐˀ	0.092
ə	-	0.642
ʃ	s_k	0.432
ˈeː	ˈɑˀ	0.102
χ	-	0.922
k	ɡ̊	0.513
ŋ	ŋ_ə	0.073
ˈaː	ˈo_ɐˀ	0.093
ˈaː	ˈa	0.443
ˈeː	ˈeˀ	0.833
ˈiː	ˈi	0.383
ˈɜɪ̯	ˈyː_w	0.053
ˈɜɪ̯	ˈɔˀ	0.143
d	ʦʰ	0.424
s	s	0.374
t	ð̞ˠ	0.284
ŋ	-	0.364
ɐ	ʌ	0.194
ʦ	t	0.364
ˈaː	ˈœˀ	0.054
ˈo	ˈœ	0.144
ˈəʊ̯	ˈoˀ	0.274
ˈɜɪ̯	ˈyˀ	0.274
f	f	0.745
ŋ	ŋˀ	0.275
ɕ	-	0.285
ə	ʋ	0.055
ˈaː	ˈɑˀ	0.215
ˈeː	ˈɑ	0.065
ˈu	ˈoˀ	0.325
ˈəʊ̯	ˈɔː	0.195
b	b̥	0.96
d	-	0.16
d	d̥	0.416
ɐ	ɐ	0.546
ə	ɐ	0.076
ʀ	n	0.106
ʀ	ʁ	0.816
ʦ	ʦʰ	0.636
ˈe	ˈy	0.146
ˈo	ˈʌ	0.246
ˈu	ˈʌ	0.636
ˈæːɪ̯	ˈiˀ	0.96
ˈɑ	ˈɛ	0.06
ˈɑ	ˈa	0.406
ˈə	j	0.096
ˈə	ˈɑ	0.126
ˈɜɪ̯	ˈeˀ	0.086
ˈɜɪ̯	ˈyː	0.166
k	k	0.487
n	n	0.837
s	ð̞ˠ	0.607
t	t	0.67
ɐ	ə	0.077
ɕ	j	0.607
ˈe	ˈœ	0.187
ˈɑ	ˈɑ	0.097
ˈɑ	ˈe	0.437
ˈə	ˈe	0.597
l	l	0.798
ŋ	n	0.108
ʀ	-	0.078
ʃ	s	0.568
ˈaː	ˈɑ	0.168
ˈe	ˈe	0.428
ˈiː	ˈyˀ	0.238
ˈɜɪ̯	ə	0.278
χ	w	0.078
v	w	0.209
ŋ	ə_#>	0.149
ˈe	ˈiˀ	0.239
ˈiː	ˈɛ	0.379
