Luxembourgish	Danish	probability
b	b̥	0.93
b	b̥_j	0.055
d	d̥	0.473
d	ʦʰ	0.39
d	-	0.119
d_ɐ	ɐ	0.463
e	ŋ	0.1
f	f	0.512
f	-	0.292
f	b̥	0.087
f	pʰ	0.04
f	p	0.035
h	h	0.863
h	j	0.132
j	-	0.5
j	ˈɔ	0.5
k	ɡ̊	0.565
k	k	0.336
k	-	0.052
kʰ	kʰ	1.0
l	l	0.722
l	lˀ	0.252
l	-	0.028
m	m	0.865
m	mˀ	0.098
m	-	0.037
n	-	0.528
n	n	0.408
n	nˀ	0.047
n	mˀ	0.022
n_t	nˀ	1.0
p	b̥	0.463
s	ð̞ˠ	0.478
s	s	0.437
s	-	0.043
s	nˀ	0.036
t	ð̞ˠ	0.409
t	t	0.333
t	-	0.256
v	ʋ	0.52
v	-	0.32
v	w	0.095
v	v	0.051
v_ˈo	ˈu	1.0
v_ˈuː	ˈo	1.0
w	ʋ	0.398
w	-	0.194
w	ˈo	0.129
w	ˈyː	0.079
w	ˈoˀ	0.076
z	s	1.0
ŋ	ŋ	0.377
ŋ	ŋˀ	0.279
ŋ	-	0.273
ŋ	n	0.042
ŋ_k	ŋˀ	0.58
ŋ_k	k	0.383
ɐ	ɐ	0.606
ɐ	-	0.218
ɐ	ə	0.064
ɐ	ɐˀ	0.058
ɐ	lˀ	0.042
ɐ_t	ɐˀ	1.0
ɕ	j	0.365
ɕ	k	0.178
ɕ	-	0.135
ɕ	ŋ	0.102
ɕ	ɡ̊	0.102
ɕ_t	t	1.0
ə	ə	0.42
ə	-	0.32
ə	w	0.121
ə	e	0.031
ə	wˀ	0.031
ə_ɕ	i	1.0
ɡ	ɡ̊	0.875
ɡ	-	0.123
ʀ	ʁ	0.787
ʀ	ɐˀ	0.129
ʀ	-	0.077
ʃ	s	0.574
ʃ	s_k	0.352
ʃ	f	0.042
ʃ	-	0.036
ʑ	-	0.215
ʦ	ʦʰ	0.596
ʦ	t	0.268
ʦ	-	0.106
ˈaː	ˈa	0.266
ˈaː	ˈo	0.1
ˈaː	ˈɑˀ	0.087
ˈaː	ˈœˀ	0.076
ˈaː	ˈɑ	0.066
ˈe	ˈiˀ	0.323
ˈe	ˈy	0.245
ˈe	ˈe	0.186
ˈe	ˈœ	0.162
ˈe	ˈœˀ	0.047
ˈeː	ˈeˀ	0.539
ˈeː	ˈɛ	0.105
ˈeː	jˀ	0.078
ˈeː	ˈɛˀ	0.077
ˈeː	ˈœ	0.074
ˈi	ˈe	0.22
ˈi	ˈeː	0.22
ˈi	ˈyː	0.135
ˈi	ˈiˀ	0.135
ˈi	ˈoː	0.082
ˈiə̯	ˈeˀ	0.339
ˈiə̯	ˈuˀ	0.194
ˈiə̯	ˈʌ	0.194
ˈiə̯	ˈɛː	0.124
ˈiə̯	ˈɛˀ	0.076
ˈiː	ˈœˀ	0.25
ˈiː	ˈyˀ	0.25
ˈiː	ˈi	0.153
ˈiː	ˈɛ	0.116
ˈiː	ˈa	0.077
ˈo	ˈu	0.62
ˈo	ˈœ	0.229
ˈo	ˈo	0.111
ˈoː	ˈɔˀ	0.342
ˈoː	ˈɒˀ	0.274
ˈoː	ˈiː	0.158
ˈoː	ˈɒː	0.101
ˈoː	jˀ	0.071
ˈu	ˈʌ	0.335
ˈu	ˈoˀ	0.292
ˈu	ˈɛː	0.111
ˈu	ˈuˀ	0.107
ˈu	ˈu	0.071
ˈuə̯	ˈɒ	0.322
ˈuə̯	ˈɛː	0.172
ˈuə̯	ˈɑː	0.172
ˈuə̯	ˈɛ	0.107
ˈuː	ˈɔˀ	0.215
ˈæ	ˈɛ	0.425
ˈæ	ˈɔˀ	0.226
ˈæ	ˈe	0.12
ˈæɪ̯	ˈiˀ	1.0
ˈæːɪ̯	ˈiˀ	0.62
ˈæːɪ̯	ˈiː	0.128
ˈæːɪ̯	ˈɛˀ	0.115
ˈæːɪ̯	ˈy	0.047
ˈæːʊ̯	ˈuˀ	0.862
ˈæːʊ̯	ˈoˀ	0.111
ˈɑ	ˈe	0.225
ˈɑ	ˈa	0.22
ˈɑ	ˈɛ	0.185
ˈɑ	ˈɑ	0.09
ˈɑ	ˈø	0.067
ˈɑɪ̯	ˈyˀ	0.213
ˈɑɪ̯	ˈuˀ	0.122
ˈɑɪ̯	ˈʌ	0.122
ˈɑɪ̯	ˈiː	0.122
ˈɑɪ̯	ˈiˀ	0.122
ˈɔ	ˈɔ	1.0
ˈə	ˈe	0.34
ˈə	ˈɑ	0.198
ˈə	ˈœ	0.125
ˈə	ˈiˀ	0.064
ˈə	ˈɛ	0.064
ˈəɪ̯	ˈyˀ	0.161
ˈəɪ̯	ˈyː	0.148
ˈəɪ̯	ˈeˀ	0.129
ˈəɪ̯	ˈøː	0.086
ˈəɪ̯	ˈʌˀ	0.085
ˈəʊ̯	ˈœˀ	0.441
ˈəʊ̯	ˈoˀ	0.174
ˈəʊ̯	ˈɔː	0.124
ˈəʊ̯	ˈøː	0.12
ˈɛ	ˈɛ	0.45
ˈɛ	ˈe	0.182
ˈɛ	ˈeˀ	0.182
ˈɛː	ˈɛ	0.488
ˈɛː	ˈæ	0.186
ˈɛː	j	0.172
ˈʊ	ˈoˀ	0.488
ˈʊ	-	0.28
ˈʊ	ˈo	0.162
ˈʊɪ̯	ˈɛ	0.215
χ	j	0.407
χ	-	0.354
χ	w	0.164
