West Flemish	West Frisian	probability
b	b	1.0
d̥	d̥	1.0
j	j	1.0
l	l	1.0
m	m	1.0
t	t	1.0
w	l	1.0
ʃ	s	1.0
ˈøː	ˈoə̯	1.0
ˈœ	ˈɔ	1.0
ˈɛ	ˈɪ	1.0
ə	ə	0.881
ɦ	-	0.171
ʋ	-	0.11
ˈiə̯	ˈɛ_j	0.231
ˈoː	ˈuə̯	0.091
ˈoː	ˈuː	0.141
ˈu	ˈuː	0.581
ˈæ	ˈɔ	0.071
ˈæ	j_ˈɛ	0.151
ˈɔ	ˈoə̯	0.41
k	-	0.092
n	ə	0.362
p	p	0.92
s	s_k	0.2
v	v	0.102
ɦ̥	χ	0.302
ʋ	ʋ	0.622
ˈeː	ˈeː	0.252
ˈiə̯	ˈiə̯	0.372
ˈu	ˈɔ	0.122
ˈuə̯	ˈoː	0.252
d	-	0.143
d	d	0.723
n	n	0.613
ɾ	-	0.123
ˈi	ˈiː	0.293
ˈiə̯	j_ˈɪ	0.053
ˈiə̯	j	0.073
ˈiə̯	j_ˈuə̯	0.193
ˈuə̯	ˈiə̯	0.163
d	t	0.134
h	χ	0.54
z	s	0.944
ŋ	ŋ	0.904
ə	-	0.084
ɦ	ɣ	0.294
ˈeː	ˈiə̯	0.34
ˈoː	ˈɪ	0.194
ˈuə̯	ˈuə̯	0.584
ˈyː	ˈyː	0.284
ˈɛː	ˈaː	0.054
v	f	0.875
v̥	-	0.15
v̥	f	0.85
ˈoː	ˈeː	0.075
ˈɑ	ˈɔː	0.255
ˈɑ	ˈa	0.45
h	k	0.46
z	ɕ	0.056
ŋ	ə_#>	0.076
ˈyː	ˈuː	0.716
ˈɑ	ˈaː	0.216
ˈɒː	ˈiə̯	0.446
ˈɛː	ˈiə̯	0.946
ˈɪ	ˈiː	0.116
ˈɪ	ˈɪ	0.696
ˈi	ˈi	0.707
ˈɒː	ˈɪə̯	0.167
ˈɒː	ˈaː	0.387
k	k	0.908
p	<#_h	0.08
s	s	0.8
ɦ̥	-	0.698
ɾ	ə_r	0.098
ɾ	r	0.778
ʋ	v	0.268
ˈeː	ˈaː	0.408
ˈiə̯	ˈɪə̯	0.078
ˈoː	ˈɪə̯	0.498
ɦ	ɡ	0.499
ˈu	ˈɔː	0.149
ˈu	ˈɔu̯	0.149
ˈæ	ˈa	0.099
ˈæ	ˈɛ	0.679
ˈɑ	ˈɛː	0.079
ˈɔ	ˈɔ	0.59
ˈɪ	ˈi	0.189
