Bellunese	Ladin	probability
a	a	0.946
b	b	0.913
b	-	0.087
d	d	0.939
d	-	0.052
e	e	0.914
f	f	1.0
i	i	0.771
i	j	0.114
i	e	0.06
i	-	0.056
j	j	0.439
j	-	0.227
j	l	0.194
j	ɡ_l	0.123
k	ʨ	0.543
k	k	0.432
l	l	0.957
m	m	1.0
n	n	0.918
o	o	0.284
o	l	0.244
o	ˈɛ	0.159
o	e	0.108
o	ˈo	0.091
p	p	0.955
r	r	0.806
r	j	0.144
s	s	0.707
s	ʃ	0.271
t	t	0.952
u	u	0.685
u	-	0.315
v	v	0.833
v	-	0.108
v	f	0.051
w	-	0.738
w	w	0.141
w	ɡ	0.121
z	ʒ	0.493
z	ʃ	0.239
z	z	0.14
z	s	0.077
ð	ʒ	0.826
ð	ʤ	0.13
ŋ	n	0.707
ŋ	ŋ	0.192
ŋ	m	0.053
ɡ	ɡ	0.552
ɡ	-	0.256
ɡ	v	0.071
ɡ	k	0.061
ɲ	ɲ	0.824
ɲ	ʥ	0.176
ʤ	d	1.0
ʧ	d	0.607
ʧ	k	0.321
ʧ	-	0.071
ˈa	ˈa	0.561
ˈa	ˈe	0.278
ˈa	ˈɛ	0.125
ˈe	ˈe	0.528
ˈe	ˈɛ	0.41
ˈi	ˈi	0.959
ˈo	ˈo	0.559
ˈo	w	0.224
ˈo	ˈɔ	0.197
ˈu	ˈu	0.953
ˈɔ	ˈɔ	0.679
ˈɔ	ˈa_w	0.117
ˈɔ	w	0.086
ˈɔ	ˈo	0.061
ˈɛ	ˈɛ	0.828
ˈɛ	-	0.123
θ	ʧ	0.477
θ	ʨ	0.302
θ	ʦ	0.15
