East Frisian Low Saxon	Old High German	probability
χ	x	1.0
ˈʊə̯	-	1.0
ˈɪə̯	ˈi	1.0
ˈɛːɪ̯	ˈeː	1.0
ˈɛə̯	-	1.0
ˈɔː	ˈɑː	1.0
ˈɒːɒ̯_p	fː	1.0
ˈɒːɒ̯	-	1.0
ˈɑːʊ̯	w_ɑ	1.0
ˈɑːɑ̯	ˈɑ	1.0
ˈɑʊ̯	ˈuo̯	1.0
ˈœːy̯	ˈuo̯	1.0
ˈœy̯	ˈuo̯	1.0
ˈøːø̯	ˈu	1.0
ˈøː_ɡ	ɡ_ɑ	1.0
ˈøy̯	ˈuo̯	1.0
ˈæːɪ̯	-	1.0
ˈæː	ˈio̯	1.0
ˈyːʏ̯	ʦ_ɑ	1.0
ˈyː	ˈiu̯	1.0
ˈuːu̯	ˈuː	1.0
ˈuː	ˈuː	1.0
ˈiːi̯	ˈiː	1.0
ˈiː	ˈiː	1.0
ˈeːe̯	ˈɛ	1.0
ʊ	ˈuo̯	1.0
ɫ	i_l	1.0
ɡ̊	-	1.0
ɡ_r	ɡ_r	1.0
ə	ɑ	1.0
ɑɪ̯	ɛ_h	1.0
ɐ_n	r_n	1.0
z̥	s	1.0
z	s	1.0
w	w	1.0
v̥	b	1.0
s_t	s_t	1.0
s	s	1.0
o	ˈɑ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	t	1.0
b	b	1.0
ˈɑ	ˈɑ	0.934
l	l	0.907
m	m	0.904
r	r	0.903
ˈʊ	ˈu	0.86
ˈɪ	ˈi	0.835
v	w	0.822
ˈeː	ˈɛ	0.8
n	n	0.791
ˈɑː	ˈɑ	0.742
ɐ	r	0.71
ˈæɪ̯	ˈei̯	0.702
ˈøː	ˈu	0.684
d	d	0.663
p	f_ɑ	0.636
ˈœ	-	0.622
ˈʏə̯	ˈu	0.6
ˈɔ	ˈo	0.6
ŋ	ŋ	0.563
ˈɒː	ˈɑː	0.544
ɣ̊	kː	0.531
ˈʏ	-	0.507
ˈʏ	ˈu	0.493
ˈɒː	ˈɑ	0.456
ˈɛ	ˈɛ	0.452
ŋ	ŋ_ɡ	0.437
ɡ	ɡ_ɑ	0.418
ˈʏə̯	-	0.4
k	k	0.394
ˈœ	ˈu	0.378
ɡ	ɡ	0.361
t	s̻	0.349
ˈɛ	ˈi	0.322
ˈøː	ˈou̯	0.316
ˈæɪ̯	ˈio̯	0.298
ɣ̊	ɡ	0.292
k	kʰ	0.29
ˈoː	ˈoː	0.28
ˈoː	ˈo	0.271
ˈɑː	ˈɛ	0.258
t	s̻ː	0.236
ˈoː	ˈou̯	0.229
ˈɛ	ˈɑ	0.226
ɡ	-	0.221
p	p͡f	0.208
k	xː	0.206
t	t	0.204
ˈɔ	ˈɑ	0.2
ˈɔ	ˈu	0.2
ˈeː	-	0.2
ɐ	ɑ_r	0.194
d	t	0.187
ˈoː	-	0.179
v	b_ɑ	0.178
ɣ̊	rː	0.177
p	p	0.156
ˈʊ	ˈo	0.14
k	kː	0.11
ˈɪ	-	0.1
r	r_ˈiu̯	0.097
t	ʦ	0.088
d	tː	0.081
ɐ	ɛ	0.072
d	t_e	0.069
t	ʦː	0.068
ˈɑ	-	0.066
m	-	0.057
n	nː	0.055
t	t_o	0.054
l	ˈio̯	0.054
