Slovak	Standard Serbian	probability
ʧ	ʧ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʋ	ʋ	1.0
ʊ̯ɔ_ɫ	oː	1.0
ʊ̯ɔ	o_̂	1.0
ɪ̯a	eː	1.0
ɦ	ɡ	1.0
ɡ̊	ɡ̊	1.0
ɟ̊	-	1.0
ɟ	d	1.0
ɛ_ɲ	eː_n	1.0
ɛ_m	a_m	1.0
æ	eː_̂	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
v	u	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
r̩ː	r̩_̌	1.0
r	r	1.0
p	p	1.0
n_iː	a_n	1.0
n	n	1.0
m	m	1.0
l̩	u	1.0
j	j	1.0
iː	iː	1.0
f	p	1.0
eː	eː	1.0
e	e	1.0
d̥	d̥	1.0
b	b	1.0
k	k	0.945
d	d	0.916
ɫ	l	0.852
u	uː	0.749
a	a	0.705
r̩	r̩	0.667
ʦ	ʦ	0.661
i	i	0.657
l	l	0.653
ɔ	o	0.605
uː	uː_̌	0.6
ɫ̩	uː	0.574
c	t_i	0.554
ɛ	e	0.551
ɲ	ɲ	0.541
ʎ	l	0.525
ɲ	n	0.459
c	t	0.446
ɫ̩	u_̂	0.426
uː	uː	0.4
ɪ̯ɛ	eː_̌	0.386
ɪ̯ɛ	e_̂	0.386
l	o	0.347
ʦ	ʨ	0.339
r̩	r̩ː	0.333
aː	aː	0.333
aː	a_̂	0.333
aː	a	0.333
ʎ	ʎ	0.33
u	u_̂	0.251
i	iː_̂	0.236
ɪ̯ɛ	-	0.228
ɛ	a	0.216
ɛ	eː	0.2
ɔ	oː	0.186
ɔ	a	0.184
a	aː	0.18
ɫ	-	0.148
ʎ	-	0.145
i	iː	0.107
d	-	0.084
a	e	0.073
k	-	0.055
