Megleno-Romanian	Ligurian	probability
b	b	1.0
f	f	1.0
j	-	1.0
kʲ	p	1.0
o̯ˈa	ˈuː	1.0
u	u	1.0
w	-	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʃ	-	1.0
ʒ	z	1.0
ʧ	s	1.0
ˈɔ	ˈa	1.0
d	d	0.921
i	-	0.101
k	ɡ_u	0.1
m	m	0.971
r	r	0.591
s	z	0.121
ˈa	-	0.111
i	e	0.662
s	s	0.822
t	t	0.802
ə	-	0.102
ˈe	ˈeː	0.492
ˈi	-	0.072
i	ˈeː	0.053
i	i	0.063
k	-	0.153
k	ɡ	0.243
l	l	0.43
l	-	0.433
z	z	0.943
ə	u	0.053
ʦ	t	0.143
ʦ	s	0.613
ˈi	ˈiː	0.063
e̯ˈa	ˈeː	0.484
k	k	0.504
n	n	0.564
ʎ	l	0.224
ˈo	ˈɔ	0.474
ˈu	ˈuː	0.244
i	u	0.075
n	-	0.065
p	p_u	0.175
v	u_#>	0.5
v	v	0.5
ə	e	0.175
ˈa	ˈa	0.345
ˈi	ˈi	0.25
ˈo	ˈø	0.155
e̯ˈa	ˈe	0.516
s	s_u	0.056
ʎ	ʤ	0.776
ˈa	ˈɛː	0.306
l	l_u	0.137
z	ʤ	0.057
ə	a	0.67
ʦ	k	0.067
ʦ	ʒ	0.177
ˈi	ˈe	0.587
ˈo	ˈøː	0.37
n	ŋ	0.348
r	j	0.18
t	t_u	0.108
ˈe	ˈe	0.508
ˈu	ˈy	0.258
ˈu	ˈu	0.498
d	-	0.079
p	p	0.799
r	-	0.229
t	-	0.09
ˈa	ˈaː	0.239
