Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	¹¹	1.0
⁵	²	1.0
⁴⁴	²⁴	1.0
ʨʰ	s	1.0
ʦʰ	ʦʰ	1.0
ɪ_k̚	t̚	1.0
ɛ	e	1.0
ɔ̃	o_²⁴	1.0
ɔ_³³	³¹	1.0
ŋ	ŋ	1.0
¹¹	⁵⁵	1.0
³³	⁵⁵	1.0
³²	²	1.0
²⁴	¹¹	1.0
²²	⁵⁵	1.0
w_e	a	1.0
w_a	j_e	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
n	n	1.0
m	m	1.0
j_ã	a_ŋ	1.0
ĩ	e_n	1.0
i_w	u	1.0
b	m	1.0
a_w	o	1.0
a_t̚	p̚	1.0
<#_l	<#	1.0
<#_kʰ	<#	1.0
<#_h	<#	1.0
k	k	0.857
⁵³	³¹	0.8
k̚	k̚	0.75
i	i	0.75
u	u	0.684
⁴	⁵	0.667
ɕ	s	0.667
ɔ	u	0.667
ã	n	0.667
kʰ	kʰ	0.625
ɪ	u	0.6
o	o	0.6
p	p	0.571
a_j	o_j	0.571
h	f	0.562
ʔ	k̚	0.545
e	a	0.538
ʦ	ʦ	0.5
ʦ	s	0.5
ɡ	ɲ_j	0.5
ɡ	ŋ	0.5
ŋ̍	o_ŋ	0.5
s	ɕ	0.5
s	s	0.5
l	l	0.5
ʔ	t̚	0.455
ʨ	ʦ	0.429
ʨ	s	0.429
j	j	0.429
a_j	i	0.429
ɪ	-	0.4
o	w	0.4
w	w	0.385
w	a	0.385
kʰ	h	0.375
⁴	²	0.333
ɕ	ɕ	0.333
ɔ	o	0.333
l	ɲ	0.333
ã	a	0.333
h	h	0.312
ŋ̍	n	0.3
p	pʰ	0.286
j	e	0.286
t	ʦʰ	0.273
t	tʰ	0.273
t	t	0.273
k̚	t̚	0.25
i	ɨ	0.25
a	o	0.25
w	o	0.231
e	i	0.231
e	e	0.231
u	-	0.211
a	u	0.208
a	j	0.208
⁵³	²⁴	0.2
ŋ̍	u_n	0.2
t	ʦ	0.182
l	n	0.167
a	e	0.167
a	a	0.167
ʨ	ʨ	0.143
p	f	0.143
k	kʰ	0.143
h	j	0.125
u	ŋ̍	0.105
j	i	0.095
j	a	0.095
j	-	0.095
