Northern Low Saxon	Hessian	probability
ˈʏ_n	n	1.0
ˈɪ_n	n	1.0
ˈɛː	ˈiː	1.0
ˈɛ_l	ˈɛ_d̥	1.0
ˈɔː	ˈɔ_ɐ	1.0
ˈɔʏ̯_n	ˈĩː	1.0
ˈɔʏ̯	-	1.0
ˈœː	ˈe	1.0
ˈœ	-	1.0
ˈøː_n	ˈõː	1.0
ˈøː	-	1.0
ˈyː	ˈoi̯	1.0
ˈoː_n	ˈɛ̃ː	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈeː_n	ˈoĩ̯	1.0
ˈeː_l	l	1.0
ˈeɪ̯	-	1.0
ˈaɪ̯_n	ˈãː	1.0
ʒ	j	1.0
ʃ_t	ʃ_d̥	1.0
ɪ	i	1.0
ɡ_n	ɣ̊_ə	1.0
z̥	s	1.0
v	v	1.0
tʰ	ʦ	1.0
t	t	1.0
r	ʀ	1.0
pʰ	pʰ	1.0
n_n	n_ə	1.0
l	l	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
i	i	1.0
h	h	1.0
b_m	v̥_ə	1.0
ˈɪ	ˈi	0.9
ʃ	ʃ	0.858
z	s	0.827
ˈʏ	ˈi	0.823
f	f	0.81
ç	ʃ	0.749
n	n	0.738
ˈuː	ˈau̯	0.717
ˈiː	ˈai̯	0.7
ˈa	ˈɑ	0.679
ˈɛ	-	0.675
ŋ	ŋ	0.672
m	m	0.668
x	x	0.656
b	b̥	0.626
ˈɔ	ˈu	0.587
ˈʊ	ˈu	0.583
d	d̥	0.575
ɐ	ɐ	0.55
ˈeː	ˈɛ	0.527
ˈaɪ̯	ˈiː	0.498
ˈeː	-	0.473
ˈaː	ˈɑː	0.463
ɐ	æ̆	0.45
ɡ	ɡ̊	0.446
ˈʊ	ˈo	0.417
ˈɔ	ˈo	0.413
b	p	0.374
ˈaɪ̯	-	0.351
s	s_t	0.348
s	k_s	0.348
x	ɣ̊	0.344
ˈɛ	ˈe	0.325
ˈaʊ̯	ˈaː	0.311
s	s	0.303
ˈoː	ˈɑː	0.3
ˈiː	-	0.3
ˈaʊ̯	ˈuː	0.274
ˈaː	ˈa_l	0.268
ˈaː	-	0.268
ˈoː	ˈoː	0.251
ç	ʃ_t	0.251
ɡ	k	0.22
ˈa	ˈa	0.213
m	v_ə	0.202
n	ə	0.196
f	b̥	0.19
ˈʏ	-	0.177
z	s_ˈeː	0.173
ˈaʊ̯	ˈoː	0.172
ŋ	ʒ̊_ə	0.164
ŋ	ə	0.164
ˈoː	-	0.159
ˈuː	-	0.154
ɡ	ʃ	0.153
ˈaɪ̯	ˈaː	0.151
ˈoː	m	0.147
ˈoː	ˈa	0.143
ʃ	ʒ̊	0.142
ɡ	x	0.137
d	t	0.137
ˈuː	ˈuː	0.129
d	s	0.116
ˈa	ˈɑː	0.108
ˈaʊ̯	ˈɔ	0.107
ˈaʊ̯	ˈu	0.105
d	z̥	0.104
ˈɪ	ˈai̯	0.1
m	m_ə	0.093
n	j_ə	0.065
