Bokmål Norwegian	Scots	probability
b	b	1.0
d	d	0.857
d	t	0.055
d	ð	0.047
d	θ	0.047
e	ˈei̯	1.0
f	f	1.0
h	h	1.0
i	əi̯	1.0
j	-	0.514
j	h	0.2
j	x	0.089
j	ˈei̯	0.089
j	ɡ	0.075
k	k	0.75
k	x	0.107
k	ʧ	0.107
kʰ	kʰ	0.91
kʰ	k	0.076
kː	ŋ_k	0.723
kː	k	0.204
l	l	1.0
l_ə	l	0.492
lː	l	0.324
lː	-	0.254
lː	k	0.168
lː	d	0.168
lː	r	0.041
m	m	0.924
m	v	0.076
mː	m	0.242
n	n	0.845
n	-	0.092
n	m	0.046
n	r	0.034
nː	n_d	0.444
nː	n	0.278
nː	θ	0.118
nː	r	0.077
nː	ð	0.046
nː_ə	n	1.0
p	p	1.0
pʰ	pʰ	0.492
s	s	0.915
s	z	0.051
s	x	0.036
s_k	s	0.478
s_k	ʃ	0.318
sː	s	1.0
t	t	1.0
tʰ	tʰ	0.464
tʰ	θ	0.45
tʰ	d	0.081
tː	x_t	0.771
tː	x	0.222
tː_ə	t	1.0
ç	k	0.361
ç	ʧ	0.361
ç	θ	0.204
ŋ	n	0.45
ŋ	-	0.221
ŋ	ŋ	0.125
ŋː	ŋ	1.0
ə	-	0.778
ə	ə	0.162
ə	əi̯	0.029
ə	e	0.029
ə_l	l	1.0
ɡ	ɡ	0.443
ɡ	-	0.369
ɡ	ç	0.099
ɡ	j	0.077
ɡː	ɡ	1.0
ɪ	ɪ	0.574
ɪ	əi̯	0.282
ɳ	r_n	0.626
ɳ	r	0.351
ɾ	r	0.936
ɾ	-	0.046
ɾ_ə	ə	1.0
ʂ	s	0.66
ʂ	m	0.16
ʃ	ʃ	1.0
ʈ	t	0.242
ʈː	t	0.492
ʋ	w	0.526
ʋ	-	0.133
ʋ	f	0.093
ʋ	v	0.091
ʋ	ʍ	0.074
ˈeː	ˈiː	0.318
ˈeː	ˈe	0.241
ˈeː	ˈɛ	0.102
ˈeː	ˈei̯	0.102
ˈeː	ˈɪ	0.081
ˈiː	ˈəi̯	0.504
ˈiː	ˈɪ	0.234
ˈiː	ˈʌʉ̯	0.08
ˈiː	ˈiː	0.065
ˈiː	ˈeː	0.065
ˈoː	ˈø	0.185
ˈoː	ˈe	0.141
ˈoː	j	0.123
ˈoː	ˈɑ	0.107
ˈoː	ˈei̯	0.107
ˈuː	ˈø	0.271
ˈuː	ˈɔ	0.231
ˈuː	ˈɪ_ð	0.137
ˈuː	ˈø_d	0.119
ˈuː	w	0.119
ˈyː	ˈe	0.247
ˈyː	ˈei̯	0.21
ˈyː	ˈiː	0.139
ˈyː	j	0.121
ˈyː	ˈəi̯	0.09
ˈæ	ˈʌ	0.324
ˈæ	ˈɑː	0.324
ˈæɪ̯	ˈe	0.778
ˈæɪ̯	ˈəi̯	0.083
ˈæɪ̯	ˈiː	0.083
ˈæː	ˈɛ	0.517
ˈæː	ə	0.193
ˈæː	ˈi	0.118
ˈøː	ˈei̯	0.496
ˈøː	ˈiː	0.223
ˈøː	ˈe	0.087
ˈøː	ˈɛ	0.076
ˈøː	ˈɑː	0.061
ˈœ	ˈɪ	0.357
ˈœ	ˈi	0.212
ˈœ	ˈɔ	0.177
ˈœ	-	0.14
ˈœ	ˈiː	0.052
ˈœʏ̯	ˈiː	0.242
ˈɑ	ˈɑ	0.307
ˈɑ	ˈɑː	0.265
ˈɑ	ˈɛ	0.121
ˈɑ	ˈɪ	0.085
ˈɑ	ˈɔ	0.064
ˈɑ_l	ˈɑː	1.0
ˈɑː	ˈe	0.472
ˈɑː	ˈeː	0.201
ˈɑː	ˈɑː	0.099
ˈɑː	ˈɑ	0.099
ˈɑː	ˈɛ	0.093
ˈɔ	ˈʌ	0.287
ˈɔ	ˈe	0.287
ˈɔ	ˈa	0.162
ˈɔ	ˈɔ	0.162
ˈɛ	ˈɛ	0.225
ˈɛ	ˈɪ	0.2
ˈɛ	ˈe	0.137
ˈɛ	ˈɑ	0.137
ˈɛ	ˈoe̯	0.09
ˈɪ	ˈɪ	0.721
ˈɪ	ˈəi̯	0.113
ˈɪ	ˈei̯	0.098
ˈɪ	ˈɛ	0.061
ˈʉ	ˈʉ	0.404
ˈʉ	ˈʌʉ̯	0.182
ˈʉ	ˈʌ	0.179
ˈʉ	ˈɪ	0.128
ˈʉː	ˈʉ	0.688
ˈʉː	ˈɛ	0.15
ˈʉː	ˈɔ	0.074
ˈʉː	ˈaːɪ̯	0.074
ˈʊ	ˈʉ	0.341
ˈʊ	ˈɪ	0.297
ˈʊ	ˈɔ	0.138
ˈʊ	ˈʌ	0.138
ˈʏ	ˈɪ	0.76
ˈʏ	ˈiː	0.239
