Saterland Frisian	Saterland Frisian	probability
ˈɛɪ̯_#>	ˈaɪ̯_#>	1.0
ˈɔːɪ̯	ˈɔɪ̯	1.0
ˈɔː_t	ˈa_s	1.0
ˈœː	ˈeː	1.0
ˈu	-	1.0
ˈoː_l	ˈa_l	1.0
ˈiːu̯	ˈɛ	1.0
ˈeːu̯	ˈɛ	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ə_r	ɑ	1.0
ə_n_#>	#>	1.0
ŋ	ŋ	1.0
z_ə	ə	1.0
z	s	1.0
x_#>	#>	1.0
w	ʋ	1.0
t_ə	s	1.0
t_#>	#>	1.0
s_ˈɛ	s_ˈɛ	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
p_#>	f_#>	1.0
n_d	n	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	#>	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈuː	ˈaɪ̯	1.0
j_ˈoː	ˈiː	1.0
j_ə	ə	1.0
i	eː	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d_ə	d	1.0
d_#>	#>	1.0
b	b	1.0
a	-	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_j	<#_ɡ	1.0
<#_d	<#_d	1.0
<#	<#_d	1.0
ˈɪ	ˈɪ	0.846
v	ʋ	0.844
ˈeː	ˈeː	0.833
d	d̥	0.833
n	n	0.683
ˈɛ	-	0.667
ˈɔ	-	0.667
#>	ə_#>	0.667
ˈɛː	-	0.625
ˈi	ˈaɪ̯	0.6
ˈa	ˈa	0.6
r	ɾ	0.59
p	p	0.571
ˈʊ	ˈʊ	0.538
ɣ	ɡ	0.533
ə	ə	0.524
s	s	0.511
j	-	0.5
s	ʃ	0.489
ˈɔː	ˈa	0.444
x	ç	0.444
ˈɛɪ̯	ˈiː	0.429
ˈaː	ˈa	0.429
ə	-	0.429
p	f	0.429
ˈuː	ˈʊ	0.4
ˈuː	ˈaʊ̯	0.4
ˈa	ˈɛ	0.4
ˈɛː	ˈɪ	0.375
ˈiː	ˈɪ	0.375
k	ç	0.368
k	k	0.368
ˈoː	ˈɔː	0.348
ˈɛ	ˈaɪ̯	0.333
ˈɔ	ˈɔ	0.333
x	x	0.333
#>	f_#>	0.333
ˈoːu̯	ˈuː	0.318
n	-	0.317
ˈoː	ˈoː	0.304
ˈaː	ˈeː	0.286
ˈaː	-	0.286
t	t	0.283
ˈoːu̯	ˈa	0.273
k	x	0.263
ˈoː	ˈeː	0.261
r	ɑ	0.256
j	ˈiː	0.25
j	j	0.25
t	ʦ	0.245
t	s	0.245
ˈʊ	ˈɔ	0.231
ˈʊ	-	0.231
t	d	0.226
ˈɔː	-	0.222
ˈɛɪ̯	ˈoː	0.214
ˈɛɪ̯	-	0.214
ˈi	ˈiː	0.2
ˈi	ɑ	0.2
ɣ	-	0.2
ˈiː	ˈɛː	0.188
ˈiː	ˈaɪ̯	0.188
ˈoːu̯	ˈɔ	0.182
ˈeː	ˈɛ	0.167
ˈɪ	ˈa	0.154
ˈɛɪ̯	ˈuː	0.143
ˈoːu̯	-	0.136
ɣ	ɣ	0.133
ɣ	j	0.133
ˈiː	ˈɔː	0.125
ˈiː	ˈiː	0.125
ˈɔː	ˈɛ	0.111
ˈɔː	ˈɔː	0.111
ˈɔː	ˈaː	0.111
x	ɡ̊	0.111
x	-	0.111
d	d	0.111
ˈuː	ˈuː	0.1
ˈuː	ˈaɪ̯	0.1
v	-	0.094
ˈoːu̯	ˈoː	0.091
ˈoː	-	0.087
r	ɾ_ə	0.077
r	d_ɑ	0.077
v	b̥	0.062
d	n	0.056
