Ukrainian	Upper Sorbian	probability
#>	ʦ_#>	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_lʲ	<#_l	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_mʲ	1.0
<#_nʲ	<#_n	1.0
<#_r	<#_ʀ	1.0
<#_rʲ	<#_ʀ	1.0
<#_s	<#_s	1.0
<#_tʲ	<#_ʧ	1.0
<#_w	<#_β	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɦ	<#_ɦ	1.0
<#_ɫ	<#_l	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʧ	<#_ʧ	1.0
b	b	1.0
b_#>	p_#>	1.0
d_#>	t_#>	1.0
e	-	1.0
j_#>	ɪ_#>	1.0
k_#>	k_#>	1.0
k_e	kʲ	1.0
kʲ	-	1.0
lʲ	l	1.0
lʲ_#>	l_#>	1.0
m	mʲ	1.0
m_#>	m_#>	1.0
n	n	1.0
nʲ_#>	ɲ_#>	1.0
p	p	1.0
pʲ	pʲ	1.0
rʲ	ʀʲ	1.0
s	s	1.0
s_#>	s_#>	1.0
sʲ	s	1.0
t_#>	t_#>	1.0
tʲ_#>	ʧ_#>	1.0
z	z	1.0
ɐ_#>	a_#>	1.0
ɔ_#>	ɔ_#>	1.0
ɔ_r	ʀ	1.0
ɔ_ɫ	w_ˈɔ	1.0
ɦ_#>	x_#>	1.0
ɫ_#>	w_#>	1.0
ʊ	ˈu	1.0
ʋ	β	1.0
ʋ_j	ɥ	1.0
ʒ	ʃ	1.0
ˈi_t	ˈe_t	1.0
ˈu	ˈu	1.0
ˈɑ	ˈa	1.0
ˈɑ_#>	a_#>	1.0
ˈɔ_ʋ	ˈɔ_w	1.0
ˈɛ_r	ˈɔ_ʀ	1.0
ˈɪ_j	i	1.0
ˈɪ_t_e	ˈi_ʧ	1.0
ɔ	-	0.381
ɛ	ˈɛ	0.571
ˈɔ	ɔ	0.091
ˈɔ	ˈɛ	0.091
k	kʲ	0.2
r	ʀʲ	0.312
t	ʧ	0.222
ɐ	-	0.2
ɐ	ˈɛ	0.2
ɫ	l	0.312
ɫ	w	0.562
ˈi	ˈɔ	0.222
<#_d	<#_ʤ	0.333
d	t	0.333
ɔ	ɔ	0.143
ɦ	-	0.333
ˈi	ˈe	0.333
ˈɪ	ˈi	0.273
ˈɪ	-	0.273
i	ɛ	0.4
j	-	0.4
k	k	0.4
k	-	0.4
ˈi	ɛ	0.074
ˈi	ˈɛ	0.074
ˈɛ	ˈɔ	0.4
<#	<#_k	0.25
<#	<#_j	0.25
<#	<#_β	0.5
<#_p	<#_pʲ	0.25
<#_p	<#_p	0.75
<#_t	<#_t	0.5
<#_t	<#_ʧ	0.5
x	x	0.5
x	xʲ	0.5
ɔ	x	0.095
ɔ	ˈo	0.095
ɫ	d_w	0.125
ʋʲ	-	0.25
ʋʲ	ɥ	0.75
ˈɪ	ˈɪ	0.455
i	ˈe	0.6
j	i	0.6
ɐ	ˈa	0.6
ɔ	ˈɔ	0.286
ˈi	ˈo	0.296
ˈɔ	ˈe	0.136
ˈɔ	-	0.136
ˈɔ	ˈo	0.136
ˈɛ	e	0.6
<#_d	<#_d	0.667
d	d	0.667
ɦ	ɦ	0.667
r	ʀ	0.688
t	t	0.778
ɛ	ɔ	0.429
ˈɔ	ˈɔ	0.409
