Scots	Afrikaans	probability
b	b	1.0
d	t	0.436
d	d	0.418
d	-	0.142
e	-	1.0
f	f	1.0
h	ɦ	0.932
h	-	0.067
i	ə	0.264
j	j	0.422
j	ˈɑː	0.242
j	-	0.155
j	ˈi	0.111
k	k	0.85
k	-	0.132
kʰ	k	1.0
l	ɫ	0.767
l	l	0.232
m	m	1.0
n	n	0.896
n	ə_ŋ	0.059
n	-	0.044
p	p	1.0
pʰ	p	0.514
r	r	0.943
r	-	0.056
s	s	0.959
s	n_s	0.047
t	t	0.762
t	-	0.234
tʰ	t	0.964
tʰ	b	0.049
v	f	0.519
v	v	0.441
w	v	0.695
w	w	0.265
w	-	0.05
x	χ	1.0
z	s	1.0
ç	χ	0.264
ð	d	0.538
ð	-	0.457
ŋ	ŋ	1.0
ə	ə	0.683
ə	-	0.277
ə	ˈɛ	0.047
əi̯	ə	1.0
ɡ	χ	0.844
ɡ	-	0.148
ɪ	-	0.295
ɪ	ˈɑː	0.295
ɫ	ɫ	1.0
ɹ	ˈəɪ̯	0.136
ʃ	s_k	0.573
ʃ	s	0.424
ʍ	v	1.0
ʧ	k	1.0
ˈa	ˈɑː	0.264
ˈaːɪ̯	ˈəɪ̯	0.264
ˈe	ˈɑː	0.223
ˈe	ˈɪə̯	0.214
ˈe	ˈəɪ̯	0.15
ˈe	ˈa	0.074
ˈe	ˈi	0.067
ˈei̯	ˈʊə̯	0.42
ˈei̯	ˈɪə̯	0.246
ˈei̯	-	0.088
ˈei̯	ˈa	0.069
ˈei̯	ˈi	0.069
ˈeː	ˈɛː	0.392
ˈeː	ˈa	0.297
ˈeː	ˈɑː	0.297
ˈi	ˈɛ	0.33
ˈi	ˈʊə̯	0.17
ˈi	ˈu	0.17
ˈi	ˈi	0.17
ˈiː	ˈi	0.227
ˈiː	ˈʊə̯	0.19
ˈiː	ˈɑː	0.186
ˈiː	ˈəɪ̯	0.089
ˈiː	ˈu	0.089
ˈoe̯	ˈɛ	0.264
ˈø	ˈu	0.476
ˈø	ˈɔ	0.153
ˈø	ˈɑː	0.116
ˈø	ˈa	0.109
ˈø	ˈa_n	0.109
ˈɑ	ˈa	0.591
ˈɑ	ˈɑː	0.196
ˈɑ	ˈəɪ̯	0.095
ˈɑ	ˈɛ	0.095
ˈɑː	ˈa	0.468
ˈɑː	ˈi	0.214
ˈɑː	ˈa_ɫ	0.113
ˈɑː	ˈɪə̯	0.107
ˈɑː	ˈœu̯	0.083
ˈɑː_l	ˈœu̯	1.0
ˈɔ	ˈɔ	0.51
ˈɔ	ˈʊə̯	0.314
ˈɔ	ˈɪø̯	0.159
ˈəi̯	ˈəɪ̯	0.468
ˈəi̯	ˈə	0.159
ˈəi̯	ˈyː	0.091
ˈəi̯	-	0.091
ˈəi̯	ˈʊə̯	0.076
ˈɛ	ˈa	0.18
ˈɛ	ˈi	0.161
ˈɛ	ˈɪə̯	0.157
ˈɛ	ˈɛ	0.116
ˈɛ	ˈəɪ̯	0.089
ˈɪ	ˈə	0.37
ˈɪ	ˈœ	0.134
ˈɪ	ˈa	0.126
ˈɪ	ˈɛ	0.088
ˈɪ	ˈɪə̯	0.065
ˈʉ	ˈœɪ̯	0.46
ˈʉ	ˈɔ	0.319
ˈʉ	ˈuːi̯	0.089
ˈʉ	ˈʊə̯	0.074
ˈʉ	-	0.063
ˈʌ	ˈɔ	0.668
ˈʌ	ˈɪø̯	0.158
ˈʌ	ˈæː	0.101
ˈʌʉ̯	ˈœu̯	0.28
ˈʌʉ̯	ˈʊə̯	0.28
ˈʌʉ̯	ˈɔ	0.28
ˈʌʉ̯	ˈi	0.115
θ	d	0.616
θ	t	0.221
θ	n_t	0.151
