Aragonese	Aragonese	probability
θ_#>	w_#>	1.0
ˈu_n_o_#>	ˈu_#>	1.0
ˈo_n_#>	ˈo_#>	1.0
ˈo_m	ˈɔ	1.0
ˈi_n_o_#>	ˈi_#>	1.0
ˈi	ˈi	1.0
ˈe_θ	w	1.0
ˈe_ɾ_#>	ˈe_#>	1.0
ˈe_j	ˈi	1.0
ˈa_n_o_#>	ˈa_#>	1.0
ˈa_j	ˈa_ɾ	1.0
ʧ	ʒ	1.0
ʝ_o	ʧ	1.0
ʎ_o_#>	ʎ_#>	1.0
ʃ	ʃ	1.0
ɾ_ˈe	ɾ_ˈɛ	1.0
ɾ_o_#>	#>	1.0
ɾ_o	ɾ_ə	1.0
ɾ_n	r_n	1.0
ɾ_#>	#>	1.0
ɲ_o_#>	ɲ_#>	1.0
ɲ	ɲ	1.0
ɣ_o_#>	k_#>	1.0
ɣ	ɣ	1.0
ɡ_o_#>	#>	1.0
ɡ	ɡ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
ð_o	t	1.0
z	ʎ	1.0
w_ˈa	w_ˈa	1.0
w_#>	w_#>	1.0
u	u	1.0
t_o_#>	#>	1.0
t_a	t_ə	1.0
s_k	s_k	1.0
s_#>	s_#>	1.0
r	r	1.0
p_ˈo	p_ˈɔ	1.0
p_o	s	1.0
p	p	1.0
o_#>	#>	1.0
n_#>	#>	1.0
l_o_#>	l_#>	1.0
l_#>	l_#>	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
f	f	1.0
e_ʝ	ˈɛ_w	1.0
e_n	ə_n	1.0
e_#>	#>	1.0
b_ɾ	m	1.0
b_e	b_ə	1.0
b	b	1.0
<#_θ	<#_s	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_e	<#_ə	1.0
a	ə	0.988
m	m	0.971
ˈa	ˈa	0.966
t	t	0.875
s	s	0.826
d	d	0.824
w_ˈe	ˈɔ	0.815
<#_a	<#_ə	0.8
n	n	0.771
ʎ	ʎ	0.769
l	l	0.75
β	β	0.72
ˈu	ˈu	0.72
o	u	0.684
e	ə	0.667
j_ˈe	ˈe	0.632
ˈe_ɾ	ɾ_ə	0.6
w	ˈɔ	0.571
ð	ð	0.556
i	i	0.545
ˈo	ˈo	0.519
θ	s	0.5
θ	-	0.5
ʝ	ʒ	0.5
ʝ	ð	0.5
ɾ	ɾ	0.468
w	-	0.429
ˈe	ˈɛ	0.425
ˈe_ɾ	ə	0.4
ɾ	r	0.383
#>	w_#>	0.375
#>	t_#>	0.375
ˈo	ˈɔ	0.37
j_ˈe	ˈɛ	0.368
j	j	0.368
ˈe	ˈe	0.325
o	-	0.316
ˈu	ˈo	0.28
i	ə	0.273
#>	ə_#>	0.25
ð	-	0.222
j	-	0.211
e	-	0.208
<#_a	<#	0.2
i	-	0.182
d	-	0.176
s	z	0.174
β	w	0.16
j	ˈɛ	0.158
j	ˈe	0.158
ʎ	l	0.154
n	-	0.143
l	ʎ	0.143
t	-	0.125
e	ˈɛ	0.125
β	-	0.12
ˈo	-	0.111
ð	ʒ	0.111
ð	t	0.111
w_ˈe	ˈu	0.111
l	-	0.107
ɾ	-	0.106
j	i	0.105
n	ɲ	0.086
ʎ	ʎː	0.077
ˈe	ˈi	0.075
ˈe	w	0.075
w_ˈe	ˈo	0.074
