Palatine German	Palatine German	probability
β_ˈɛ	v	1.0
ˈɪ_ʃ	ˈeː_ɡ	1.0
ˈɪ_n	ˈɛ	1.0
ˈɛ̃ː	-	1.0
ˈɑ̃ː	-	1.0
ˈɑːɪ̯	ˈɛ_ɡː	1.0
ˈõː	ˈɔ_n	1.0
ˈoː_d̥_#>	ˈæʉ̯_#>	1.0
ˈo	ˈoː	1.0
ˈĩː	ˈøː_n	1.0
ˈi	ˈʉː	1.0
ˈẽː	-	1.0
ˈeː_#>	ˈøː_#>	1.0
ˈaɪ̯_d̥	ˈiː	1.0
ˈau̯̯	ˈʉː	1.0
ˈau̯	ˈʉː	1.0
ʃ_β	s	1.0
ɪ	-	1.0
ɡ̊_#>	ɡː_#>	1.0
ə_#>	#>	1.0
ɑ	ɑ	1.0
ɐ_n	ɾ_n	1.0
ŋ_ɡ̊	ʰkː	1.0
r_ɐ	ɾ	1.0
n_ɪ	ŋ	1.0
n_s	sː	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
l_d̥	lː	1.0
l_#>	l_#>	1.0
kʰ	kʰ	1.0
j	ɡ	1.0
h	h	1.0
f_#>	p_#>	1.0
eː	e_n	1.0
d̥_r	d_ɾ	1.0
b̥	b	1.0
<#_β	<#	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
#>	ɑ_#>	1.0
m	m	0.926
ə	ɑ	0.886
ŋ	ŋː	0.857
l	l	0.806
ˈuː	ˈuː	0.8
β	ʋ	0.783
ˈoː	ˈoː	0.778
ʃ_d̥	s_t	0.778
r	ɾ	0.778
ɐ	ɾ	0.742
f	f	0.692
ˈu	ˈʉ	0.667
b̥_#>	ʋ_#>	0.667
ˈɑ	ˈɑ	0.655
x	ɡ	0.571
ˈɛː	-	0.538
ʣ̥	tʰ	0.538
ɐ_d̥	ˈuː_ɾ	0.5
ɐ_d̥	ɾ	0.5
x_d̥	ʰtː_e	0.5
x_d̥	ʰtː	0.5
s	s	0.465
ˈɛː	ˈæɪ̯	0.462
ˈɪ	ˈɪ	0.444
ˈeː	-	0.444
ˈɑː	ˈɑː	0.438
x	k	0.429
n	n	0.423
ˈɛ	ˈɛ	0.417
ɡ̊	-	0.4
ˈaɪ̯	ˈiː	0.389
ˈiː	ˈʉː	0.385
s	t	0.349
n	nː	0.346
ˈeː	ˈæɪ̯	0.333
ˈaɪ̯	-	0.333
d̥	tʰ	0.333
d̥	d	0.333
b̥_#>	#>	0.333
ˈɑː	ˈɑ	0.312
ˈiː	ˈyː	0.308
ʣ̥	-	0.308
ɡ̊	ɡ	0.3
ɡ̊	j	0.3
ˈɪ	ˈʏ	0.296
ʃ	s	0.273
ˈɔ	ˈʉ	0.267
ˈɔ	-	0.267
ˈɑː	ˈæʉ̯	0.25
ʃ	k	0.242
ˈoː	ˈæʉ̯	0.222
ˈeː	ˈoː	0.222
ˈaɪ̯	ˈyː	0.222
ʃ_d̥	ʰtː	0.222
r	-	0.222
d̥	-	0.222
ˈɛ	-	0.208
ˈɑ	ˈɑː	0.207
ˈɔ	ˈʊ	0.2
ˈuː	ˈʉː	0.2
ʃ	ʂ	0.182
ˈɛ	ˈeː	0.167
ˈu	ˈɔ	0.167
ˈu	ˈuː	0.167
ˈiː	ˈøː	0.154
ˈiː	ˈeː	0.154
ʣ̥	tː	0.154
n	n_d	0.154
f	ʋ	0.154
ʃ	ɡ	0.152
ʃ	s_k	0.152
ˈɪ	-	0.148
ŋ	ɲ	0.143
ˈɔ	ˈʏ	0.133
ˈɔ	ˈɔ	0.133
β	kʰ_ʋ	0.13
f	p	0.115
ˈɪ	ˈiː	0.111
l	lː	0.111
d̥	ç	0.111
ɐ	ə_ɾ	0.097
ɐ	-	0.097
β	-	0.087
ˈɛ	ˈʉ	0.083
ˈɛ	j	0.083
l	j	0.083
n	-	0.077
m	mː	0.074
s	ʂ	0.07
s	s_e	0.07
ˈɑ	ˈɔ	0.069
ˈɑ	-	0.069
ɐ	ɾ_e	0.065
ə	ə	0.057
ə	-	0.057
ˈaɪ̯	jː	0.056
