Sassarese	Romanian	probability
β	-	1.0
ˈɔ_ɬ	o̯ˈa_r	1.0
ʤː	-	1.0
ʣ	z	1.0
ʒ	ʦ	1.0
ʎː	j	1.0
ɲː_u	m_n	1.0
ɲː	ʤ	1.0
ɮ	-	1.0
ɬ	l	1.0
ɡː	k	1.0
ŋ	-	1.0
z	s	1.0
x	k	1.0
w	-	1.0
v	v	1.0
tː_u	p_t	1.0
tː_i	ʦʲ	1.0
t_i	t_e	1.0
t	t	1.0
sː	s	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
l	l	1.0
kː	k	1.0
k	k	1.0
i_ɬ	s	1.0
i_pː	s_p	1.0
i_m	i_m	1.0
fː	f_e	1.0
f	f	1.0
bː	p	1.0
b	b	1.0
a_r	e_r	1.0
n	n	0.984
p	p	0.905
r	r	0.892
dː	t	0.771
ʤ	ʤ	0.761
d	d	0.733
ˈa	ˈa	0.705
s	s	0.705
ʦ	ʧ	0.687
ˈu	ˈu	0.675
i	e	0.635
ˈi	ˈi	0.607
a	ə	0.571
ʦː	-	0.552
xː	r_k	0.545
ˈo	ˈu	0.542
rː	r	0.542
ʧː	kʲ	0.519
tː	p_t	0.513
ʃː	ʃ_t	0.5
ʃː	-	0.5
ˈɔ	ˈo	0.492
tː	t	0.487
ʧː	k	0.481
u	u	0.463
rː	r_n	0.458
xː	s_k	0.455
ʦː	l	0.448
ˈɛ	ˈe	0.438
ɡ	ɡ	0.434
ɡ	k	0.433
j	l	0.383
ˈɔ	ˈu	0.343
ʦ	-	0.313
s	ʃ	0.295
ˈe	ˈi	0.279
ˈɛ	ˈi	0.261
ˈo	ˈo	0.245
ʤ	ʒ	0.239
j	ˈa	0.236
dː	-	0.229
ˈe	e̯ˈa	0.217
u	e	0.217
i	-	0.213
ˈo	o̯ˈa	0.212
ˈɛ	j_ˈe	0.19
j	r	0.18
ˈe	ˈe	0.174
ˈa	ˈɨ	0.172
ˈɔ	o̯ˈa	0.164
ˈu	-	0.164
ˈu	ˈo	0.161
u	w	0.161
a	-	0.161
d	z	0.145
ˈe	ˈe_r	0.141
ˈi	ˈi_r	0.138
ɡ	-	0.134
i	ə	0.131
d	-	0.122
ˈe	-	0.114
ˈɛ	ˈɨ	0.112
r	-	0.108
j	j	0.105
j	-	0.097
p	p_j	0.095
ˈi	ˈə	0.087
ˈe	j	0.075
a	n	0.072
ˈi	e_r	0.071
ˈa	-	0.07
u	-	0.07
a	e	0.07
a	u	0.065
a	a	0.061
ˈa	ˈɨ_j	0.054
