East Frisian Low Saxon	East Frisian Low Saxon	probability
χ_t	x	1.0
ˈʏ_n	n	1.0
ˈʏ	-	1.0
ˈɪə̯	-	1.0
ˈɛːɪ̯_#>	ˈi_#>	1.0
ˈɛːɪ̯	ˈɛːi̯	1.0
ˈɛə̯	-	1.0
ˈɔː	ˈɒː	1.0
ˈɒːɒ̯	ˈɒː	1.0
ˈɑːʊ̯	ˈɔu̯	1.0
ˈɑɪ̯	-	1.0
ˈɑ_l	ˈaː	1.0
ˈœːy̯	ˈɔ	1.0
ˈœy̯	ˈøː	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈøː	1.0
ˈæːɪ̯	-	1.0
ˈæː	-	1.0
ˈyː	-	1.0
ˈuːu̯	-	1.0
ˈuː	ˈuː	1.0
ˈiːi̯	ˈiː	1.0
ˈiː	ˈiː	1.0
ˈeːe̯	ˈeː	1.0
ˈeː	ˈeː	1.0
ʊ	ˈoː	1.0
ɫ	l	1.0
ɡ̊	-	1.0
ɡ_n	ɡ_ə	1.0
ɡ	ɣ	1.0
ɑɪ̯	i	1.0
ɐ_n	ə	1.0
z̥	z̥	1.0
z	z	1.0
w	β	1.0
v̥	v̥	1.0
v_ˈæɪ̯	β_ˈi	1.0
v_n	v_ə	1.0
r_ˈøː	ʀ	1.0
r	ʀ	1.0
p	p	1.0
o	ˈaː	1.0
n_ˈɛːɪ̯	n	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d_n	j_ə	1.0
b	b	1.0
<#_ˈoːo̯	<#	1.0
<#_r	<#_ʀ	1.0
<#_j	<#_j	1.0
#>	v̥_#>	1.0
t	t	0.957
k	k	0.923
v	β	0.92
m	m	0.893
d	d	0.879
d̥	d̥	0.867
ˈɛ	-	0.8
ɣ̊	x	0.786
ˈøː	-	0.778
l	l	0.774
k_n	k_ə	0.75
s	s	0.722
ˈʊə̯	-	0.667
ˈɑʊ̯	ˈʊː	0.667
ŋ	ŋ	0.636
ˈʏə̯	ˈœ	0.6
ˈɑːɑ̯	ˈɑ	0.6
ˈœ	-	0.6
s_k	ʃ	0.583
n	n	0.557
ˈæɪ̯	ˈɛː	0.556
ˈʊ	ˈʊː	0.545
ɐ	ʀ	0.511
ˈɔ	ˈɔ	0.5
ˈɑː	ˈɑ	0.5
ˈɑː	ˈæː	0.5
s_t	ʀ_s	0.5
s_t	s	0.5
ˈɪ	ˈɪː	0.44
ˈɒː	ˈɒː	0.438
s_k	s	0.417
ˈʏə̯	-	0.4
ˈɑːɑ̯	ˈɑː	0.4
ˈœ	ˈoː	0.4
ˈɑ	ˈaː	0.368
ŋ	ŋ_k	0.364
ˈoː	ˈu	0.353
ˈʊə̯	ˈʊ	0.333
ˈɑʊ̯	ˈoː	0.333
ˈæɪ̯	ˈeː	0.333
ˈɑ	ˈɑ	0.316
ˈɒː	ˈaː	0.312
ˈɔ	-	0.3
ˈoː	ˈʊː	0.294
n	ə	0.291
s	z	0.278
ˈʊ	-	0.273
k_n	k	0.25
ˈoː	ˈɔː	0.235
ɐ	ə_ʀ	0.234
ˈøː	ʀ	0.222
ɣ̊	k	0.214
ˈɑ	ˈɑː	0.211
ˈɛ	l	0.2
ˈɔ	ˈɔː	0.2
ˈʊ	ˈɔ	0.182
ˈɪ	ˈɪ	0.16
ˈɪ	ˈeː	0.16
d̥	-	0.133
ˈɒː	ˈʊː	0.125
ˈɒː	-	0.125
ˈɪ	ˈɛ	0.12
ˈɪ	ˈi	0.12
ˈoː	-	0.118
ˈæɪ̯	-	0.111
m	ə	0.107
ɐ	ʀ_ə	0.106
ɐ	ə	0.106
ˈɑ	-	0.105
v	v_ə	0.08
k	-	0.077
n	n_d	0.063
d	j_ə	0.061
d	j	0.061
l	ə_l	0.057
l	ə	0.057
l	l_ˈeː	0.057
