Macedonian	Macedonian	probability
ˈ_ɛ	t	1.0
ˈ_v	x	1.0
ˈ	-	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ɾ	r̝	1.0
ɲ	ɲ	1.0
ɫ_k	l̩_k	1.0
ɡ̊	x	1.0
ɡ	ɦ	1.0
ɟ	ɪ_d	1.0
z̥	z̥	1.0
z	z	1.0
x	x_iː	1.0
v	v	1.0
u_m	m̩	1.0
s_#>	s_#>	1.0
s	s	1.0
p	p	1.0
o_k	k_iː	1.0
m	m	1.0
l	l	1.0
d̥	d̥	1.0
d_ɛ	d_ɛ	1.0
c	-	1.0
b̥	b̥	1.0
b	b	1.0
a_r	r_iː	1.0
a_#>	#>	1.0
<#_ɛ	<#_j_ɛ	1.0
<#_ɔ	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_l	<#_l	1.0
#>	t_#>	1.0
n	n	0.875
d	d	0.875
k	k	0.857
t	t	0.852
o	o	0.829
a	a	0.8
o_ˈ	uː	0.778
ɫ	l	0.767
j	j	0.75
r̩	r̩	0.714
i	ɪ	0.682
r	r	0.609
a_ˈ	aː	0.6
ɛ_#>	ɛ_#>	0.571
ɛ	ɛ	0.55
<#	<#_ɦ	0.5
<#	<#_x	0.5
ɛ_#>	#>	0.429
ɔ	o	0.429
f	v_iː	0.429
a_ˈ	u	0.4
u	u	0.364
u	-	0.364
ɔ	ɛ	0.286
ɔ	-	0.286
r̩	r̝	0.286
f	x_iː	0.286
f	f	0.286
u	ou̯	0.273
j	-	0.25
i	iː	0.227
o_ˈ	ɛ	0.222
r	r̝	0.217
t	c	0.148
k	-	0.143
ɛ	iː	0.133
n	-	0.125
d	ɟ	0.125
ɫ	l̩	0.1
ɛ	ɛː	0.1
ɛ	j_ɛ	0.1
i	-	0.091
a	-	0.091
r	r̩	0.087
r	r̝̊	0.087
o	l	0.086
o	-	0.086
ɛ	-	0.083
a	ɛ	0.073
ɫ	iː	0.067
ɫ	d_l	0.067
