Hessian	Hessian	probability
ˈɛ̃ː	ˈɒː_n	1.0
ˈɔ	ˈoː	1.0
ˈɑ̃i̯	ˈi_n	1.0
ˈæː	-	1.0
ˈæ	ˈæ	1.0
ˈuː	ˈuə̯	1.0
ˈõː	ˈøː_n	1.0
ˈoĩ̯	ˈeː_ɦ	1.0
ˈĩː	ˈuə̯_n	1.0
ˈeː	-	1.0
ˈe	-	1.0
ˈãː	-	1.0
ˈaː_l	ˈu_d̥	1.0
ʤ̥	-	1.0
ʒ̊	-	1.0
ʃ_v	z_ʋ	1.0
ʃ_d̥	s_t	1.0
ʀ	ɾ	1.0
ɡ̊_ə	k_n	1.0
ɡ̊	-	1.0
ɛː	iə̯	1.0
ɐ_n	ɾ_n	1.0
ŋ	ŋ	1.0
æ̆_#>	ɾ_#>	1.0
æ̆	ə	1.0
z̥	t	1.0
v̥	p	1.0
v_ə	v_n	1.0
oː	ˈoː	1.0
m	m	1.0
kʰ	k	1.0
k_ʀ	ɦ_ɾ	1.0
k_s	s	1.0
k	ɦ_ə	1.0
i_ʃ	ç	1.0
i	ɪ	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_ɾ	1.0
<#_h	<#	1.0
<#	<#_ɦ	1.0
n	n	0.903
v	ʋ	0.882
ˈɑ	ˈɑ	0.846
ˈiː	ˈiə̯	0.818
p	b	0.8
ə	n	0.773
ˈoː	ˈoː	0.75
t	t	0.733
f	v	0.719
l	l	0.711
ɐ	ɾ	0.7
ˈoi̯	ˈiə̯	0.667
ˈau̯	ˈyː	0.667
#>	ɾ_#>	0.667
ˈaː	ˈoː	0.625
ʦ	t	0.6
ˈɑː	ˈɒː	0.571
ˈi	ˈɪ	0.538
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
ˈɛ	ˈæ	0.5
ˈɛ	ˈeː	0.5
ˈai̯	ˈi	0.5
j	j	0.5
j	-	0.5
b̥	b	0.5
s	z	0.474
d̥	d	0.45
x	k	0.444
ˈo	ˈœ	0.429
ɣ̊	-	0.429
ˈa	ˈɑ	0.417
ʦ	t_ə	0.4
d̥	d̥	0.4
ˈaː	ˈeː	0.375
ˈu	ˈɔ	0.364
ˈu	ˈuə̯	0.364
b̥	v̥	0.357
ˈoi̯	ˈyː	0.333
ˈau̯	-	0.333
ˈa	ˈɒː	0.333
x	h	0.333
ɐ	ɾ_ə	0.3
ˈɑː	ˈɑ	0.286
ˈo	ˈɔ	0.286
ˈo	ˈoː	0.286
ʃ	s	0.286
ɣ̊	ɦ_ə	0.286
ɣ̊	ɦ	0.286
ˈu	ˈu	0.273
t	d	0.267
ˈoː	-	0.25
ˈai̯	ˈɛ	0.25
ˈai̯	-	0.25
ˈa	-	0.25
ʃ	ʃ_h	0.238
x	ɦ̥	0.222
f	p	0.219
s	t	0.211
l	w	0.211
p	p	0.2
ʃ	ɦ̥	0.19
s	z̥	0.184
ˈiː	ˈuə̯	0.182
#>	ʋ_ə_#>	0.167
#>	ɦ̥_#>	0.167
ˈɑ	-	0.154
ˈi	ˈœ	0.154
ˈɑː	-	0.143
ʃ	k	0.143
ʃ	h	0.143
b̥	-	0.143
ə	ə	0.136
s	s	0.132
v	v	0.118
ˈi	ˈɛ	0.115
ˈi	-	0.115
d̥	-	0.1
n	n_d	0.097
ə	d_n	0.091
l	ˈu	0.079
ˈi	ˈæ	0.077
f	v_ˈøː	0.062
