Lengadocian	Lengadocian	probability
ˈɛ_#>	ˈe_#>	1.0
ˈɔ_k	ɡ	1.0
ˈu_s	ˈu_j	1.0
ˈi_#>	e_#>	1.0
ˈi	ˈi	1.0
ˈa_z_ɔ_#>	ˈa_#>	1.0
ˈa_w	ˈɔ	1.0
ˈa_j	ˈe	1.0
ˈa_#>	ˈe_#>	1.0
ʧ	t	1.0
ʦ_#>	s_#>	1.0
ʦ	z	1.0
ʎ	j	1.0
ʀ_t	r_t	1.0
ʀ	r	1.0
ɾ_ˈa	r_ˈa	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈø	1.0
ɡ_l	ʤ	1.0
ɔ_#>	#>	1.0
ɔ	a	1.0
ŋ	ŋ	1.0
w_ɾ	v	1.0
t_ɔ	t_a	1.0
t_#>	d_#>	1.0
s_k	s_k	1.0
s_#>	#>	1.0
nː	m_n	1.0
n_d	n	1.0
n_#>	ŋ_t_#>	1.0
mː	m	1.0
m_#>	m_#>	1.0
m	m	1.0
l_s	w_s	1.0
k_l	ʧ	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
j_s	s	1.0
i	i	1.0
f	f	1.0
d	d	1.0
a_w	u	1.0
a_l	a_l	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_l	1.0
p	p	0.941
s	s	0.902
t	t	0.889
ˈy	ˈy	0.882
ˈa	ˈa	0.872
ɾ	r	0.839
ˈɛ	ˈɛ	0.833
ˈu	ˈu	0.806
e_#>	#>	0.8
u	u	0.778
j_ɾ	r	0.75
ɥ	ˈø	0.714
ʤ	ʤ	0.706
β	v	0.667
z	z	0.667
l_#>	l_#>	0.667
ɣ	-	0.625
ˈɔ	ˈɔ	0.6
l	j	0.6
j_ˈɛ	ˈɛ	0.6
n	ŋ	0.593
w_#>	v_#>	0.571
w	w	0.571
b	v	0.568
ð	d	0.5
j	j	0.5
j	-	0.5
b	b	0.432
w_#>	#>	0.429
w	-	0.429
e	-	0.415
n	n	0.407
l	l	0.4
j_ˈɛ	ˈe	0.4
e	e	0.39
ˈe	ˈɛ	0.375
ɣ	ɡ	0.375
β	b	0.333
z	-	0.333
#>	ŋ_#>	0.316
ð	t	0.3
ʤ	-	0.294
ɥ	-	0.286
l_#>	j_#>	0.259
ˈe	ˈe	0.25
j_ɾ	dː	0.25
#>	r_#>	0.211
ˈɔ	ˈø	0.2
ð	-	0.2
e_#>	r_#>	0.2
e	i	0.195
ˈɛ	ˈe	0.167
#>	n_#>	0.158
ˈe	ˈi	0.156
#>	a_#>	0.132
ˈɔ	ˈu	0.12
ˈy	-	0.118
ˈu	ˈy	0.111
u	ˈø	0.111
u	-	0.111
t	s	0.111
ɾ	-	0.097
ˈe	ˈe_j	0.094
ˈa	w_ˈa	0.085
ˈu	ˈɔ	0.083
ˈɔ	-	0.08
#>	e_#>	0.079
l_#>	#>	0.074
ɾ	ə	0.065
ˈe	ˈə	0.062
ˈe	ˈɔ	0.062
s	z	0.059
p	-	0.059
#>	l_#>	0.053
#>	j_#>	0.053
