Piedmontese	Neapolitan	probability
a	ə	0.68
a	a	0.198
b	v	0.404
b	b	0.355
b	-	0.073
b	ʎ	0.07
b	ɲ	0.062
b	s	0.062
d	d	0.475
d	t	0.144
d	ɾ	0.123
d	-	0.104
d	d_ə	0.091
d	n	0.053
e	ə	0.507
e	ʃ_ə	0.133
e	ˈi	0.133
e	i	0.069
e	e	0.065
f	f	0.928
f	v	0.072
f_j	ʃ	1.0
i	-	0.412
i	i	0.305
i	ə	0.152
i	a	0.097
j	j	0.368
j	-	0.301
j	ʎ	0.164
j	t	0.062
k	k	0.788
k	k_w	0.115
k	k_ə	0.095
l	l	0.934
m	m	0.859
n	n	0.814
n	n_w	0.078
n	ɲ	0.06
p	p	0.758
p	k	0.188
r	ɾ	0.662
r	r	0.247
r	-	0.051
s	s	0.404
s	ʃ	0.361
s	ʃ_ə	0.11
s	ʦ	0.096
t	t	0.955
t	-	0.053
u	u	0.372
u	-	0.189
u	a	0.148
u	ə	0.126
u	o	0.085
u	ˈu	0.062
v	v	0.797
v	p	0.138
w	w	0.56
w	ə	0.238
w	-	0.18
y	u	1.0
z	ʤ	0.406
z	ʃ	0.29
z	ɲ	0.123
z	s	0.101
z	z	0.077
ŋ	n	0.776
ŋ	ŋ	0.144
ə	r	0.322
ə	ˈe	0.297
ə	n	0.212
ɡ	ɡ	0.608
ɡ	k_ə	0.303
ɡ	-	0.085
ɲ	ɲ	0.665
ɲ	ʤ	0.225
ɲ	n	0.101
ʤ	ʤ	0.441
ʤ	-	0.376
ʤ	ɲ	0.169
ʧ	ʃ	0.517
ʧ	j	0.314
ˈa	ˈa	0.893
ˈa	ˈa_t	0.087
ˈe	ˈa	0.428
ˈe	ˈe	0.266
ˈe	ˈɛ	0.159
ˈe	ə	0.08
ˈi	ˈi	0.799
ˈi	ˈu	0.075
ˈi	ˈe_k	0.053
ˈi	ˈɛ	0.051
ˈu	ˈu	0.541
ˈu	ˈo	0.369
ˈy	ˈu	0.877
ˈy	ˈi	0.09
ˈy	ˈu_m	0.053
ˈø	ˈɔ	0.497
ˈø	w_ˈɔ	0.216
ˈø	u	0.078
ˈø	o	0.07
ˈø	ˈɔ_k	0.069
ˈø	ˈo	0.059
ˈø	ˈu	0.053
ˈɔ	ˈɔ	0.782
ˈɔ	ˈo	0.137
ˈə	ə	0.349
ˈə	ˈi	0.184
ˈɛ	ˈɛ	0.679
ˈɛ	ˈe	0.113
ˈɛ	ˈɛ_t	0.094
ˈɛ	ˈi	0.056
ˈɛ_j	ˈi	1.0
