Italian	Italian	probability
ˈɔ_r	ɾ_ˈo	1.0
ˈɔ_k	ɣ	1.0
ˈu_r	ˈu_ɾ	1.0
ˈo_n	ˈɔ_n	1.0
ˈi_o	ˈɛ_u	1.0
ˈi_n	ˈi_n	1.0
ˈa_r	ˈa	1.0
ˈa_kː	ˈa_k	1.0
ʧː	-	1.0
ʦ	ʦ	1.0
ʣː	z	1.0
ʎː	ɭː	1.0
ʃː	ʃ	1.0
ŋ	ŋ	1.0
z	z	1.0
u	-	1.0
tː	t	1.0
s	s	1.0
rː	r	1.0
r_ˈe	ɾ_ˈɛ	1.0
r_n	r	1.0
r_e	i	1.0
r_a	ɾ_a	1.0
p_r	β	1.0
p_o	p_u	1.0
p_j	p_ɾ	1.0
nː	nː	1.0
mː	m	1.0
l_e	l_i	1.0
l_a	l_a	1.0
kː_j	ɣ	1.0
kː	k	1.0
j_ˈɛ	ˈɛ	1.0
i_k	i_ɣ	1.0
fː	f	1.0
f	f	1.0
e_#>	#>	1.0
dː	ð	1.0
bː	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_d	<#	1.0
<#_a	<#_a	1.0
a	a	0.944
ˈa	ˈa	0.915
k	k	0.9
o	u	0.874
m	m	0.857
b	b	0.857
ˈi	ˈi	0.846
ʤ	ʤ	0.846
r	ɾ	0.846
p	p	0.833
n	n	0.833
ˈu	ˈu	0.826
ɲː	n_ʤ	0.8
i	i	0.786
l	l	0.784
ʧ	ʒ	0.778
e	i	0.775
lː	ɖː	0.727
v	b	0.667
sː	s	0.667
r_o	ɾ_u	0.667
e_r	ɾ	0.667
w	w	0.625
#>	i_#>	0.6
ˈe	ˈi	0.577
t	t	0.575
ɡ	ɡ	0.562
ˈɛ	ˈɛ	0.5
ˈɔ	ˈɔ	0.5
w_ˈɔ	ˈɔ	0.5
w_ˈɔ	ˈo	0.5
j_#>	ŭ_#>	0.5
j_#>	#>	0.5
j	ɾ	0.5
j	j	0.5
d	d	0.5
d	-	0.5
ˈo	ˈu	0.464
ˈɛ	ˈe	0.441
ɡ	ɣ	0.438
w	-	0.375
t	ð	0.35
v	-	0.333
sː	ʃ	0.333
r_o	u	0.333
e_r	i	0.333
ˈɔ	ˈo	0.292
lː	ɭː	0.273
ˈe	ˈɛ	0.269
ˈo	ˈɔ	0.25
#>	z_ŭ_#>	0.25
ʧ	-	0.222
l	-	0.216
ˈo	ˈo	0.214
i	ɔ_z	0.214
ˈɔ	ˈu	0.208
ɲː	ɲ	0.2
ˈe	ˈe	0.154
ʤ	-	0.154
#>	ɔ̆_#>	0.15
m	-	0.143
b	-	0.143
p	β	0.1
ˈu	ˈɔ	0.087
ˈu	ˈo	0.087
n	nː	0.083
e	ɛ	0.078
ˈi	ˈi_n	0.077
ˈi	-	0.077
t	-	0.075
ˈo	ˈɔ_z	0.071
p	p_ɾ	0.067
ˈɛ	-	0.059
o	ɔ	0.058
a	u	0.056
r	ˈɔ	0.051
r	r	0.051
r	-	0.051
