Old West Norse	Faroese	probability
ˈɔː	ˈɔːu̯	1.0
ˈɒu̯	ˈɛːi̯	1.0
ˈɑu̯	ˈɛːi̯	1.0
ˈøː	ˈøː	1.0
ˈøy̯	ˈɔːi̯	1.0
ˈeː_r̥	ˈɛːa̯_ɹ	1.0
ʝː	ˈiː_j	1.0
ɾ	ɹ	1.0
ɡː	ɡ̊ː	1.0
ɟː	ʤ̊ː	1.0
ɑː	a	1.0
ɑ	a	1.0
x	kʰ	1.0
w	v	1.0
u	-	1.0
tː	ʰt	1.0
tʰ	tʰ	1.0
t_n	ʰt͡n̥	1.0
sː	sː	1.0
s_j	ʃ	1.0
s_c	ʃ	1.0
s	s	1.0
r̥ː	ɹ_ʊ	1.0
r_ɑ	ɹ_a	1.0
r_n	t͡n̥	1.0
r_m	ɹ_m	1.0
pː	ʰp	1.0
pʰ	pʰ	1.0
n̥	n_ˈøː	1.0
mː	-	1.0
l̥	l	1.0
lː	t͡l̥	1.0
kː	ʰk	1.0
kʰ	kʰ	1.0
h	h	1.0
e	ɪ	1.0
d	d̥	1.0
cː	ʰʧ	1.0
cʰ	ʧʰ	1.0
c	ʧ	1.0
b	b̥	1.0
a	a	1.0
r	ɹ	0.92
v	v	0.916
m	m	0.916
f	f	0.904
ŋ	ŋ	0.892
n	n	0.883
ˈiː	ˈʊ̯iː	0.881
l	l	0.872
i	ɪ	0.856
ˈu	ˈʊ	0.854
ˈuː	ˈʉːu̯	0.851
ˈɑː	ˈɔ̯aː	0.836
ɡ	ɡ̊	0.835
θ	tʰ	0.765
k	k	0.764
ˈi	ˈɪ	0.747
ˈɛ	ˈɛ	0.742
t	t	0.689
nː	nː	0.687
r̥	ʊ_ɹ	0.657
ˈo	ˈɔ	0.65
ˈa	-	0.648
ɟ	ʤ̊	0.641
ˈɛː	ˈɛːa̯	0.582
ˈyː	ˈʊ̯iː	0.581
ˈy	ˈɪ	0.549
ˈoː	ˈɔːu̯	0.538
ˈeː	-	0.525
ˈɑ	ˈa	0.524
j	-	0.518
p	p	0.517
ˈɛi̯	ˈai̯	0.504
p	ʰp	0.483
j	j	0.482
ˈeː	ˈɛːa̯	0.475
ˈɔ	ˈœ	0.442
ˈe	ˈɛ	0.436
ˈyː	ˈɪ	0.419
ˈɛː	ˈa	0.418
ɣ	ɡ̊	0.394
ˈɔ	ˈøː	0.367
ɟ	-	0.359
ˈe	ˈeː	0.352
ˈa	ˈɛːa̯	0.352
ɣ	-	0.336
ˈɛi̯	ˈaːi̯	0.331
nː	n	0.313
ð	w	0.293
ˈy	ˈiː	0.289
ð	j	0.281
ˈoː	-	0.276
t	ʰt	0.275
ð	v_ʊ	0.274
ˈɛ	ˈeː	0.258
ˈi	ˈiː	0.253
θ	ʧʰ	0.235
ˈe	-	0.212
ˈɑ	ˈɛːa̯	0.208
ˈɔ	ˈɔ	0.191
ˈo	ˈoː	0.191
ˈoː	ˈɛ_ɡ̊	0.186
r̥	ɹ	0.169
ˈɛi̯	-	0.165
ɡ	-	0.165
ˈɑː	ˈɔ	0.164
ˈy	ˈʏ	0.161
ɣ	w	0.155
ð	-	0.152
ˈuː	ˈɪ_ɡ̊	0.149
ˈu	ˈuː	0.146
i	-	0.144
k	ʰk	0.141
ˈiː	ˈʊ_ʤ̊ː	0.119
n	n̥	0.117
ɣ	v̥	0.115
ˈɑ	ˈœ	0.109
ŋ	ɲ	0.108
r̥	-	0.098
ˈɑ	ˈɔ	0.096
k	-	0.096
f	v	0.096
v	-	0.084
m	mː	0.084
r	-	0.08
ˈo	ˈœ	0.079
ˈo	-	0.079
l	l̥	0.068
ˈɑ	ˈɛ	0.063
l	l_ˈa	0.06
