Provençal	Friulian	probability
ˈɛ_j	ˈe	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈe_ʤ	j	1.0
ˈã	ˈa	1.0
ˈa_w	ˈa_l	1.0
ˈa_j	ˈa	1.0
ʧ	t	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_e	i	1.0
ɲ	ɲ	1.0
ɥ_ˈe	w	1.0
ŋ_d	n	1.0
y	u	1.0
w_ˈẽ	ˈo	1.0
w_ˈe	ˈuː	1.0
w_ɾ	v	1.0
v	v	1.0
ũ	o	1.0
t_ˈu	d_ˈu	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
s_ɔ	ʧ_e	1.0
p	p	1.0
mː	e_m	1.0
m	m	1.0
k_l	k_l	1.0
j_ˈe	ˈi	1.0
j_s	s	1.0
ĩ	i	1.0
f	f	1.0
ẽ	e	1.0
e_s	s	1.0
ã	-	1.0
a_b	a_v	1.0
ɔ	e	0.949
d	d	0.94
l	l	0.935
ɾ	r	0.867
a	a	0.827
ʀ	r	0.823
ˈũ	ˈo	0.808
s	s	0.794
n	n	0.776
b	b	0.73
u	o	0.676
e	i	0.645
ˈu	ˈo	0.637
ˈa	ˈa	0.622
w	w	0.593
ˈy	ˈu	0.584
ɡ	ɡ	0.584
z	-	0.574
k	c	0.566
ŋ	ŋ	0.539
ˈẽ	ˈi	0.538
s_e	s_i	0.509
s_e	s_e	0.491
i	i	0.476
k	k	0.434
j	j	0.425
ɡ	-	0.416
ˈɛ	j_ˈɛ	0.345
ˈa	ˈaː	0.341
ʤ	ʤ	0.327
u	u	0.324
ʤ	-	0.318
ˈe	ˈɛ	0.295
ˈy	ˈuː	0.283
j	-	0.28
w	-	0.271
b	-	0.27
i	-	0.266
i	j	0.258
ˈɛ	ˈɛ	0.256
ˈe	ˈe	0.253
ŋ	n	0.241
ˈẽ	ˈɛ	0.231
ˈẽ	ˈe	0.231
ŋ	n_t	0.22
ˈu	ˈoː	0.219
z	z	0.213
z	d	0.213
s	ʧ	0.206
ˈũ	-	0.192
ˈɛ	ˈiː	0.188
ʤ	j	0.184
ʀ	ˈɛ	0.177
a	e	0.173
ˈe	ˈɔ	0.171
ʤ	d	0.171
j	ˈɛ	0.171
ˈu	ˈɔ	0.145
ˈɛ	j	0.136
ˈy	-	0.133
e	e	0.12
e	a	0.115
ˈe	ˈa	0.114
n	ɲ	0.112
n	-	0.112
ɾ	-	0.091
ˈe	-	0.087
ˈɛ	-	0.075
w	ˈo	0.066
l	-	0.065
j	s	0.063
j	l	0.062
e	s	0.06
e	-	0.06
d	-	0.06
w	l	0.052
ɔ	-	0.051
