Čakavian	Standard Serbian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
z	z	1.0
uː	uː	1.0
u	u	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
oː	oː	1.0
o	o	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j	j	1.0
iː_̌	i_̂	1.0
i	i	1.0
eː	eː	1.0
e_n	eː_n	1.0
d	d	1.0
c	ʨ	1.0
b	b	1.0
aː	aː	1.0
a	a	1.0
̂	̂	0.918
l	l	0.864
̌	̂	0.8
aː_̌	a_̂	0.619
x	x	0.564
e	e	0.531
r̩	r̩ː	0.519
i_̂	e_̂	0.516
i_̂	e	0.484
iː	iː	0.483
r̩	r̩	0.481
iː	eː	0.417
aː_̌	a	0.381
e	e_̌	0.315
x	ʋ	0.223
x	k	0.213
̌	̌	0.2
e	eː	0.155
l	ʎ	0.136
iː	e	0.1
̂	̌	0.082
