Old West Norse	Elfdalian	probability
θ	tʰ	1.0
ˈɒu̯	ˈœː	1.0
ˈɑ_l	ˈɔː	1.0
ˈu_r̥ː	rː	1.0
ˈo_n	ˈʉː_n	1.0
ˈa	-	1.0
ʦ	s	1.0
ʝː	ˈɑː_j	1.0
ɾ	r	1.0
ɡː	ɡː	1.0
ɡ_r	ɡ_r	1.0
ɟː	ʥː	1.0
ɟ	ʥ	1.0
ɑː	ɔ̃	1.0
ŋ	ŋ	1.0
ç	j	1.0
x_w	w	1.0
v_ˈɛi̯	w	1.0
tʰ	tʰ	1.0
sː	sː	1.0
s_l	l̥	1.0
s	s	1.0
r̥ː	r	1.0
r_ð	r_d	1.0
r_n	nː	1.0
pː	pː	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	n	1.0
mː	mː	1.0
m	m	1.0
l̥	ɽ	1.0
kː	kː	1.0
kʰ	kʰ	1.0
j_ˈɔ	j	1.0
j_ɑ	ɑ	1.0
i_r̥	ɛ_r	1.0
f	f	1.0
e	ɪ	1.0
d	d	1.0
cː	ʨː	1.0
cʰ	ʨ	1.0
c	ʨ	1.0
b	b	1.0
a	ɑ	1.0
r	r	0.949
ð	ð	0.918
tː	tː	0.869
ˈi	ˈɪ	0.866
n	n	0.859
ˈɛi̯	ˈiːe̯	0.855
k	k	0.851
t	t	0.837
lː	lː	0.81
ˈøː	ˈyːœ̯	0.773
ɑ	ɑ	0.769
ˈoː	ˈʉːə̯	0.764
j	j	0.75
ɡ	ɡ	0.725
ˈu	ˈʉ	0.719
ˈɑu̯	ˈœː	0.71
ɣ	ɣ	0.681
u	ʉ	0.662
nː	nː	0.652
ˈyː	ˈʏː	0.598
ˈiː	ˈɑːi̯	0.587
ˈɛ	ˈɛ	0.586
ˈuː	ˈɑːu̯	0.578
ˈøy̯	ˈæː	0.562
ˈo	ˈʉə̯	0.551
ˈy	-	0.55
l	ɽ	0.55
ˈeː	-	0.522
ˈɛː	j	0.513
i	-	0.505
ˈɑː	ˈɔː	0.499
ˈɛː	ˈæː	0.487
ˈɔ	ˈɑ	0.485
v	w	0.476
ˈe	ˈɛ	0.468
ˈy	ˈʏ	0.45
ˈøy̯	ˈœː	0.438
ˈuː	ˈʉːə̯	0.422
ˈɛ	j_ˈæ	0.414
ˈiː	ˈɪː	0.413
ˈyː	-	0.402
ˈɔ	ˈoː	0.392
v	v	0.378
r̥	ɛ_r	0.367
ˈɑ	ˈɑ	0.36
nː	n	0.348
r̥	ð	0.34
u	-	0.338
ɣ	-	0.319
ˈɑ	-	0.309
r̥	r	0.294
ˈɑu̯	ˈoː	0.29
ˈɑ	ˈɑː	0.281
ɡ	ɣ	0.275
ˈeː	ˈɪː	0.271
ˈo	ˈo	0.264
ˈɑː	ˈɔ̃ː	0.263
i	ɛ	0.255
j	-	0.25
ˈe	ˈæ	0.244
ˈɑː	-	0.239
ˈoː	-	0.236
ˈøː	-	0.227
l	l	0.219
ˈeː	ˈɪ̃ː	0.208
lː	ɽ	0.19
ˈo	-	0.184
t	tː	0.163
ˈu	-	0.154
k	kː	0.149
v	-	0.146
ˈɛi̯	ˈɛ	0.145
i	ɪ	0.142
n	ɛ_n	0.141
ɑ	ɔ	0.137
ˈi	ˈɪː	0.134
tː	-	0.131
ˈu	ˈʉː	0.127
ˈɔ	ˈœ	0.122
l	-	0.118
l	ɛ_ɽ	0.112
i	ʏ	0.098
ˈe	ˈɪ	0.096
ˈe	ˈɛː	0.096
ˈe	-	0.096
ð	-	0.082
ɑ	ʉ	0.075
r	-	0.051
ˈɑ	ˈo	0.05
