Middle High German	Gothic	probability
ˈɛ_l	ˈi_l	1.0
ˈɑː	ˈeː	1.0
ˈɑ	ˈa	1.0
ˈøː	ˈɔː	1.0
ˈøy̯	ˈɔ	1.0
ˈyə̯	ˈoː	1.0
ˈy	-	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈiə̯	ˈiu̯	1.0
ˈeː	ˈɛː_w	1.0
ˈei̯	ˈɛː	1.0
ˈe	ˈa	1.0
ʦː	t	1.0
ʦ	t	1.0
ʃː	k_s	1.0
ʃ_t	s_t	1.0
ə_l	l_s	1.0
ɑ	a	1.0
ŋ	ŋ	1.0
v	f	1.0
tː	ð_j	1.0
s̻ː	t	1.0
s_t	s_t	1.0
s	s	1.0
r_n	r_n	1.0
p͡f	p	1.0
oː	oː	1.0
ou̯	ˈɔː	1.0
nː	nː	1.0
m	m	1.0
lː	lː	1.0
l	l	1.0
k	k	1.0
j	j	1.0
i	a_x	1.0
h	h	1.0
d	θ	1.0
n	n	0.931
ˈi	ˈi	0.907
w	w	0.874
r	r	0.819
ˈu	ˈu	0.786
b	b	0.735
ə	a	0.732
ɡ	ɡ	0.728
ˈoː	ˈɔː	0.702
ˈɛ	ˈɛ	0.7
f	p	0.679
b̥	f_s	0.632
ˈou̯	-	0.627
xː	k	0.618
s̻	t	0.57
ʃ	s_k	0.556
ɡ̊	ɡ_s	0.519
ˈyː	-	0.463
x	h	0.451
ˈo	ˈu	0.449
ʃ	s	0.444
ˈyː	ˈiu̯	0.434
s̻	t_s	0.43
x	k	0.421
ˈo	ˈɔ	0.401
t	t	0.388
xː	k_j	0.382
ˈou̯	ˈɔː	0.373
b̥	b	0.368
f	f	0.321
ˈɛ	ˈi	0.3
d̥	θ	0.3
d̥	d_s	0.3
ˈoː	ˈɔ	0.298
b	β	0.265
ɡ̊	x	0.241
ɡ̊	s	0.241
ɡ	ɣ	0.231
ˈu	ˈɔ	0.214
t	ð	0.201
d̥	θ_u	0.2
d̥	d_u	0.2
t	θ_s	0.188
ˈo	-	0.15
r	s	0.14
x	h_s	0.128
t	d	0.116
t	θ	0.107
ˈyː	ɡʷː	0.102
ˈi	s	0.093
ə	u	0.093
ə	-	0.093
w	ʍ	0.075
n	-	0.069
w	-	0.051
