West Flemish	Danish	probability
b	b̥	0.984
d	ʦʰ	0.425
d	-	0.287
d	d̥	0.251
f	w	0.823
f	ʋ	0.147
h	k	0.416
h	-	0.32
h	ɡ̊	0.142
h	j	0.122
iə̯	-	1.0
j	ˈeˀ	0.557
j	ˈɔˀ	0.365
j	-	0.078
k	kʰ	0.405
k	j	0.228
k	k	0.159
k	-	0.12
k	ɡ̊	0.072
l	l	0.898
l	lˀ	0.088
m	m	0.824
m	mˀ	0.096
n	n	0.539
n	ə	0.243
n	-	0.1
n	nˀ	0.098
p	b̥	0.474
p	p	0.26
p	-	0.131
p	pʰ	0.077
p	ð̞ˠ	0.058
s	s	1.0
t	ð̞ˠ	0.553
t	t	0.212
t	ʦʰ	0.105
t	lˀ	0.056
t	-	0.056
v	f	0.645
v	-	0.152
v	w	0.077
v	kʰ	0.062
w	lˀ	0.672
w	l	0.235
w	-	0.093
z	s	0.966
ç	-	1.0
ŋ	ŋˀ	0.563
ŋ	ŋ	0.329
ŋ	-	0.108
ə	ə	0.76
ə	-	0.213
ɦ	ɡ̊	0.536
ɦ	-	0.422
ɪ	-	1.0
ɾ	ɐ	0.433
ɾ	ʁ	0.349
ɾ	ɐˀ	0.132
ʃ	s	0.905
ʃ	f	0.095
ʋ	ʋ	0.948
ˈeː	ˈɛˀ	0.266
ˈeː	ˈiˀ	0.19
ˈeː	ˈɔˀ	0.112
ˈeː	ˈeˀ	0.094
ˈeː	ˈuˀ	0.094
ˈeː	ˈe	0.068
ˈeː	ˈuː	0.065
ˈi	ˈiˀ	0.507
ˈi	ˈi	0.285
ˈi	ˈiː	0.208
ˈiə̯	ˈyˀ	0.248
ˈiə̯	ˈyː	0.173
ˈiə̯	ˈiˀ	0.106
ˈiə̯	ˈeː	0.105
ˈiə̯	ˈɛˀ	0.085
ˈiə̯	ˈiː	0.07
ˈiə̯	ˈi	0.069
ˈiə̯	ˈɑ	0.069
ˈoː	ˈo	0.317
ˈoː	ˈʌ	0.195
ˈoː	ˈœˀ	0.165
ˈoː	ˈøː	0.128
ˈu	ˈu	0.43
ˈu	ˈɔ	0.384
ˈu	ˈʌ	0.089
ˈuə̯	ˈoˀ	0.479
ˈuə̯	ˈʌ	0.131
ˈuə̯	ˈo	0.11
ˈuə̯	ˈœˀ	0.107
ˈuə̯	ˈœ	0.07
ˈuə̯	ˈøː	0.052
ˈuə̯	ˈoː	0.051
ˈyː	ˈuˀ	0.673
ˈyː	ˈuː	0.219
ˈyː	ˈy	0.108
ˈæ	ˈɛ	0.234
ˈæ	ˈe	0.173
ˈæ	ˈi	0.131
ˈæ	ˈæ	0.131
ˈæ	ˈa	0.108
ˈæ	-	0.087
ˈæ	ˈœ	0.064
ˈæ	j_ˈɛ	0.056
ˈøː	ˈoˀ	0.539
ˈøː	ˈœ	0.266
ˈøː	ˈɛː	0.115
ˈøː	ˈuˀ	0.08
ˈœ	ˈœ	0.415
ˈœ	ˈu	0.261
ˈœ	ˈɛ	0.15
ˈœ	ˈy	0.103
ˈœ	ˈyˀ	0.07
ˈɑ	ˈa	0.333
ˈɑ	ˈɑ	0.237
ˈɑ	ˈɛ	0.091
ˈɑ	ˈɔˀ	0.066
ˈɑ	ˈʌ	0.056
ˈɒː	ˈa	0.241
ˈɒː	ˈɒˀ	0.137
ˈɒː	ˈɔˀ	0.127
ˈɒː	ˈɑˀ	0.11
ˈɒː	-	0.092
ˈɒː	ˈɔː	0.066
ˈɒː	ˈɛ	0.061
ˈɔ	ˈœ	0.302
ˈɔ	ˈɛ	0.186
ˈɔ	ˈɔ	0.169
ˈɔ	ˈɔˀ	0.147
ˈɔ	ˈɒː	0.063
ˈɔ	ˈoː	0.058
ˈɛ	ˈe	0.388
ˈɛ	ˈɛ	0.175
ˈɛ	ˈiː	0.166
ˈɛ	ˈeˀ	0.161
ˈɛ	ˈiˀ	0.109
ˈɛː	ˈeˀ	0.749
ˈɛː	ˈoˀ	0.206
ˈɪ	ˈe	0.715
ˈɪ	ˈø	0.155
ˈɪ	-	0.08
