West Flemish	Danish	probability
b	b̥	1.0
d	ʦʰ	0.358
d	d̥	0.348
d	-	0.206
d	ʨ	0.052
d_n	ə	1.0
f	w	0.343
f	v	0.12
f	-	0.046
h	-	0.632
h	k	0.144
h	j	0.125
h	ɡ̊	0.083
j	ˈeˀ	0.26
j	-	0.138
j	ˈɔˀ	0.12
k	kʰ	0.469
k	k	0.202
k	j	0.171
k	-	0.149
l	l	0.853
l	lˀ	0.113
l	-	0.035
m	m	0.789
m	mˀ	0.102
m	wˀ	0.072
n	n	0.511
n	-	0.327
n	ə	0.135
n	nˀ	0.026
n_d	n	1.0
n_t	nˀ	0.901
n_t	n	0.071
p	b̥	0.195
p	p	0.194
p	pʰ	0.194
p	-	0.124
p	w	0.124
s	s	1.0
t	ð̞ˠ	0.462
t	t	0.339
t	ʦʰ	0.068
t	-	0.061
t	lˀ	0.039
t_ɾ	nˀ	0.463
t_ʋ	ʦʰ	1.0
v	f	0.629
v	-	0.133
v	kʰ	0.075
v	mˀ	0.049
v	v	0.043
w	lˀ	0.594
w	-	0.392
z	s	1.0
ç	-	0.463
ŋ	ŋ	0.654
ŋ	ŋˀ	0.17
ŋ	-	0.053
ŋ_k	ŋˀ	1.0
ə	-	0.545
ə	ə	0.39
ə	jˀ	0.034
ə	i	0.032
ə_ɾ	ə	1.0
ɦ	ɡ̊	0.605
ɦ	-	0.243
ɦ	j	0.079
ɦ	jˀ	0.06
ɦ_n	ə	1.0
ɪ	-	1.0
ɾ	ʁ	0.376
ɾ	ɐ	0.347
ɾ	-	0.155
ɾ	ɐˀ	0.078
ɾ	ð̞ˠ	0.029
ɾ_m	m	1.0
ɾ_s	s	1.0
ɾ_t	ɐˀ	1.0
ɾ_ə	ɐ	1.0
ʃ	s	0.723
ʃ	f	0.192
ʋ	ʋ	0.718
ʋ	-	0.226
ʋ	ˈo	0.054
ˈeː	ˈɛˀ	0.221
ˈeː	ˈiˀ	0.146
ˈeː	ˈuˀ	0.127
ˈeː	ˈɑ	0.127
ˈeː	ˈyˀ	0.089
ˈi	ˈiˀ	0.598
ˈi	ˈiː	0.267
ˈi	ˈi	0.105
ˈiə̯	ˈyˀ	0.285
ˈiə̯	ˈyː	0.177
ˈiə̯	ˈiˀ	0.131
ˈiə̯	ˈeː	0.087
ˈiə̯	ˈuː	0.087
ˈoː	ˈœˀ	0.341
ˈoː	ˈo	0.207
ˈoː	ˈøː	0.101
ˈoː	ˈʌ	0.101
ˈoː	ˈʌˀ	0.067
ˈu	ˈɔ	0.281
ˈu	ˈu	0.226
ˈu	lˀ	0.149
ˈu	-	0.102
ˈu	ˈoː	0.095
ˈuə̯	ˈoˀ	0.509
ˈuə̯	ˈœˀ	0.171
ˈuə̯	ˈœ	0.098
ˈuə̯	ˈo	0.072
ˈuə̯	ˈʌ	0.072
ˈyː	ˈuˀ	0.75
ˈyː	ˈy	0.115
ˈyː	ˈuː	0.076
ˈæ	ˈa	0.21
ˈæ	j_ˈɛ	0.183
ˈæ	ˈe	0.16
ˈæ	ˈæ	0.105
ˈæ	ˈi	0.105
ˈøː	ˈɛː	0.361
ˈøː	ˈœ	0.361
ˈøː	ˈuˀ	0.192
ˈœ	ˈu	0.372
ˈœ	ˈœ	0.282
ˈœ	ˈɛ	0.186
ˈœ	ˈyˀ	0.119
ˈɑ	ˈa	0.31
ˈɑ	ˈɛ	0.163
ˈɑ	ˈɑ	0.091
ˈɑ	ˈɛˀ	0.064
ˈɑ	-	0.053
ˈɒː	ˈa	0.248
ˈɒː	ˈɔˀ	0.103
ˈɒː	ˈɑ	0.103
ˈɒː	ˈɛ	0.074
ˈɒː	ˈɒː	0.072
ˈɔ	ˈœ	0.32
ˈɔ	ˈɛ	0.129
ˈɔ	ˈɒː	0.109
ˈɔ	ˈʌ	0.109
ˈɔ	ˈɔˀ	0.098
ˈɛ	ˈe	0.412
ˈɛ	ˈɛ	0.226
ˈɛ	ˈiˀ	0.149
ˈɛ	ˈiː	0.102
ˈɛ	ˈeˀ	0.065
ˈɛː	ˈeˀ	0.703
ˈɛː	ˈoˀ	0.286
ˈɪ	ˈe	0.641
ˈɪ	ˈø	0.151
ˈɪ	-	0.08
ˈɪ	ˈiˀ	0.056
ˈʏ	ˈy	0.215
