Romanian	Romanian	probability
ˈɨ_j	ˈa	1.0
ˈə	ˈe	1.0
ˈo_j	ˈo_s	1.0
ˈi_r	ˈi	1.0
ˈi_n	ˈɛ_n	1.0
ˈi_e	ˈi_v	1.0
ˈi	ˈi	1.0
ˈau̯	-	1.0
ˈa_r	ˈe	1.0
ʧʲ	-	1.0
ʧ_e	ʃ	1.0
ʒ	ʒ	1.0
ʃ_t	ʃ	1.0
ɨ_n	n	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z_b	ʒ_ɡ	1.0
z	-	1.0
v	v	1.0
u_l	u	1.0
t_ə	d_a	1.0
r_ə	r_a	1.0
r_u	e_r	1.0
r_t	r_t	1.0
r_e	e	1.0
r_#>	l_#>	1.0
p_t	t	1.0
o	o	1.0
nʲ	n_i	1.0
m_n	ɲ	1.0
m	m	1.0
l_ˈi	l_ˈe	1.0
kʲ	d_l	1.0
k_r	k_r	1.0
j_ˈe	ˈɛ	1.0
j_ˈa	ˈɛ	1.0
f	f	1.0
e̯ˈa	j	1.0
e_r	e	1.0
e_#>	#>	1.0
b	b	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
ə	a	0.861
n	n	0.838
p	p	0.793
ˈɨ	ˈa	0.778
l	l	0.765
t	t	0.719
r	r	0.692
<#	<#_d	0.667
#>	a_#>	0.667
s	s	0.655
ˈe	ˈe	0.64
w	-	0.625
k_#>	k_#>	0.625
ʤ	ʒ	0.6
j	j	0.583
ʧ	ʨ	0.556
u	o	0.545
ˈa	ˈa	0.5
ʦ	ʦ	0.5
ʦ	-	0.5
k	ʨ	0.5
d	t	0.5
d	d	0.5
ˈo	ˈɔ	0.444
ʧ	-	0.444
ˈa	ˈɛ	0.429
k	k	0.429
i	e	0.429
e	e	0.409
o̯ˈa	ˈɔ	0.385
o̯ˈa	w	0.385
w	ˈɛ_f	0.375
k_#>	#>	0.375
<#	<#_l	0.333
#>	s_#>	0.333
s	ʃ	0.31
ˈu	ˈo	0.308
ʤ	-	0.3
i	a	0.286
i	-	0.286
ˈe	ˈɛ	0.28
u	-	0.273
e	-	0.273
ˈu	ˈu	0.269
j	ˈɛ	0.25
l	w	0.235
ˈu	ˈɔ	0.231
o̯ˈa	-	0.231
e	j	0.227
ˈɨ	-	0.222
ˈo	w_ˈɛ	0.222
u	e	0.182
ˈo	ˈo	0.167
ˈo	w	0.167
j	-	0.167
t	d	0.156
ə	e	0.139
p	-	0.138
r	l	0.128
t	-	0.125
ˈu	ˈo_w	0.115
r	j	0.103
ʤ	ʤ	0.1
e	l_a	0.091
n	ɲ	0.081
n	ŋ	0.081
ˈe	j_ˈɛ	0.08
ˈu	-	0.077
r	-	0.077
ˈa	ˈe	0.071
k	-	0.071
p	f	0.069
