Northern Low Saxon	Old Norse	probability
aɪ̯	ɑː	1.0
b	b	0.718
b	p	0.174
d	ð	0.267
d	t	0.258
d	d	0.216
d	θ	0.151
f	f	0.713
f	v	0.144
f	-	0.051
f	mː	0.051
h	h	0.872
h	ç	0.128
i	u	1.0
j	ɟ	1.0
k	kː	0.505
k	k	0.431
k	c	0.064
kʰ	kʰ	0.666
kʰ	cʰ	0.322
l	l	0.768
l	lː	0.179
m	m	0.705
m	v	0.195
m	mː	0.054
n	n	0.452
n	ɑ	0.185
n	nː	0.143
n	-	0.135
p	p	1.0
r	r	0.881
r	r̥	0.058
s	s	0.773
s	sː	0.152
t	t	0.699
t	-	0.072
t	d	0.072
t	tː	0.066
tʰ	tʰ	1.0
v	v	0.697
v	-	0.181
v	x	0.071
v	tː	0.051
x	tː	0.475
x	-	0.182
x	ɣ	0.169
x	r_ɣ	0.109
x	j	0.065
z	s	0.95
ç	ɡ	0.299
ç	ɣ	0.276
ç	tː	0.19
ç	ɟː	0.076
ç	-	0.055
ç	ɡː	0.055
ŋ	ŋ	0.597
ŋ	-	0.168
ŋ	ʝː	0.141
ŋ	ɣ	0.094
ɐ	r	0.54
ɐ	i	0.225
ɐ	rː	0.12
ə	ˈɔ	1.0
ɡ	k	0.395
ɡ	ɡ	0.323
ɡ	ɟ	0.089
ɡ	kː	0.073
ɪ	ɑ	0.557
ɪ	i	0.278
ɪ	u	0.165
ʃ	s	0.638
ʃ	c	0.343
ʒ	-	1.0
ˈa	ˈɑ	0.601
ˈa	ˈa	0.174
ˈa	ˈɑː	0.078
ˈa	ˈɔ	0.073
ˈaɪ̯	j	0.423
ˈaɪ̯	ˈɛi̯	0.265
ˈaɪ̯	ˈiː	0.069
ˈaɪ̯	ˈyː	0.062
ˈaɪ̯	ˈɛ	0.052
ˈaʊ̯	ˈoː	0.223
ˈaʊ̯	ˈɑu̯	0.2
ˈaʊ̯	ˈɑː	0.117
ˈaʊ̯	ˈɑ	0.117
ˈaʊ̯	ˈo	0.106
ˈaʊ̯	ˈɔː	0.079
ˈaʊ̯	ˈøy̯	0.068
ˈaː	ˈɑ	0.875
ˈaː	ˈɛ	0.125
ˈeɪ̯	ˈe	0.511
ˈeɪ̯	j	0.35
ˈeɪ̯	rː	0.139
ˈeː	ˈiː	0.219
ˈeː	ˈe	0.196
ˈeː	ˈi	0.163
ˈeː	ˈøː	0.139
ˈeː	ˈɔ	0.139
ˈeː	ˈu	0.078
ˈiː	ˈiː	0.629
ˈiː	ˈi	0.139
ˈiː	ˈeː	0.137
ˈiː	ˈyː	0.095
ˈoː	ˈɑː	0.424
ˈoː	ˈɑ	0.29
ˈoː	ˈo	0.111
ˈoː	ˈɔ	0.061
ˈuː	ˈuː	0.794
ˈuː	ˈoː	0.103
ˈuː	ˈu	0.055
ˈyː	ˈy	0.431
ˈyː	ˈuː	0.35
ˈyː	ˈyː	0.174
ˈø	ˈi	0.904
ˈø	ˈe	0.096
ˈøː	ˈɑu̯	0.505
ˈøː	ˈy	0.285
ˈøː	ˈo	0.077
ˈøː	ˈyː	0.067
ˈøː	ˈɛ	0.066
ˈœ	ˈo	0.513
ˈœ	ˈe	0.244
ˈœ	ˈɑ	0.244
ˈœː	ˈu	0.519
ˈœː	ˈe	0.481
ˈɔ	ˈu	0.324
ˈɔ	ˈɑ	0.244
ˈɔ	ˈoː	0.163
ˈɔ	ˈy	0.093
ˈɔ	ˈo	0.059
ˈɔ	ˈɔ	0.059
ˈɔ	j	0.057
ˈɔʏ̯	ˈøː	0.573
ˈɔʏ̯	ˈo	0.154
ˈɔʏ̯	ˈøy̯	0.137
ˈɔʏ̯	ˈɒu̯	0.092
ˈɔː	ˈo	1.0
ˈɛ	ˈe	0.442
ˈɛ	ˈɑ	0.186
ˈɛ	ˈeː	0.154
ˈɛ	j	0.135
ˈɛ	ˈɛ	0.084
ˈɛɪ̯	j	0.653
ˈɛɪ̯	ˈɛi̯	0.347
ˈɛː	ˈeː	1.0
ˈɪ	ˈi	0.459
ˈɪ	ˈe	0.116
ˈɪ	ˈɛi̯	0.11
ˈɪ	ˈy	0.1
ˈɪ	u	0.08
ˈɪ	ˈiː	0.054
ˈʊ	ˈu	0.89
ˈʊ	ˈo	0.11
ˈʏ	ˈu	0.434
ˈʏ	ˈy	0.21
ˈʏ	ˈɛ	0.124
ˈʏ	ˈyː	0.083
ˈʏ	ˈøː	0.058
ˈʏ	j	0.053
