Neapolitan	Venetian	probability
a	a	0.834
a	u	0.07
a	-	0.05
b	b	1.0
bː	b	1.0
d	d	0.958
dː	d	1.0
e	e	0.313
e	-	0.294
e	a	0.198
e	ˈe	0.195
f	f	1.0
i	i	0.369
i	e	0.349
i	-	0.11
i	ˈi	0.087
j	-	0.663
j	j	0.283
k	k	0.63
k	ɡ	0.233
k	p	0.108
kː	ʧ	0.627
kː	k	0.373
l	ɰ	0.458
l	l	0.334
l	-	0.199
lː	o	0.758
lː	-	0.164
lː	l	0.071
m	m	0.926
m	ŋ	0.074
mː	m	0.882
mː	ŋ	0.118
n	n	0.53
n	ŋ	0.446
nː	n	0.762
nː	m	0.125
nː	ŋ	0.113
o	o	1.0
p	p	0.811
p	v	0.164
r	r	0.924
rː	r	1.0
s	s	0.872
s	z	0.128
sː	s	0.677
sː	-	0.323
t	t	0.522
t	-	0.329
t	d	0.149
tː	t	1.0
u	o	0.682
u	-	0.268
v	v	0.842
v	b	0.122
w	-	0.699
w	w	0.229
z	z	1.0
ŋ	ŋ	1.0
ə	o	0.316
ə	a	0.273
ə	e	0.221
ə	-	0.19
ɡ	ɡ	0.984
ɲ	ɲ	1.0
ɲː	ɲ	0.434
ɲː	ŋ	0.388
ɲː	n	0.13
ɾ	r	0.754
ɾ	-	0.186
ʃ	s	0.712
ʃ	z	0.221
ʃ	f	0.055
ʃː	s	0.857
ʃː	ɡ	0.088
ʃː	z	0.055
ʎː	ʤ	0.466
ʎː	-	0.345
ʎː	j	0.189
ʤ	z	0.964
ʤː	z	0.928
ʤː	v	0.072
ʦ	s	1.0
ʦː	z	0.793
ʦː	s	0.207
ʧ	z	1.0
ʧː	-	0.876
ʧː	k	0.124
ˈa	ˈa	0.988
ˈe	ˈe	0.62
ˈe	ˈɛ	0.199
ˈe	-	0.111
ˈi	ˈi	0.647
ˈi	ˈe	0.263
ˈi	j	0.065
ˈo	ˈo	0.68
ˈo	ˈɔ	0.203
ˈo	-	0.06
ˈo	o	0.057
ˈu	ˈu	0.597
ˈu	ˈo	0.274
ˈu	ˈɔ	0.066
ˈɔ	ˈɔ	0.703
ˈɔ	ˈo	0.297
ˈɛ	ˈɛ	0.582
ˈɛ	ˈe	0.381
