Old West Norse	Saterland Frisian	probability
θ	d	1.0
ˈɛː	ˈeː	1.0
ˈɛ_ɡː	ˈɔːɪ̯	1.0
ˈɛ	-	1.0
ˈɔː	ˈoːu̯	1.0
ˈɔ	-	1.0
ˈɒu̯	ˈoː	1.0
ˈɑu̯	ˈoː	1.0
ˈɑ_ɣ	ˈaːi̯	1.0
ˈuː_ɣ	ˈoː_ɣ	1.0
ˈoː_ð	ˈuː	1.0
ˈo_r	ˈoːu̯	1.0
ˈa	ˈɔː	1.0
ʝː	ɣ_j	1.0
ɾ	r_t	1.0
ɡ	-	1.0
ɟ_ˈe	ˈeːu̯	1.0
ɟ	-	1.0
ɑː	i	1.0
ç	h	1.0
x	-	1.0
w	-	1.0
v_ˈe	v	1.0
tʰ	t	1.0
t	t	1.0
sː	s	1.0
s_l	s_l	1.0
r̥ː	r	1.0
r_i	ə	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n̥	n	1.0
m	m	1.0
l̥	l	1.0
lː	l	1.0
l_i	ə_l	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
k	k	1.0
j_ˈɔ	ˈɔː	1.0
j_ˈɑ	ˈiː	1.0
i_r̥	ə_r	1.0
h	h	1.0
f	f	1.0
e	-	1.0
d	d	1.0
cʰ	k	1.0
b	b	1.0
a	ə	1.0
s	s	0.98
n	n	0.908
ɑ	ə	0.906
ð	d	0.895
l	l	0.882
ŋ	ŋ	0.878
r	r	0.862
ˈeː	ˈi	0.798
v	v	0.774
c	k	0.759
nː	n	0.753
ˈøː	ˈɛɪ̯	0.67
ˈɛi̯	ˈeː	0.654
ˈyː	-	0.638
tː	t	0.585
ɡ_r̥	k	0.578
j	j	0.569
ˈuː	ˈuː	0.566
ˈiː	ˈi	0.566
ˈøy̯	ˈeː	0.562
ɣ	x	0.552
ˈy	-	0.534
u	ɪ	0.52
ˈi	ˈɪ	0.503
u	ə_n	0.48
ˈi	ˈiː	0.458
ɣ	ɣ	0.448
ˈøy̯	ˈoː	0.438
j	-	0.431
i	ə	0.43
ˈu	ˈʊ	0.428
ɡ_r̥	ə_r	0.422
tː	x	0.415
ˈyː	j_ˈuː	0.362
ˈoː	ˈoːu̯	0.354
r̥	x	0.345
ˈo	ˈuː	0.333
ˈøː	-	0.33
ˈoː	-	0.327
ˈoː	ˈoː	0.32
ˈu	ˈuː	0.31
r̥	ə	0.304
i	-	0.293
ˈo	ˈoːu̯	0.285
ˈo	ˈɔː	0.281
i	r	0.277
ˈy	ˈoːu̯	0.267
ˈuː	ˈoː	0.262
ˈɑː	ˈoːu̯	0.253
nː	n_d	0.247
ˈiː	-	0.245
c	k_j	0.241
ˈɑː	ˈiː	0.232
ˈe	ˈɛ	0.208
ˈeː	-	0.202
ˈy	ˈɛː	0.198
ˈe	-	0.198
ˈɑ	ˈoː	0.193
ˈe	ˈa	0.193
ˈiː	ˈiː	0.188
ˈɑː	ˈoː	0.181
ˈu	-	0.181
ˈɑ	ˈɔː	0.18
ˈɛi̯	ˈoː	0.174
ˈɛi̯	-	0.172
ˈɑ	ˈɛ	0.167
v	-	0.157
ˈe	ˈɔː	0.152
ˈe	ˈi	0.15
ŋ	-	0.122
ˈuː	-	0.12
r̥	ə_r	0.117
r̥	t	0.117
r̥	d	0.117
ˈɑː	-	0.115
ˈɑː	ˈɛɪ̯	0.11
ˈɑː	ˈɔː_x	0.11
ð	-	0.105
ˈo	ˈœː	0.101
ˈe	ˈɪ	0.1
ˈɑ	ˈɛː	0.092
ˈɑ	ˈɛɪ̯	0.092
ˈu	ˈɔ	0.082
l	ˈeː_l	0.079
ˈɑ	ˈoːu̯	0.078
ˈɑ	ˈaː	0.069
v	ə	0.069
ˈɑ	ˈɔ	0.068
r	d_ə	0.064
ˈɑ	-	0.06
ɑ	-	0.053
ˈuː	ˈøː	0.052
