Proto-Germanic	Proto-Germanic	probability
ˈɑi̯_w	j_ˈoːu̯	1.0
ˈĩː	j_ˈɛ	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈiː	1.0
ˈi_n	ˈɪ_n	1.0
ˈeː	ˈɛː	1.0
ɣ_ɑ	ˈuː	1.0
ɡʷ	ɟ̊	1.0
ɡ	ɡ̊	1.0
ɛː_r	ɪ_r̥	1.0
ɔːu̯	a	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑ̃	r̥	1.0
ɑː	-	1.0
ɑi̯	ˈu	1.0
ɑ_z	r̥	1.0
ɑ_n	a	1.0
ɑ_l	l	1.0
ŋ_k	ʰk	1.0
z_#>	#>	1.0
x_ˈɑu̯	h	1.0
x_t	ʰt	1.0
x_r	r̥	1.0
x_l	l̥	1.0
w_ɑ̃_#>	ˈɛː_#>	1.0
t_s	t	1.0
sː	sː	1.0
s_ɑ̃_#>	s_#>	1.0
s_w	s	1.0
s_#>	#>	1.0
r_ˈi	r_ˈɛ	1.0
r_ɑ	r̥	1.0
r_n	r_t͡n̥	1.0
r_i	r̥	1.0
pː	-	1.0
nː	nː	1.0
n_θ	nː	1.0
n_#>	#>	1.0
lː	t͡l̥	1.0
l_θ	t͡l̥	1.0
l_ɑ	t͡l̥	1.0
kː	ʰc	1.0
kʷ	kʰ	1.0
k_i	c	1.0
jː	ɡ̊ː	1.0
e_x	aːu̯	1.0
e	ɪ	1.0
d	d̥	1.0
b	b̥	1.0
a	-	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	r̥_#>	1.0
s	s	0.946
m	m	0.931
z	r̥	0.925
ŋ	ŋ	0.923
t	t	0.879
β	v	0.867
ð	ð	0.864
ɸ	f	0.846
ɔ̃ː	a	0.846
j	-	0.826
l	l	0.812
ˈuː	ˈuː	0.786
ɑ	ʏ	0.758
ˈɛː	ˈɑːu̯	0.714
p	p	0.7
iː	-	0.667
θ	θ	0.652
<#_w	<#_v	0.647
ˈɑu̯	ˈœːy̯	0.643
i	-	0.613
ˈɔː	ˈoːu̯	0.611
n_ɑ	t͡n̥	0.6
k	k	0.6
u	ʏ	0.571
r	r	0.571
<#_ˈɑ	<#_ˈa	0.571
xʷ	-	0.556
x	h	0.548
n	n	0.543
ɣ_j	ɡ̊ː	0.5
ɣ_j	ɟ̊ː	0.5
<#	<#_v	0.5
<#	<#_j	0.5
w	v	0.462
<#_k	<#_kʰ	0.462
xʷ	kʰ_v	0.444
ɔːː	ɪ	0.429
u	-	0.429
<#_ˈɑ	<#_ˈɛ	0.429
n_ɑ	n̥	0.4
w	-	0.385
<#_k	<#_cʰ	0.385
ˈɑi̯	ˈɛːi̯	0.375
ˈeu̯	j_ˈoːu̯	0.357
<#_w	<#	0.353
ˈe	j	0.333
iː	i	0.333
ˈu	ˈʏ	0.318
ˈi	ˈɪ	0.318
ˈɑi̯	-	0.312
ɣ	ɡ̊	0.3
ˈɛː	-	0.286
ɔːː	a	0.286
ɔːː	-	0.286
ˈɑ	ˈa	0.28
ˈɔː	ˈaːi̯	0.278
r	r̥	0.265
θ	ð	0.261
ˈɑ	ˈaː	0.26
x	-	0.258
i	ʏ	0.258
ˈu	ˈɔ	0.25
ɣ	ɣ	0.25
ɣ	ɟ̊	0.25
k	c	0.24
ˈi	ˈɪː	0.227
ˈɑu̯	ˈɛːi̯	0.214
ˈuː	ˈiː	0.214
ˈeu̯	j_ˈuː	0.214
ɣ	-	0.2
p	ʰp	0.2
ˈɑi̯	ˈɛi̯	0.188
l	l̥	0.188
ˈi	ˈi	0.182
j	j	0.174
ˈe	ˈɛ	0.167
ˈe	-	0.167
ɔ̃ː	-	0.154
w	ˈɛː	0.154
<#_k	<#	0.154
ˈɑu̯	-	0.143
ˈeu̯	ˈoːu̯	0.143
ˈeu̯	j	0.143
ˈeu̯	-	0.143
n	a	0.143
n	-	0.143
ˈe	ˈɛː	0.139
ˈi	ˈiː	0.136
ˈi	-	0.136
ɑ	-	0.136
ð	-	0.136
β	-	0.133
x	ç	0.129
ˈɑi̯	ˈaːu̯	0.125
t	ʰt	0.121
ˈu	ˈɪ	0.114
ˈu	ˈu	0.114
n	n̥	0.114
ˈɔː	-	0.111
ˈɑ	ˈɑu̯	0.1
p	pʰ	0.1
θ	ð_ʏ	0.087
ˈe	j_ˈœ	0.083
r	-	0.082
ˈɑ	ˈɛː	0.08
ˈɑ	ˈœ	0.08
k	ʰk	0.08
k	x	0.08
ɸ	v	0.077
ɸ	-	0.077
ŋ	ɲ	0.077
m	-	0.069
ˈu	ˈʏː	0.068
x	ˈɔu̯	0.065
i	r̥	0.065
i	r	0.065
ɑ	a	0.061
ˈɑ	ˈɛ	0.06
ˈɑ	-	0.06
n	t͡n̥	0.057
ˈe	ˈɪ	0.056
ˈe	ˈɔː	0.056
s	-	0.054
