Nuorese	Nuorese	probability
β_ɛ	i	1.0
β_u	u	1.0
β	-	1.0
ˈɛ_ɾ	ˈɛ_r	1.0
ˈɔ_ɾ	ˈɔ_r	1.0
ˈi_β	ˈi	1.0
ʦ	ʦ	1.0
ɾ_ˈa	ˈa	1.0
ɾ_t	l_t	1.0
ɾ_k	l_ʧ	1.0
ɾ_d	l_d	1.0
ɾ_b	l_b	1.0
ɣ_ɛ	ɟː	1.0
ɡ_ɛ	ɟ	1.0
ɛ̆	-	1.0
ɛ_ɾ_ɛ_#>	#>	1.0
ɛ_ɾ	a_r	1.0
ɛ_#>	#>	1.0
ɖː	ɖː	1.0
ɔ̆_#>	#>	1.0
ɔ̆	t_i	1.0
ɔ_z	i	1.0
ŋ_ɡ	ɲː	1.0
ŭ	-	1.0
t_ɾ	t_r	1.0
p_ɾ	p_j	1.0
p_ɛ	p_a	1.0
n_ˈu	n_ˈɔ	1.0
n_ʣ	ɲː	1.0
l_ɛ	l_i	1.0
l_u	l_u	1.0
l_a	l_a	1.0
k_ɛ	ʧ_i	1.0
i_s	s	1.0
i_#>	i_#>	1.0
d	d	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ɟ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	u_#>	1.0
ˈa	ˈa	0.964
f	f	0.962
a	a	0.956
u	u	0.944
ˈu	ˈu	0.938
p	p	0.935
ɾ_ɛ_#>	#>	0.913
n	n	0.9
l	l	0.88
ˈi	ˈi	0.805
m	m	0.795
j	j	0.75
i	i	0.727
s	s	0.719
ʣ	ɖː	0.714
ɣ	-	0.714
o	u	0.714
k_ɾ	cː	0.714
e	-	0.714
r	rː	0.667
<#_a	<#_a	0.667
k	k	0.661
ɔ	u	0.636
z	-	0.615
t	t	0.615
ˈe	ˈɛ	0.591
ˈɔ	ˈɔ	0.586
ɛ	i	0.577
ˈo	ˈɔ	0.571
ɡ	ɡ	0.556
ɾ	r	0.548
ˈɛ	ˈɛ	0.542
ð	d	0.538
nː	nː	0.5
nː	-	0.5
b	b	0.5
ð	-	0.462
ɡ	ɟ	0.444
b	v	0.441
ˈe	ˈe	0.409
ˈɛ	ˈe	0.375
ˈo	ˈo	0.333
t	tː	0.333
r	r	0.333
<#_a	<#	0.333
ʣ	ɟː	0.286
ɣ	ɡ	0.286
o	a	0.286
k_ɾ	c	0.286
e	i	0.286
ɔ	-	0.273
i	-	0.273
j	-	0.25
ˈɔ	ˈo	0.241
z	z	0.231
ˈi	-	0.195
s	sː	0.188
k	ʧ	0.186
ɛ	u	0.173
ɾ	l	0.167
z	ˈa_l	0.154
l	ɖː	0.12
ɛ	ˈi	0.115
ˈɔ	-	0.103
m	ŋ	0.103
m	mː	0.103
ˈo	-	0.095
s	ʃː	0.094
ɔ	ɔ	0.091
ɾ_ɛ_#>	ˈe_#>	0.087
ˈɛ	ˈa	0.083
ɛ	ˈe	0.077
ɾ	d	0.071
ɾ	a_r	0.071
ˈɔ	o	0.069
p	pː	0.065
ˈu	ˈɔ	0.062
n	-	0.06
b	-	0.059
ɛ	a	0.058
t	ʦː	0.051
k	ɡ	0.051
